id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,playerID,playerIDLastChangedAt,guess,guessLastChangedAt,submit,submitLastChangedAt
01HMFDBG553AERJ71409S5G7WP,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:09:01.477423701Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:09:01.477423701Z,01HMFDA9BX88MKGW8D6YR4K5V0,2024-01-18T23:09:01.477423701Z,01HMFDA9FKANDE8RVXE3H9NCT7,2024-01-18T23:09:01.477423701Z,01HMFD9NAB663K18BAEPNNXZK1,2024-01-18T23:09:01.477423701Z,,,,
01HMFDCDGA2JHKXZ669BS7KE4Y,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:09:31.530299368Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:09:31.530299368Z,01HMFDA9BX88MKGW8D6YR4K5V0,2024-01-18T23:09:31.530299368Z,01HMFDA9FM79X4P4GWJKXRVZXG,2024-01-18T23:09:31.530299368Z,01HMFD75FJ85AGESJ2V4PHFHT2,2024-01-18T23:09:31.530299368Z,79,2024-01-18T23:09:51.116645019Z,true,2024-01-18T23:09:51.171098433Z
01HMFDCDGEB19GEFCR2RMHH4CJ,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:09:31.534760373Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:09:31.534760373Z,01HMFDA9BX88MKGW8D6YR4K5V0,2024-01-18T23:09:31.534760373Z,01HMFDA9FM79X4P4GWJKXRVZXG,2024-01-18T23:09:31.534760373Z,01HMFD7DSPTQQQNVF7C9CJ2J0K,2024-01-18T23:09:31.534760373Z,92,2024-01-18T23:09:35.672900898Z,true,2024-01-18T23:09:35.673313476Z
01HMFDCDGM5PW337RDKQKHJP3P,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:09:31.540141377Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:09:31.540141377Z,01HMFDA9BX88MKGW8D6YR4K5V0,2024-01-18T23:09:31.540141377Z,01HMFDA9FM79X4P4GWJKXRVZXG,2024-01-18T23:09:31.540141377Z,01HMFD86N02T2Y1ZW99E0BXCAQ,2024-01-18T23:09:31.540141377Z,76,2024-01-18T23:09:53.389542266Z,true,2024-01-18T23:09:53.390468156Z
01HMFDCDGSGESZWZHPRE0DXHY9,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:09:31.545141712Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:09:31.545141712Z,01HMFDA9BX88MKGW8D6YR4K5V0,2024-01-18T23:09:31.545141712Z,01HMFDA9FM79X4P4GWJKXRVZXG,2024-01-18T23:09:31.545141712Z,01HMFD9NAB663K18BAEPNNXZK1,2024-01-18T23:09:31.545141712Z,66,2024-01-18T23:09:36.431418269Z,true,2024-01-18T23:09:36.432179155Z
01HMFDD2YAF6KBRC3SR1X49SF5,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:09:53.482541991Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:09:53.482541991Z,01HMFDA9BX88MKGW8D67BBV57A,2024-01-18T23:09:53.482541991Z,01HMFDA9FFG1R0XX6YCYKQ333F,2024-01-18T23:09:53.482541991Z,01HMFD75FJ85AGESJ2V4PHFHT2,2024-01-18T23:09:53.482541991Z,,,,
01HMFDD2YH3BQ2P0T61BN99D8V,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:09:53.489432867Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:09:53.489432867Z,01HMFDA9BX88MKGW8D67BBV57A,2024-01-18T23:09:53.489432867Z,01HMFDA9FFG1R0XX6YCYKQ333F,2024-01-18T23:09:53.489432867Z,01HMFD7DSPTQQQNVF7C9CJ2J0K,2024-01-18T23:09:53.489432867Z,,,,
01HMFDD2YPYY0HYFSHYVTHYMYD,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:09:53.494591068Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:09:53.494591068Z,01HMFDA9BX88MKGW8D67BBV57A,2024-01-18T23:09:53.494591068Z,01HMFDA9FFG1R0XX6YCYKQ333F,2024-01-18T23:09:53.494591068Z,01HMFD86N02T2Y1ZW99E0BXCAQ,2024-01-18T23:09:53.494591068Z,,,,
01HMFDD2YTPHKSK2KJQ6M37TM8,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:09:53.498801527Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:09:53.498801527Z,01HMFDA9BX88MKGW8D67BBV57A,2024-01-18T23:09:53.498801527Z,01HMFDA9FFG1R0XX6YCYKQ333F,2024-01-18T23:09:53.498801527Z,01HMFD9NAB663K18BAEPNNXZK1,2024-01-18T23:09:53.498801527Z,,,,
01HMFDE09KG0DDBC9B7HJRE3JB,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:10:23.539993932Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:10:23.539993932Z,01HMFDA9BX88MKGW8D67BBV57A,2024-01-18T23:10:23.539993932Z,01HMFDA9FFG1R0XX6YDFYNCK20,2024-01-18T23:10:23.539993932Z,01HMFD75FJ85AGESJ2V4PHFHT2,2024-01-18T23:10:23.539993932Z,87,2024-01-18T23:10:30.817857959Z,true,2024-01-18T23:10:30.873034351Z
01HMFDE09RYYYJSWW9V0K1ZZ73,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:10:23.544507441Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:10:23.544507441Z,01HMFDA9BX88MKGW8D67BBV57A,2024-01-18T23:10:23.544507441Z,01HMFDA9FFG1R0XX6YDFYNCK20,2024-01-18T23:10:23.544507441Z,01HMFD7DSPTQQQNVF7C9CJ2J0K,2024-01-18T23:10:23.544507441Z,94,2024-01-18T23:10:28.277225519Z,true,2024-01-18T23:10:28.285292926Z
01HMFDE09W51EAWRV71XA02K1T,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:10:23.548660176Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:10:23.548660176Z,01HMFDA9BX88MKGW8D67BBV57A,2024-01-18T23:10:23.548660176Z,01HMFDA9FFG1R0XX6YDFYNCK20,2024-01-18T23:10:23.548660176Z,01HMFD86N02T2Y1ZW99E0BXCAQ,2024-01-18T23:10:23.548660176Z,97,2024-01-18T23:10:32.848229986Z,true,2024-01-18T23:10:32.848778025Z
01HMFDE0A2X20R2P0N2QABWANR,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:10:23.554241983Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:10:23.554241983Z,01HMFDA9BX88MKGW8D67BBV57A,2024-01-18T23:10:23.554241983Z,01HMFDA9FFG1R0XX6YDFYNCK20,2024-01-18T23:10:23.554241983Z,01HMFD9NAB663K18BAEPNNXZK1,2024-01-18T23:10:23.554241983Z,80,2024-01-18T23:10:31.723958864Z,true,2024-01-18T23:10:31.724362456Z
