id,participantIdentifier,participantIdentifierLastChangedAt,gameID,gameIDLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt,urlParams,urlParamsLastChangedAt,ended,endedLastChangedAt,participantID,participantIDLastChangedAt,intro,introLastChangedAt,introDone,introDoneLastChangedAt,exitStep,exitStepLastChangedAt,name,nameLastChangedAt,recipient,recipientLastChangedAt,exitSurvey,exitSurveyLastChangedAt,emojiArray,emojiArrayLastChangedAt
01HWDZJ0DK6HX04SY1P9J0ZWQN,5a216a08681a240001ff4071,2024-04-26T19:54:14.836008537Z,01HWDZBVZCFRSJZ6GN21W52JD7,2024-04-26T19:55:18.110174602Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-26T19:55:18.110174602Z,rerun-slider- 0.7,2024-04-26T19:55:18.110174602Z,{},2024-04-26T19:54:15.071762252Z,game ended,2024-04-26T20:01:16.756909491Z,01HWDZHZZBJRZE9C9XTQEYKPQP,2024-04-26T19:54:14.836008537Z,3,2024-04-26T19:56:34.436065924Z,true,2024-04-26T19:56:37.788429546Z,1,2024-04-26T20:02:46.306820044Z,player 4,2024-04-26T19:56:37.864735612Z,01HWDZFE63S2B40MQFVM96F61W,2024-04-26T20:00:56.96158569Z,"{""age"":""30"",""gender"":""Female"",""strength"":""I don't think I had much strength in the game."",""fair"":""Yes"",""feedback"":"""",""education"":""bachelor"",""teammates"":""Yes I trusted them. I think they were telling the truth"",""notes"":""Yes"",""politics"":""Liberal"",""geo"":""Canada"",""ethnicity"":""Korean""}",2024-04-26T20:02:46.305238978Z,"[""🐿️"",""🐇"",""🐿️"",""                                   ""]",2024-04-26T19:56:37.864735612Z
01HWDZJ9RQKB7MKG96DPWB7Y2B,647205d8a9928c1f1f9ca9b9,2024-04-26T19:54:24.40797078Z,,2024-04-26T19:56:37.794629938Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-26T19:55:18.110174602Z,rerun-slider- 0.7,2024-04-26T19:55:18.110174602Z,{},2024-04-26T19:54:24.724398429Z,no more games,2024-04-26T20:13:22.552688085Z,01HWDZJ95P1FSVJVJFZ8S9Q6Z1,2024-04-26T19:54:24.40797078Z,1,2024-04-26T19:54:42.184037802Z,,,1,2024-04-26T19:58:29.674641876Z,,,,,"{""age"":""59"",""gender"":""Male"",""strength"":""it didn't work"",""fair"":""no because there was no game"",""feedback"":""it just jumped to this survey while I was reading how to play the game."",""education"":""high-school"",""teammates"":""how?"",""notes"":""The game closed before it started"",""politics"":"""",""geo"":""United Kingdom"",""ethnicity"":""""}",2024-04-26T19:58:29.676192474Z,,
01HWDZVQR8AF8Q1C1HKJDV9B66,57311f25070de6000e42c711,2024-04-26T19:59:33.640711596Z,01HWDZAVKD71B2T8P146Z0RE23,2024-04-26T19:59:33.6502376Z,"{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-26T19:59:33.6502376Z,rerun-unidirectional- 0.7,2024-04-26T19:59:33.6502376Z,{},2024-04-26T19:59:33.97050026Z,game ended,2024-04-26T20:15:40.417672508Z,01HWDZVQ40SX80J5V8VS19F7EB,2024-04-26T19:59:33.640711596Z,4,2024-04-26T20:00:48.503541166Z,true,2024-04-26T20:01:07.155142719Z,1,2024-04-26T20:16:20.02158699Z,player 1,2024-04-26T20:05:03.880892876Z,01HWDZWT9KWEYRWR1WX4F9WYDJ,2024-04-26T20:14:40.095303155Z,"{""age"":""33"",""gender"":""f"",""strength"":""average"",""fair"":""yes"",""feedback"":"""",""education"":""bachelor"",""teammates"":""I think so"",""notes"":""no"",""politics"":""communist"",""geo"":""Scotland"",""ethnicity"":""white""}",2024-04-26T20:16:20.029532297Z,"[""🐇"",""                                   "",""🐿️"",""🐇"",""🐇"",""🐿️"",""🐇"",""🐇""]",2024-04-26T20:05:03.880892876Z
01HWDZWT9KWEYRWR1WX4F9WYDJ,662bafd5aa36715a60d92323,2024-04-26T20:00:09.011445655Z,01HWDZAVKD71B2T8P146Z0RE23,2024-04-26T20:00:09.023838807Z,"{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-26T20:00:09.023838807Z,rerun-unidirectional- 0.7,2024-04-26T20:00:09.023838807Z,{},2024-04-26T20:00:09.35783365Z,game ended,2024-04-26T20:15:40.417672508Z,01HWDZWSMF30D68GQKYQ54RSE6,2024-04-26T20:00:09.011445655Z,4,2024-04-26T20:04:05.995045685Z,true,2024-04-26T20:05:03.766494285Z,1,2024-04-26T20:18:03.965307031Z,player 2,2024-04-26T20:05:03.880892876Z,01HWDZX4K47QN05XJEM90F1XJ0,2024-04-26T20:14:40.095303155Z,"{""age"":""24"",""gender"":""male"",""strength"":""straightforwad and to the point, didnt miss a message."",""fair"":""yea absolutely."",""feedback"":""none, great survey."",""education"":""bachelor"",""teammates"":""they were, I hope they didnt lie!"",""notes"":""yea i did, only one had an even number of rabbits and squirrels, rest were majority rabbits just like me."",""politics"":""conservative"",""geo"":""moroccan"",""ethnicity"":""north african""}",2024-04-26T20:18:03.957877948Z,"[""🐿️"",""🐇"",""🐇"",""🐇"",""🐇"",""🐇"",""                                   ""]",2024-04-26T20:05:03.880892876Z
01HWDZWW18VZSRARNXN1G5D1M1,6112ab6678d21ae3ade388d5,2024-04-26T20:00:10.792136923Z,01HWE0MQJ0Y51NQYEGTD92FBPG,2024-04-26T20:14:06.701143049Z,"{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-26T20:14:06.701143049Z,rerun-unidirectional- 0.7,2024-04-26T20:14:06.701143049Z,{},2024-04-26T20:00:10.959028091Z,game failed,2024-04-26T20:19:08.797585804Z,01HWDZWVPMD7D7W6Y09J4T8W2F,2024-04-26T20:00:10.792136923Z,3,2024-04-26T20:01:34.327264034Z,,,,,,,,,,,,
01HWDZWZERKEX8M3W6EJE978VG,5f1b9073b07b733a1b4fdd8b,2024-04-26T20:00:14.296113091Z,01HWE0MQJ0Y51NQYEGTD92FBPG,2024-04-26T20:14:06.701143049Z,"{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-26T20:14:06.701143049Z,rerun-unidirectional- 0.7,2024-04-26T20:14:06.701143049Z,{},2024-04-26T20:00:14.415183813Z,game failed,2024-04-26T20:19:08.797585804Z,01HWDZWZ7TD5F9HJ4DPKP2P01J,2024-04-26T20:00:14.296113091Z,2,2024-04-26T20:02:31.508482396Z,,,,,,,,,,,,
01HWDZX4K47QN05XJEM90F1XJ0,5e8a042b88674a69d75f7347,2024-04-26T20:00:19.55622108Z,01HWDZAVKD71B2T8P146Z0RE23,2024-04-26T20:00:19.565566607Z,"{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-26T20:00:19.565566607Z,rerun-unidirectional- 0.7,2024-04-26T20:00:19.565566607Z,{},2024-04-26T20:00:19.896160586Z,game ended,2024-04-26T20:15:40.417672508Z,01HWDZX3Y52301MARGXBF5JJN2,2024-04-26T20:00:19.55622108Z,4,2024-04-26T20:03:20.315718355Z,true,2024-04-26T20:03:27.262787335Z,,,player 3,2024-04-26T20:05:03.880892876Z,01HWDZYE9K97SZZPWRG4GESHHB,2024-04-26T20:14:40.095303155Z,,,"[""🐿️"",""🐿️"",""🐇"",""                                   "",""🐇""]",2024-04-26T20:05:03.880892876Z
01HWDZYE9K97SZZPWRG4GESHHB,63d32088bcda95aceb86ffca,2024-04-26T20:01:02.259132568Z,01HWDZAVKD71B2T8P146Z0RE23,2024-04-26T20:01:02.267360613Z,"{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-26T20:01:02.267360613Z,rerun-unidirectional- 0.7,2024-04-26T20:01:02.267360613Z,{},2024-04-26T20:01:02.617572975Z,game ended,2024-04-26T20:15:40.417672508Z,01HWDZYDM1TA6WD6Q76JGQBSBG,2024-04-26T20:01:02.259132568Z,4,2024-04-26T20:04:28.721435288Z,true,2024-04-26T20:04:32.273943649Z,1,2024-04-26T20:17:03.114388271Z,player 4,2024-04-26T20:05:03.880892876Z,01HWDZVQR8AF8Q1C1HKJDV9B66,2024-04-26T20:14:40.095303155Z,"{""age"":""21"",""gender"":""Male"",""strength"":""I told the truth and tried to be helpful albeit with some creative liberties"",""fair"":""Yes!"",""feedback"":"""",""education"":""other"",""teammates"":""Yes they were"",""notes"":""Yes I did"",""politics"":""Centre Right"",""geo"":""British"",""ethnicity"":""Mixed - Black and White""}",2024-04-26T20:17:03.108248846Z,"[""🐿️"",""🐇"",""🐇"",""                                   ""]",2024-04-26T20:05:03.880892876Z
01HWDZZ56ERNVZ2SG25JDPSPAH,6101952cec239584a3ac4c45,2024-04-26T20:01:25.710083883Z,01HWE0MQJ0Y51NQYEGTD92FBPG,2024-04-26T20:14:06.701143049Z,"{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-26T20:14:06.701143049Z,rerun-unidirectional- 0.7,2024-04-26T20:14:06.701143049Z,{},2024-04-26T20:01:26.140205514Z,game failed,2024-04-26T20:19:08.797585804Z,01HWDZZ4JPYA92V2GZM0YE30MS,2024-04-26T20:01:25.710083883Z,,,,,,,,,,,,,,
01HWDZZSM0ZY571FYKF58XSYD3,5d62e141756469001948081a,2024-04-26T20:01:46.624888119Z,01HWDZATBYG8AA4193EJ9RRM5A,2024-04-26T20:01:46.635114706Z,"{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-26T20:01:46.635114706Z,rerun-unidirectional- 0.7,2024-04-26T20:01:46.635114706Z,{},2024-04-26T20:01:46.970273662Z,game ended,2024-04-26T20:16:47.622439772Z,01HWDZZRYQZWHFV5TGYRCRA9SQ,2024-04-26T20:01:46.624888119Z,4,2024-04-26T20:03:33.18732131Z,true,2024-04-26T20:03:36.236725018Z,1,2024-04-26T20:18:12.825532754Z,player 1,2024-04-26T20:06:50.607322734Z,01HWE02FH9VAQ912VHKVH0RPSB,2024-04-26T20:16:04.420838252Z,"{""age"":""22"",""gender"":""female"",""strength"":""i tried to answer honestly with what i truly believed"",""fair"":""yes"",""feedback"":""did not encounter any problems, it was a fun game"",""education"":""other"",""teammates"":""i think so "",""notes"":""yes, if they had more rabbits than squirrels then it was easier to decide  my answer"",""politics"":""left"",""geo"":""british"",""ethnicity"":""mixed""}",2024-04-26T20:18:12.816368392Z,"[""                                   "",""🐇"",""🐿️"",""🐇"",""🐿️"",""🐿️"",""🐇"",""🐇"",""🐇"",""🐿️""]",2024-04-26T20:06:50.607322734Z
