id,stageID,stageIDLastChangedAt,playerID,playerIDLastChangedAt,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,guess,guessLastChangedAt,confidence,confidenceLastChangedAt,submit,submitLastChangedAt
01HW6FXN2WY6CYBBZXTZ8JC8DQ,01HW6FVTGW3G10NE83D0DT2KV8,2024-04-23T22:06:18.204630149Z,01HW6FRK28Y2T7CEMSAAYJTYTX,2024-04-23T22:06:18.204630149Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:06:18.204630149Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:06:18.204630149Z,01HW6FVT4EDZFSKFGFW4PK1KGZ,2024-04-23T22:06:18.204630149Z,,,,,,
01HW6FYJDEK2V9DDHAWXWEJYBC,01HW6FVTGX47G6Q4ZNEGD5063E,2024-04-23T22:06:48.238768299Z,01HW6FGAEY90K0BM9RJC3HE9YQ,2024-04-23T22:06:48.238768299Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:06:48.238768299Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:06:48.238768299Z,01HW6FVT4EDZFSKFGFW4PK1KGZ,2024-04-23T22:06:48.238768299Z,27,2024-04-23T22:07:03.964378272Z,64,2024-04-23T22:07:03.966610475Z,true,2024-04-23T22:07:03.969225906Z
01HW6FYJDNR8VYRVBWTMWYTDVC,01HW6FVTGX47G6Q4ZNEGD5063E,2024-04-23T22:06:48.245224213Z,01HW6FMQN4FVV45ZRZH42BXWX2,2024-04-23T22:06:48.245224213Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:06:48.245224213Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:06:48.245224213Z,01HW6FVT4EDZFSKFGFW4PK1KGZ,2024-04-23T22:06:48.245224213Z,14,2024-04-23T22:07:09.70378521Z,62,2024-04-23T22:07:09.704475308Z,true,2024-04-23T22:07:09.764932417Z
01HW6FYJDTW5QCTE79Y5B9AZ6F,01HW6FVTGX47G6Q4ZNEGD5063E,2024-04-23T22:06:48.250874044Z,01HW6FQZ7B289SF7Z3DMTVPTNK,2024-04-23T22:06:48.250874044Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:06:48.250874044Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:06:48.250874044Z,01HW6FVT4EDZFSKFGFW4PK1KGZ,2024-04-23T22:06:48.250874044Z,31,2024-04-23T22:07:09.376147545Z,77,2024-04-23T22:07:09.379585916Z,true,2024-04-23T22:07:09.381192605Z
01HW6FYJE0PV8B6FAWXFPE9EWD,01HW6FVTGX47G6Q4ZNEGD5063E,2024-04-23T22:06:48.256503481Z,01HW6FRK28Y2T7CEMSAAYJTYTX,2024-04-23T22:06:48.256503481Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:06:48.256503481Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:06:48.256503481Z,01HW6FVT4EDZFSKFGFW4PK1KGZ,2024-04-23T22:06:48.256503481Z,36,2024-04-23T22:06:58.082190898Z,100,2024-04-23T22:06:58.085561986Z,true,2024-04-23T22:06:58.080663388Z
01HW6FZ7GKMJ5C7J3C17VBGGD6,01HW6FVT8N8CD2BX5C3G6E44G7,2024-04-23T22:07:09.843630847Z,01HW6FGAEY90K0BM9RJC3HE9YQ,2024-04-23T22:07:09.843630847Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:07:09.843630847Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:07:09.843630847Z,01HW6FVT4HZMF0DVZHM2P3GE7D,2024-04-23T22:07:09.843630847Z,,,,,,
01HW6FZ7GQCSV2G8CYCQE2E8WS,01HW6FVT8N8CD2BX5C3G6E44G7,2024-04-23T22:07:09.847993874Z,01HW6FMQN4FVV45ZRZH42BXWX2,2024-04-23T22:07:09.847993874Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:07:09.847993874Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:07:09.847993874Z,01HW6FVT4HZMF0DVZHM2P3GE7D,2024-04-23T22:07:09.847993874Z,,,,,,
01HW6FZ7GWG5ZTZZ7E44V6BHQP,01HW6FVT8N8CD2BX5C3G6E44G7,2024-04-23T22:07:09.852896626Z,01HW6FQZ7B289SF7Z3DMTVPTNK,2024-04-23T22:07:09.852896626Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:07:09.852896626Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:07:09.852896626Z,01HW6FVT4HZMF0DVZHM2P3GE7D,2024-04-23T22:07:09.852896626Z,,,,,,
01HW6FZ7H2W89RZPQS0S5E5HY8,01HW6FVT8N8CD2BX5C3G6E44G7,2024-04-23T22:07:09.858828194Z,01HW6FRK28Y2T7CEMSAAYJTYTX,2024-04-23T22:07:09.858828194Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:07:09.858828194Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:07:09.858828194Z,01HW6FVT4HZMF0DVZHM2P3GE7D,2024-04-23T22:07:09.858828194Z,,,,,,
01HW6G04W7BXTBEFJSSN3K9HAX,01HW6FVT8PTR9ZXPRY6PTPW27C,2024-04-23T22:07:39.911142621Z,01HW6FGAEY90K0BM9RJC3HE9YQ,2024-04-23T22:07:39.911142621Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:07:39.911142621Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:07:39.911142621Z,01HW6FVT4HZMF0DVZHM2P3GE7D,2024-04-23T22:07:39.911142621Z,35,2024-04-23T22:07:48.927058663Z,59,2024-04-23T22:07:48.928502084Z,true,2024-04-23T22:07:48.930026061Z
