id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,playerID,playerIDLastChangedAt,confidence,confidenceLastChangedAt,guess,guessLastChangedAt,submit,submitLastChangedAt
01HVSW1Z70DJ7QQV59EGW7859Y,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:28:14.944190239Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:28:14.944190239Z,01HVSW0BD626EF60FJEW68PS15,2024-04-19T00:28:14.944190239Z,01HVSW0BNN2CY17E9MXDCS0ZJC,2024-04-19T00:28:14.944190239Z,01HVSVVJCJ22SZJC2DP40DMFKW,2024-04-19T00:28:14.944190239Z,,,,,,
01HVSW1Z73K6NBGAJNVPHH0WVB,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:28:14.947856174Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:28:14.947856174Z,01HVSW0BD626EF60FJEW68PS15,2024-04-19T00:28:14.947856174Z,01HVSW0BNN2CY17E9MXDCS0ZJC,2024-04-19T00:28:14.947856174Z,01HVSVWM43JA8Z1M658C5SD7EG,2024-04-19T00:28:14.947856174Z,,,,,,
01HVSW2WHW7P65G9M5VR1Q6MNC,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:28:44.988595478Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:28:44.988595478Z,01HVSW0BD626EF60FJEW68PS15,2024-04-19T00:28:44.988595478Z,01HVSW0BNN2CY17E9MY2843FW4,2024-04-19T00:28:44.988595478Z,01HVSVMCSVXNDM22Z4GHV1S19C,2024-04-19T00:28:44.988595478Z,69,2024-04-19T00:29:14.063810481Z,69,2024-04-19T00:29:14.06318004Z,true,2024-04-19T00:29:14.064345004Z
01HVSW2WJ0XT669QH472JFJQ8N,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:28:44.99261856Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:28:44.99261856Z,01HVSW0BD626EF60FJEW68PS15,2024-04-19T00:28:44.99261856Z,01HVSW0BNN2CY17E9MY2843FW4,2024-04-19T00:28:44.99261856Z,01HVSVTAR4GS8PHW29Z4P4CMY3,2024-04-19T00:28:44.99261856Z,84,2024-04-19T00:28:57.153769201Z,89,2024-04-19T00:28:57.15341942Z,true,2024-04-19T00:28:57.153146691Z
01HVSW2WJ54M3FJQS1RCDJVPKG,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:28:44.997194883Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:28:44.997194883Z,01HVSW0BD626EF60FJEW68PS15,2024-04-19T00:28:44.997194883Z,01HVSW0BNN2CY17E9MY2843FW4,2024-04-19T00:28:44.997194883Z,01HVSVVJCJ22SZJC2DP40DMFKW,2024-04-19T00:28:44.997194883Z,73,2024-04-19T00:28:55.757540679Z,57,2024-04-19T00:28:55.755742769Z,true,2024-04-19T00:28:55.75820858Z
01HVSW2WJ8VD5AQ38AYDK71XRC,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:28:45.000742831Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:28:45.000742831Z,01HVSW0BD626EF60FJEW68PS15,2024-04-19T00:28:45.000742831Z,01HVSW0BNN2CY17E9MY2843FW4,2024-04-19T00:28:45.000742831Z,01HVSVWM43JA8Z1M658C5SD7EG,2024-04-19T00:28:45.000742831Z,100,2024-04-19T00:29:13.951105505Z,50,2024-04-19T00:29:13.950468193Z,true,2024-04-19T00:29:13.98933581Z
01HVSW38W1QTGQYAYC9XJ5VYME,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:28:57.602021376Z,01HVSTV34SHX848TGQMA43MWTA,2024-04-19T00:28:57.602021376Z,01HVSW38A5AX5QK7C5JBFPMJFD,2024-04-19T00:28:57.602021376Z,01HVSW38GBFPA4TAN1EG7HTDDR,2024-04-19T00:28:57.602021376Z,01HVSVTRFBENNBNW910Z5TZWVT,2024-04-19T00:28:57.602021376Z,,,,,,
01HVSW38W676YBQACN8S3ZQYMR,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:28:57.606742656Z,01HVSTV34SHX848TGQMA43MWTA,2024-04-19T00:28:57.606742656Z,01HVSW38A5AX5QK7C5JBFPMJFD,2024-04-19T00:28:57.606742656Z,01HVSW38GBFPA4TAN1EG7HTDDR,2024-04-19T00:28:57.606742656Z,01HVSVVXEFDQCRSJGK8QE1SM3R,2024-04-19T00:28:57.606742656Z,,,,,,
01HVSW38WAGB892JR0J23AZ1FH,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:28:57.610365044Z,01HVSTV34SHX848TGQMA43MWTA,2024-04-19T00:28:57.610365044Z,01HVSW38A5AX5QK7C5JBFPMJFD,2024-04-19T00:28:57.610365044Z,01HVSW38GBFPA4TAN1EG7HTDDR,2024-04-19T00:28:57.610365044Z,01HVSVX7B4BX3MDPGXEMRJQQ08,2024-04-19T00:28:57.610365044Z,,,,,,
01HVSW38WFTCDGE7E4H3RZHAMY,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:28:57.615070592Z,01HVSTV34SHX848TGQMA43MWTA,2024-04-19T00:28:57.615070592Z,01HVSW38A5AX5QK7C5JBFPMJFD,2024-04-19T00:28:57.615070592Z,01HVSW38GBFPA4TAN1EG7HTDDR,2024-04-19T00:28:57.615070592Z,01HVSVXD50P57KTK8NNBWHE67P,2024-04-19T00:28:57.615070592Z,,,,,,
01HVSW3S1286Y2890FSAAGQKFS,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:29:14.146461223Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:29:14.146461223Z,01HVSW0BD626EF60FJF96T9KCE,2024-04-19T00:29:14.146461223Z,01HVSW0BNPEM3EA8J7NKV7H3QW,2024-04-19T00:29:14.146461223Z,01HVSVMCSVXNDM22Z4GHV1S19C,2024-04-19T00:29:14.146461223Z,,,,,,
01HVSW3S17ZAPZR573VTV1XJ97,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:29:14.151254064Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:29:14.151254064Z,01HVSW0BD626EF60FJF96T9KCE,2024-04-19T00:29:14.151254064Z,01HVSW0BNPEM3EA8J7NKV7H3QW,2024-04-19T00:29:14.151254064Z,01HVSVTAR4GS8PHW29Z4P4CMY3,2024-04-19T00:29:14.151254064Z,,,,,,
01HVSW3S1A5C82C0XHG5G9DZ2V,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:29:14.154976724Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:29:14.154976724Z,01HVSW0BD626EF60FJF96T9KCE,2024-04-19T00:29:14.154976724Z,01HVSW0BNPEM3EA8J7NKV7H3QW,2024-04-19T00:29:14.154976724Z,01HVSVVJCJ22SZJC2DP40DMFKW,2024-04-19T00:29:14.154976724Z,,,,,,
01HVSW3S1F8S4NNDMN13PYJK1J,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:29:14.159249814Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:29:14.159249814Z,01HVSW0BD626EF60FJF96T9KCE,2024-04-19T00:29:14.159249814Z,01HVSW0BNPEM3EA8J7NKV7H3QW,2024-04-19T00:29:14.159249814Z,01HVSVWM43JA8Z1M658C5SD7EG,2024-04-19T00:29:14.159249814Z,,,,,,
01HVSW4674PFA1ADFQ6Q2BZVBS,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:29:27.652937538Z,01HVSTV34SHX848TGQMA43MWTA,2024-04-19T00:29:27.652937538Z,01HVSW38A5AX5QK7C5JBFPMJFD,2024-04-19T00:29:27.652937538Z,01HVSW38GCWMGKRVKFH46C2VSX,2024-04-19T00:29:27.652937538Z,01HVSVTRFBENNBNW910Z5TZWVT,2024-04-19T00:29:27.652937538Z,,,,,,
01HVSW4679EA177EW7ET2Y6F39,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:29:27.657813062Z,01HVSTV34SHX848TGQMA43MWTA,2024-04-19T00:29:27.657813062Z,01HVSW38A5AX5QK7C5JBFPMJFD,2024-04-19T00:29:27.657813062Z,01HVSW38GCWMGKRVKFH46C2VSX,2024-04-19T00:29:27.657813062Z,01HVSVVXEFDQCRSJGK8QE1SM3R,2024-04-19T00:29:27.657813062Z,100,2024-04-19T00:29:45.941913447Z,51,2024-04-19T00:29:45.942679892Z,true,2024-04-19T00:29:45.944107148Z
01HVSW467EC1BVKTZ31TBHZ4E9,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:29:27.662778954Z,01HVSTV34SHX848TGQMA43MWTA,2024-04-19T00:29:27.662778954Z,01HVSW38A5AX5QK7C5JBFPMJFD,2024-04-19T00:29:27.662778954Z,01HVSW38GCWMGKRVKFH46C2VSX,2024-04-19T00:29:27.662778954Z,01HVSVX7B4BX3MDPGXEMRJQQ08,2024-04-19T00:29:27.662778954Z,100,2024-04-19T00:29:46.227434267Z,50,2024-04-19T00:29:46.226506551Z,true,2024-04-19T00:29:46.279201113Z
01HVSW467K4ZR6MM7EAYQD10E7,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:29:27.667238338Z,01HVSTV34SHX848TGQMA43MWTA,2024-04-19T00:29:27.667238338Z,01HVSW38A5AX5QK7C5JBFPMJFD,2024-04-19T00:29:27.667238338Z,01HVSW38GCWMGKRVKFH46C2VSX,2024-04-19T00:29:27.667238338Z,01HVSVXD50P57KTK8NNBWHE67P,2024-04-19T00:29:27.667238338Z,,,,,,
01HVSW4PC3S5KS392AWHESQBKB,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:29:44.195808116Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:29:44.195808116Z,01HVSW0BD626EF60FJF96T9KCE,2024-04-19T00:29:44.195808116Z,01HVSW0BNQN7QR2P8YT0BER476,2024-04-19T00:29:44.195808116Z,01HVSVMCSVXNDM22Z4GHV1S19C,2024-04-19T00:29:44.195808116Z,36,2024-04-19T00:30:10.130775792Z,72,2024-04-19T00:30:10.132651249Z,true,2024-04-19T00:30:10.133215787Z
01HVSW4PC807Z9VB6K6R2DQHVP,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:29:44.200878122Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:29:44.200878122Z,01HVSW0BD626EF60FJF96T9KCE,2024-04-19T00:29:44.200878122Z,01HVSW0BNQN7QR2P8YT0BER476,2024-04-19T00:29:44.200878122Z,01HVSVTAR4GS8PHW29Z4P4CMY3,2024-04-19T00:29:44.200878122Z,94,2024-04-19T00:30:02.893633856Z,93,2024-04-19T00:30:02.894252256Z,true,2024-04-19T00:30:02.894828881Z
