id,name,nameLastChangedAt,gameID,gameIDLastChangedAt,ended,endedLastChangedAt,stageIndex,stageIndexLastChangedAt,idx,idxLastChangedAt,task,taskLastChangedAt,index,indexLastChangedAt,batchID,batchIDLastChangedAt,start,startLastChangedAt
01HNDBF05698T5X2VQ6YAZF14J,Round 3 / 9,2024-01-30T14:13:11.974784743Z,01HNDB3XTQF66NKEQ7HBCBY9BJ,2024-01-30T14:13:11.974784743Z,true,2024-01-30T14:14:32.633148206Z,1,2024-01-30T14:13:12.049143532Z,3,2024-01-30T14:13:11.974784743Z,Chat,2024-01-30T14:13:11.974784743Z,2,2024-01-30T14:13:11.974784743Z,01HNDB3XT775V20QG3EE6AAZMS,2024-01-30T14:13:11.974784743Z,true,2024-01-30T14:14:10.155246219Z
01HNDBF057P3X3XRCWXR6XX19K,Round 5 / 9,2024-01-30T14:13:11.975704996Z,01HNDB3XTQF66NKEQ7HBCBY9BJ,2024-01-30T14:13:11.975704996Z,true,2024-01-30T14:14:55.406063747Z,1,2024-01-30T14:13:12.140089855Z,5,2024-01-30T14:13:11.975704996Z,Chat,2024-01-30T14:13:11.975704996Z,4,2024-01-30T14:13:11.975704996Z,01HNDB3XT775V20QG3EE6AAZMS,2024-01-30T14:13:11.975704996Z,true,2024-01-30T14:14:43.215923438Z
01HNDBF058KTYC2X3FWN0KKVKG,Round 2 / 9,2024-01-30T14:13:11.976465661Z,01HNDB3XTQF66NKEQ7HBCBY9BJ,2024-01-30T14:13:11.976465661Z,true,2024-01-30T14:14:10.14117356Z,1,2024-01-30T14:13:12.134020519Z,2,2024-01-30T14:13:11.976465661Z,Chat,2024-01-30T14:13:11.976465661Z,1,2024-01-30T14:13:11.976465661Z,01HNDB3XT775V20QG3EE6AAZMS,2024-01-30T14:13:11.976465661Z,true,2024-01-30T14:13:42.347704702Z
01HNDBF0591GTF05YHAAR9AT0M,Round 4 / 9,2024-01-30T14:13:11.977333174Z,01HNDB3XTQF66NKEQ7HBCBY9BJ,2024-01-30T14:13:11.977333174Z,true,2024-01-30T14:14:43.198512291Z,1,2024-01-30T14:13:12.136972385Z,4,2024-01-30T14:13:11.977333174Z,Chat,2024-01-30T14:13:11.977333174Z,3,2024-01-30T14:13:11.977333174Z,01HNDB3XT775V20QG3EE6AAZMS,2024-01-30T14:13:11.977333174Z,true,2024-01-30T14:14:32.644540981Z
01HNDBF05ADM6V07JJBG8VH6RB,Round 6 / 9,2024-01-30T14:13:11.978553535Z,01HNDB3XTQF66NKEQ7HBCBY9BJ,2024-01-30T14:13:11.978553535Z,true,2024-01-30T14:15:07.065660272Z,1,2024-01-30T14:13:12.026526331Z,6,2024-01-30T14:13:11.978553535Z,Chat,2024-01-30T14:13:11.978553535Z,5,2024-01-30T14:13:11.978553535Z,01HNDB3XT775V20QG3EE6AAZMS,2024-01-30T14:13:11.978553535Z,true,2024-01-30T14:14:55.422205861Z
01HNDBF05BABJCQ3X40WHXT64N,Round 7 / 9,2024-01-30T14:13:11.97941399Z,01HNDB3XTQF66NKEQ7HBCBY9BJ,2024-01-30T14:13:11.97941399Z,true,2024-01-30T14:15:17.28970544Z,1,2024-01-30T14:13:12.026526331Z,7,2024-01-30T14:13:11.97941399Z,Chat,2024-01-30T14:13:11.97941399Z,6,2024-01-30T14:13:11.97941399Z,01HNDB3XT775V20QG3EE6AAZMS,2024-01-30T14:13:11.97941399Z,true,2024-01-30T14:15:07.082871346Z
01HNDBF05CXSJTREBVY3HFD286,Round 8 / 9,2024-01-30T14:13:11.980228918Z,01HNDB3XTQF66NKEQ7HBCBY9BJ,2024-01-30T14:13:11.980228918Z,true,2024-01-30T14:15:28.723243919Z,1,2024-01-30T14:13:12.07851171Z,8,2024-01-30T14:13:11.980228918Z,Chat,2024-01-30T14:13:11.980228918Z,7,2024-01-30T14:13:11.980228918Z,01HNDB3XT775V20QG3EE6AAZMS,2024-01-30T14:13:11.980228918Z,true,2024-01-30T14:15:17.311744869Z
01HNDBF05CXSJTREBVYPBFA437,Round 9 / 9,2024-01-30T14:13:11.981027704Z,01HNDB3XTQF66NKEQ7HBCBY9BJ,2024-01-30T14:13:11.981027704Z,true,2024-01-30T14:15:39.928223801Z,1,2024-01-30T14:13:12.075094156Z,9,2024-01-30T14:13:11.981027704Z,Chat,2024-01-30T14:13:11.981027704Z,8,2024-01-30T14:13:11.981027704Z,01HNDB3XT775V20QG3EE6AAZMS,2024-01-30T14:13:11.981027704Z,true,2024-01-30T14:15:28.741069239Z
01HNDBFZBYQHQAFMM39MH8KD2W,Round 1 / 9,2024-01-30T14:13:43.934079311Z,01HNDB3WBW63N14TZR84GFRT86,2024-01-30T14:13:43.934079311Z,true,2024-01-30T14:14:44.569387879Z,2,2024-01-30T14:13:44.011869541Z,1,2024-01-30T14:13:43.934079311Z,Chat,2024-01-30T14:13:43.934079311Z,0,2024-01-30T14:13:43.934079311Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:13:43.934079311Z,true,2024-01-30T14:13:44.260320941Z
01HNDBFZBZSZV5VNB7XGXR8WGQ,Round 6 / 9,2024-01-30T14:13:43.935768306Z,01HNDB3WBW63N14TZR84GFRT86,2024-01-30T14:13:43.935768306Z,true,2024-01-30T14:19:24.997688642Z,2,2024-01-30T14:13:44.109648363Z,6,2024-01-30T14:13:43.935768306Z,Chat,2024-01-30T14:13:43.935768306Z,5,2024-01-30T14:13:43.935768306Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:13:43.935768306Z,true,2024-01-30T14:18:45.826946238Z
