id,config,configLastChangedAt,endedReason,endedReasonLastChangedAt,initialized,initializedLastChangedAt,lobbyConfig,lobbyConfigLastChangedAt,status,statusLastChangedAt
01JGPRPH50NKNNK1VP8SJ577MY,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""RS_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""RabbitsSquirrels""}},""count"":1}]}}",2025-01-03T19:01:29.376991736Z,,,true,2025-01-03T19:01:29.382954471Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-01-03T19:01:29.376991736Z,terminated,2025-01-03T19:03:24.376100348Z
01JGPRTPXZF6H039PA45M78VSP,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""RS_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""RabbitsSquirrels""}},""count"":1}]}}",2025-01-03T19:03:46.367514575Z,all games finished,2025-01-03T19:28:04.242986602Z,true,2025-01-03T19:03:46.380223653Z,"{""name"":""shared counter lobby"",""kind"":""shared"",""duration"":600000000000,""strategy"":""fail""}",2025-01-03T19:03:46.367514575Z,ended,2025-01-03T19:28:04.242986602Z
01JGPVNRGJMJP8795BB8RR8DJY,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""RS_slider"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""RabbitsSquirrels""}},""count"":1}]}}",2025-01-03T19:53:29.874831917Z,,,true,2025-01-03T19:53:29.88924295Z,"{""name"":""shared counter lobby"",""kind"":""shared"",""duration"":600000000000,""strategy"":""fail""}",2025-01-03T19:53:29.874831917Z,created,2025-01-03T19:53:29.874831917Z
01JGPW8C0SXJ7NQFESG0ZTW3R7,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""SR_slider"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""SquirrelsRabbits""}},""count"":1}]}}",2025-01-03T20:03:39.67352134Z,,,true,2025-01-03T20:03:39.69402394Z,"{""name"":""shared counter lobby"",""kind"":""shared"",""duration"":600000000000,""strategy"":""fail""}",2025-01-03T20:03:39.67352134Z,terminated,2025-01-03T20:34:01.218475521Z
01JGPRPACBBB56842XXNKZ25PW,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""SR_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""SquirrelsRabbits""}},""count"":1}]}}",2025-01-03T19:01:22.443910986Z,,,true,2025-01-03T19:01:22.453417261Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-01-03T19:01:22.443910986Z,terminated,2025-01-03T19:03:33.035785201Z
01JGPVNSR89TYTVH761V7G2ZY9,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""RS_slider"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""RabbitsSquirrels""}},""count"":1}]}}",2025-01-03T19:53:31.144540861Z,,,true,2025-01-03T19:53:31.162710411Z,"{""name"":""shared counter lobby"",""kind"":""shared"",""duration"":600000000000,""strategy"":""fail""}",2025-01-03T19:53:31.144540861Z,created,2025-01-03T19:53:31.144540861Z
01JGPW8DRHZ5B42MTS5NRVZWXQ,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""SR_slider"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""SquirrelsRabbits""}},""count"":1}]}}",2025-01-03T20:03:41.45801476Z,all games finished,2025-01-03T20:23:06.304527764Z,true,2025-01-03T20:03:41.482103478Z,"{""name"":""shared counter lobby"",""kind"":""shared"",""duration"":600000000000,""strategy"":""fail""}",2025-01-03T20:03:41.45801476Z,ended,2025-01-03T20:23:06.304527764Z
01JGPW8RC1MCKEBZQFA98VZ4SR,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""SR_slider"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""SquirrelsRabbits""}},""count"":1}]}}",2025-01-03T20:03:52.321343381Z,all games finished,2025-01-03T20:16:41.126153044Z,true,2025-01-03T20:03:52.341293551Z,"{""name"":""shared counter lobby"",""kind"":""shared"",""duration"":600000000000,""strategy"":""fail""}",2025-01-03T20:03:52.321343381Z,ended,2025-01-03T20:16:41.126153044Z
01JGPRTXNXA7B3CCM786WWN757,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""RS_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""RabbitsSquirrels""}},""count"":1}]}}",2025-01-03T19:03:53.277876253Z,,,true,2025-01-03T19:03:53.286539033Z,"{""name"":""shared counter lobby"",""kind"":""shared"",""duration"":600000000000,""strategy"":""fail""}",2025-01-03T19:03:53.277876253Z,terminated,2025-01-03T19:15:02.538044988Z
01JGPSMTMTKBDVBY78JV1B3A6V,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""SR_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""SquirrelsRabbits""}},""count"":1}]}}",2025-01-03T19:18:02.138615767Z,all games finished,2025-01-03T19:32:19.145230307Z,true,2025-01-03T19:18:02.151507336Z,"{""name"":""shared counter lobby"",""kind"":""shared"",""duration"":600000000000,""strategy"":""fail""}",2025-01-03T19:18:02.138615767Z,ended,2025-01-03T19:32:19.145230307Z
