Time Step,Agent 1,Agent 2,Agent 3,Agent 4
0,5.0,6.0,5.0,4.0
1,5.5,5.5,4.5,4.5
2,5.0,5.0,5.0,5.0
3,5.0,5.0,5.0,5.0
4,5.0,5.0,5.0,5.0
5,5.0,5.0,5.0,5.0
6,5.0,5.0,5.0,5.0
7,5.0,5.0,5.0,5.0
8,5.0,5.0,5.0,5.0
