Time Step,Agent 1,Agent 2,Agent 3,Agent 4
0,4.0,8.0,6.0,7.0
1,6.0,6.0,6.5,6.5
2,6.25,6.25,6.25,6.25
3,6.25,6.25,6.25,6.25
4,6.25,6.25,6.25,6.25
5,6.25,6.25,6.25,6.25
6,6.25,6.25,6.25,6.25
7,6.25,6.25,6.25,6.25
8,6.25,6.25,6.25,6.25
