Time Step,Agent 1,Agent 2,Agent 3,Agent 4
0,7.0,4.0,6.0,7.0
1,5.5,5.5,6.5,6.5
2,6.0,6.0,6.0,6.0
3,6.0,6.0,6.0,6.0
4,6.0,6.0,6.0,6.0
5,6.0,6.0,6.0,6.0
6,6.0,6.0,6.0,6.0
7,6.0,6.0,6.0,6.0
8,6.0,6.0,6.0,6.0
