id,batchID,batchIDLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,idx,idxLastChangedAt,index,indexLastChangedAt,name,nameLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt,task,taskLastChangedAt
01JGQNMXGPB43K1HSZSXP492AY,01JGQN6NSNFC0AA3615DT146GN,2025-01-04T03:27:25.206953642Z,true,2025-01-04T03:34:30.196639859Z,01JGQN6NSWQ6QBDVXWPKB8EHYJ,2025-01-04T03:27:25.206953642Z,7,2025-01-04T03:27:25.206953642Z,6,2025-01-04T03:27:25.206953642Z,Round 7 / 8,2025-01-04T03:27:25.206953642Z,2,2025-01-04T03:27:25.354324258Z,true,2025-01-04T03:33:31.504850956Z,Chat,2025-01-04T03:27:25.206953642Z
01JGQR0AQHK3QJ4SZNZCX00A3N,01JGQN6E4C2CS4TK2X8C2X7854,2025-01-04T04:08:36.33714532Z,true,2025-01-04T04:14:55.331982224Z,01JGQN6E4PZYQW2YP2JJMZMCQ1,2025-01-04T04:08:36.33714532Z,6,2025-01-04T04:08:36.33714532Z,5,2025-01-04T04:08:36.33714532Z,Round 6 / 8,2025-01-04T04:08:36.33714532Z,2,2025-01-04T04:08:36.744326204Z,true,2025-01-04T04:14:02.035157729Z,Chat,2025-01-04T04:08:36.33714532Z
01JGQNMXGPB43K1HSZSDTSEK7S,01JGQN6NSNFC0AA3615DT146GN,2025-01-04T03:27:25.206237347Z,true,2025-01-04T03:30:53.557172394Z,01JGQN6NSWQ6QBDVXWPKB8EHYJ,2025-01-04T03:27:25.206237347Z,3,2025-01-04T03:27:25.206237347Z,2,2025-01-04T03:27:25.206237347Z,Round 3 / 8,2025-01-04T03:27:25.206237347Z,2,2025-01-04T03:27:25.341099139Z,true,2025-01-04T03:29:53.405262404Z,Chat,2025-01-04T03:27:25.206237347Z
01JGQQ0J24717XGA1H0FPND4S9,01JGQN6JCW5XFTXS88HCKCF1B3,2025-01-04T03:51:15.268936068Z,true,2025-01-04T03:57:13.830001282Z,01JGQN6JD587697NPG2SFQKVYT,2025-01-04T03:51:15.268936068Z,6,2025-01-04T03:51:15.268936068Z,5,2025-01-04T03:51:15.268936068Z,Round 6 / 8,2025-01-04T03:51:15.268936068Z,2,2025-01-04T03:51:15.459530844Z,true,2025-01-04T03:56:23.128884951Z,Chat,2025-01-04T03:51:15.268936068Z
01JGQNZXMAND2FV677ZNMKEKSG,01JGQN6MQ8FPTSRNX1S0D2KFER,2025-01-04T03:33:25.770340328Z,true,2025-01-04T03:37:47.942391105Z,01JGQN6MQG6XQMNGNFH6CVRM17,2025-01-04T03:33:25.770340328Z,4,2025-01-04T03:33:25.770340328Z,3,2025-01-04T03:33:25.770340328Z,Round 4 / 8,2025-01-04T03:33:25.770340328Z,2,2025-01-04T03:33:25.90115485Z,true,2025-01-04T03:36:54.586003256Z,Chat,2025-01-04T03:33:25.770340328Z
01JGQPV7GYW2K549XDRP11DDVB,01JGQN6JY5KFQGQW2710YA1DJ8,2025-01-04T03:48:20.638666441Z,true,2025-01-04T03:51:48.073261709Z,01JGQN6JYCCYTD00X7SSASGME4,2025-01-04T03:48:20.638666441Z,3,2025-01-04T03:48:20.638666441Z,2,2025-01-04T03:48:20.638666441Z,Round 3 / 8,2025-01-04T03:48:20.638666441Z,2,2025-01-04T03:48:20.852083026Z,true,2025-01-04T03:50:51.777429922Z,Chat,2025-01-04T03:48:20.638666441Z
01JGQQSES7YYXY3SDGKVDHXQ2A,01JGQN6FQPPX57374XCDH9XACY,2025-01-04T04:04:51.111328736Z,true,2025-01-04T04:12:13.312510598Z,01JGQN6FQYM8SA7W5K2DDKD4B1,2025-01-04T04:04:51.111328736Z,8,2025-01-04T04:04:51.111328736Z,7,2025-01-04T04:04:51.111328736Z,Round 8 / 8,2025-01-04T04:04:51.111328736Z,2,2025-01-04T04:04:51.513334824Z,true,2025-01-04T04:11:32.446365612Z,Chat,2025-01-04T04:04:51.111328736Z
01JGQQ39V78T58BPM7MY3VS83G,01JGQN6HRJWW1KWVV2ENHHH4YQ,2025-01-04T03:52:45.159667648Z,true,2025-01-04T03:56:17.082396053Z,01JGQN6HRV9WC2S1SA1FKCNRW7,2025-01-04T03:52:45.159667648Z,3,2025-01-04T03:52:45.159667648Z,2,2025-01-04T03:52:45.159667648Z,Round 3 / 8,2025-01-04T03:52:45.159667648Z,2,2025-01-04T03:52:45.308153697Z,true,2025-01-04T03:55:16.757575622Z,Chat,2025-01-04T03:52:45.159667648Z
01JGQR0ARKSEC100R3RM554W9B,01JGQN6E4C2CS4TK2X8C2X7854,2025-01-04T04:08:36.371133132Z,true,2025-01-04T04:16:32.833655792Z,01JGQN6E4PZYQW2YP2JJMZMCQ1,2025-01-04T04:08:36.371133132Z,8,2025-01-04T04:08:36.371133132Z,7,2025-01-04T04:08:36.371133132Z,Round 8 / 8,2025-01-04T04:08:36.371133132Z,2,2025-01-04T04:08:36.791724487Z,true,2025-01-04T04:15:48.521809869Z,Chat,2025-01-04T04:08:36.371133132Z
01JGQNHCF6HJSV3NS3MNN681HP,01JGQN6Q06JA1XZ710BERNRPEQ,2025-01-04T03:25:29.446131829Z,true,2025-01-04T03:28:51.470396748Z,01JGQN6Q0EQGCV317N3E1ZWK5C,2025-01-04T03:25:29.446131829Z,3,2025-01-04T03:25:29.446131829Z,2,2025-01-04T03:25:29.446131829Z,Round 3 / 8,2025-01-04T03:25:29.446131829Z,2,2025-01-04T03:25:29.680613772Z,true,2025-01-04T03:28:00.266905494Z,Chat,2025-01-04T03:25:29.446131829Z
01JGQNMXGCBJMSAZG0HNBZ7HHE,01JGQN6NSNFC0AA3615DT146GN,2025-01-04T03:27:25.19659957Z,true,2025-01-04T03:28:55.707060873Z,01JGQN6NSWQ6QBDVXWPKB8EHYJ,2025-01-04T03:27:25.19659957Z,1,2025-01-04T03:27:25.19659957Z,0,2025-01-04T03:27:25.19659957Z,Round 1 / 8,2025-01-04T03:27:25.19659957Z,3,2025-01-04T03:27:25.327032751Z,true,2025-01-04T03:27:25.354324258Z,Chat,2025-01-04T03:27:25.19659957Z
01JGQNWZ89ZVVMAEG8DWH7RQW6,01JGQN6N6ZD0N87MWSG78C1ZJT,2025-01-04T03:31:49.129530691Z,true,2025-01-04T03:38:12.65282457Z,01JGQN6N75REDW2HT5QWGDBSQX,2025-01-04T03:31:49.129530691Z,6,2025-01-04T03:31:49.129530691Z,5,2025-01-04T03:31:49.129530691Z,Round 6 / 8,2025-01-04T03:31:49.129530691Z,2,2025-01-04T03:31:49.192267803Z,true,2025-01-04T03:37:20.592788804Z,Chat,2025-01-04T03:31:49.129530691Z
01JGQPJTTS80KJ8B3BBBWW5PRR,01JGQN6KGZXD498J5FW8G3KXAG,2025-01-04T03:43:45.497398561Z,true,2025-01-04T03:50:56.458036993Z,01JGQN6KH5XWF5M44PT56K5P9Q,2025-01-04T03:43:45.497398561Z,8,2025-01-04T03:43:45.497398561Z,7,2025-01-04T03:43:45.497398561Z,Round 8 / 8,2025-01-04T03:43:45.497398561Z,2,2025-01-04T03:43:45.658368369Z,true,2025-01-04T03:50:13.766341757Z,Chat,2025-01-04T03:43:45.497398561Z
01JGQQ39V24SWZXREWD4MC2FSM,01JGQN6HRJWW1KWVV2ENHHH4YQ,2025-01-04T03:52:45.154829893Z,true,2025-01-04T03:54:16.407089789Z,01JGQN6HRV9WC2S1SA1FKCNRW7,2025-01-04T03:52:45.154829893Z,1,2025-01-04T03:52:45.154829893Z,0,2025-01-04T03:52:45.154829893Z,Round 1 / 8,2025-01-04T03:52:45.154829893Z,3,2025-01-04T03:52:45.518751771Z,true,2025-01-04T03:52:45.877707284Z,Chat,2025-01-04T03:52:45.154829893Z
01JGQNMXGR7HBC9HXX61Q1FM4V,01JGQN6NSNFC0AA3615DT146GN,2025-01-04T03:27:25.208039262Z,true,2025-01-04T03:32:39.622067353Z,01JGQN6NSWQ6QBDVXWPKB8EHYJ,2025-01-04T03:27:25.208039262Z,5,2025-01-04T03:27:25.208039262Z,4,2025-01-04T03:27:25.208039262Z,Round 5 / 8,2025-01-04T03:27:25.208039262Z,2,2025-01-04T03:27:25.344363381Z,true,2025-01-04T03:31:44.924637562Z,Chat,2025-01-04T03:27:25.208039262Z
01JGQPV7H7Z72MKK7226NG5F8H,01JGQN6JY5KFQGQW2710YA1DJ8,2025-01-04T03:48:20.64736199Z,true,2025-01-04T03:56:30.617122753Z,01JGQN6JYCCYTD00X7SSASGME4,2025-01-04T03:48:20.64736199Z,8,2025-01-04T03:48:20.64736199Z,7,2025-01-04T03:48:20.64736199Z,Round 8 / 8,2025-01-04T03:48:20.64736199Z,2,2025-01-04T03:48:20.845199775Z,true,2025-01-04T03:55:33.196165162Z,Chat,2025-01-04T03:48:20.64736199Z
01JGQQ0J0SMT6SQAC7W35372VS,01JGQN6JCW5XFTXS88HCKCF1B3,2025-01-04T03:51:15.225038423Z,true,2025-01-04T03:52:46.2037064Z,01JGQN6JD587697NPG2SFQKVYT,2025-01-04T03:51:15.225038423Z,1,2025-01-04T03:51:15.225038423Z,0,2025-01-04T03:51:15.225038423Z,Round 1 / 8,2025-01-04T03:51:15.225038423Z,3,2025-01-04T03:51:15.56500727Z,true,2025-01-04T03:51:15.81202187Z,Chat,2025-01-04T03:51:15.225038423Z
01JGQQ7EFVESKSKB3CNRXQQMY3,01JGQN6H4SJHBA63J3Q3XNJ08Z,2025-01-04T03:55:00.987355625Z,true,2025-01-04T03:56:32.335204299Z,01JGQN6H51VVPKH8JK4RNC2G7B,2025-01-04T03:55:00.987355625Z,1,2025-01-04T03:55:00.987355625Z,0,2025-01-04T03:55:00.987355625Z,Round 1 / 8,2025-01-04T03:55:00.987355625Z,3,2025-01-04T03:55:01.25028452Z,true,2025-01-04T03:55:01.592986239Z,Chat,2025-01-04T03:55:00.987355625Z
01JGQQ7EG6RFDEEFTT957AGQ8J,01JGQN6H4SJHBA63J3Q3XNJ08Z,2025-01-04T03:55:00.998985044Z,true,2025-01-04T03:58:33.130370819Z,01JGQN6H51VVPKH8JK4RNC2G7B,2025-01-04T03:55:00.998985044Z,3,2025-01-04T03:55:00.998985044Z,2,2025-01-04T03:55:00.998985044Z,Round 3 / 8,2025-01-04T03:55:00.998985044Z,2,2025-01-04T03:55:01.196020725Z,true,2025-01-04T03:57:32.727813857Z,Chat,2025-01-04T03:55:00.998985044Z
01JGQQ7EGSW7A74AET6NQ1QD55,01JGQN6H4SJHBA63J3Q3XNJ08Z,2025-01-04T03:55:01.017147615Z,true,2025-01-04T04:01:34.446746018Z,01JGQN6H51VVPKH8JK4RNC2G7B,2025-01-04T03:55:01.017147615Z,6,2025-01-04T03:55:01.017147615Z,5,2025-01-04T03:55:01.017147615Z,Round 6 / 8,2025-01-04T03:55:01.017147615Z,2,2025-01-04T03:55:01.154826544Z,true,2025-01-04T04:00:34.062483693Z,Chat,2025-01-04T03:55:01.017147615Z
01JGQQM9FNVJSD5T9R7VTA6AKX,01JGQN6GJNGCAHXWA9BHTVKTHV,2025-01-04T04:02:01.845954676Z,true,2025-01-04T04:06:12.000346507Z,01JGQN6GK1YC028VN449S35EYW,2025-01-04T04:02:01.845954676Z,4,2025-01-04T04:02:01.845954676Z,3,2025-01-04T04:02:01.845954676Z,Round 4 / 8,2025-01-04T04:02:01.845954676Z,2,2025-01-04T04:02:02.037598045Z,true,2025-01-04T04:05:24.320738561Z,Chat,2025-01-04T04:02:01.845954676Z
01JGQNRX5655YGK7H0W5JSS6EH,01JGQN6PD9ETGKE29MHY3NVMYG,2025-01-04T03:29:35.91090501Z,true,2025-01-04T03:36:35.948341569Z,01JGQN6PDJX2AMV6D7XVGKA52P,2025-01-04T03:29:35.91090501Z,7,2025-01-04T03:29:35.91090501Z,6,2025-01-04T03:29:35.91090501Z,Round 7 / 8,2025-01-04T03:29:35.91090501Z,2,2025-01-04T03:29:36.057963857Z,true,2025-01-04T03:35:50.168613387Z,Chat,2025-01-04T03:29:35.91090501Z
01JGQPFQD0HMB2EBW6NQ066D4T,01JGQN6M4PG7DV9YQHF1FJ1PBM,2025-01-04T03:42:03.680181038Z,true,2025-01-04T03:43:34.372726007Z,01JGQN6M4YYY6RKNGWXCMRGHF1,2025-01-04T03:42:03.680181038Z,1,2025-01-04T03:42:03.680181038Z,0,2025-01-04T03:42:03.680181038Z,Round 1 / 8,2025-01-04T03:42:03.680181038Z,3,2025-01-04T03:42:03.906960616Z,true,2025-01-04T03:42:03.986329021Z,Chat,2025-01-04T03:42:03.680181038Z
01JGQPV7GJSE52G2PZ4RJ8501V,01JGQN6JY5KFQGQW2710YA1DJ8,2025-01-04T03:48:20.626035176Z,true,2025-01-04T03:50:51.756133175Z,01JGQN6JYCCYTD00X7SSASGME4,2025-01-04T03:48:20.626035176Z,2,2025-01-04T03:48:20.626035176Z,1,2025-01-04T03:48:20.626035176Z,Round 2 / 8,2025-01-04T03:48:20.626035176Z,2,2025-01-04T03:48:20.787678947Z,true,2025-01-04T03:49:51.457001065Z,Chat,2025-01-04T03:48:20.626035176Z
