Time Step,Agent 1,Agent 2,Agent 3,Agent 4
0,2.0,7.0,6.0,6.0
1,4.5,4.5,6.0,6.0
2,5.25,5.25,5.25,5.25
3,5.25,5.25,5.25,5.25
4,5.25,5.25,5.25,5.25
5,5.25,5.25,5.25,5.25
6,5.25,5.25,5.25,5.25
7,5.25,5.25,5.25,5.25
8,5.25,5.25,5.25,5.25
