Time Step,Agent 1,Agent 2,Agent 3,Agent 4
0,5.0,6.0,6.0,5.0
1,11.0,11.0,11.0,11.0
2,22.0,22.0,22.0,22.0
3,44.0,44.0,44.0,44.0
4,88.0,88.0,88.0,88.0
5,176.0,176.0,176.0,176.0
6,352.0,352.0,352.0,352.0
7,704.0,704.0,704.0,704.0
8,1408.0,1408.0,1408.0,1408.0
