id,config,configLastChangedAt,endedReason,endedReasonLastChangedAt,initialized,initializedLastChangedAt,lobbyConfig,lobbyConfigLastChangedAt,status,statusLastChangedAt
01JGQ38X5T1C9ZF4W4JZRJVND8,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""RS_slider"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""RabbitsSquirrels""}},""count"":1}]}}",2025-01-03T22:06:17.274575625Z,,,true,2025-01-03T22:06:17.282656939Z,"{""name"":""this"",""kind"":""shared"",""duration"":900000000000,""strategy"":""fail""}",2025-01-03T22:06:17.274575625Z,terminated,2025-01-03T22:37:19.546936339Z
01JGQ3914W89GAPVD3HTBQW011,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""RS_slider"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""RabbitsSquirrels""}},""count"":1}]}}",2025-01-03T22:06:21.340894282Z,all games finished,2025-01-03T22:22:15.100138787Z,true,2025-01-03T22:06:21.34798138Z,"{""name"":""this"",""kind"":""shared"",""duration"":900000000000,""strategy"":""fail""}",2025-01-03T22:06:21.340894282Z,ended,2025-01-03T22:22:15.100138787Z
01JGQ655230F44DWC1531PHPEE,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""RS_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""RabbitsSquirrels""}},""count"":1}]}}",2025-01-03T22:56:40.003984528Z,,,true,2025-01-03T22:56:40.019315244Z,"{""name"":""this"",""kind"":""shared"",""duration"":900000000000,""strategy"":""fail""}",2025-01-03T22:56:40.003984528Z,created,2025-01-03T22:56:40.003984528Z
01JGQ6575Z8W7S907X36MY3B6G,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""RS_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""RabbitsSquirrels""}},""count"":1}]}}",2025-01-03T22:56:42.175527744Z,,,true,2025-01-03T22:56:42.193254069Z,"{""name"":""this"",""kind"":""shared"",""duration"":900000000000,""strategy"":""fail""}",2025-01-03T22:56:42.175527744Z,created,2025-01-03T22:56:42.175527744Z
01JGQ65P3A87MPVN02BGFNWP5Q,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""RS_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""RabbitsSquirrels""}},""count"":1}]}}",2025-01-03T22:56:57.450791495Z,,,true,2025-01-03T22:56:57.469730733Z,"{""name"":""this"",""kind"":""shared"",""duration"":900000000000,""strategy"":""fail""}",2025-01-03T22:56:57.450791495Z,running,2025-01-03T23:05:17.136356691Z
01JGQ38WMQ7W3GYF5TVYX9H6BM,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""RS_slider"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""RabbitsSquirrels""}},""count"":1}]}}",2025-01-03T22:06:16.72706419Z,all games finished,2025-01-03T22:54:21.027319305Z,true,2025-01-03T22:06:16.735752022Z,"{""name"":""this"",""kind"":""shared"",""duration"":900000000000,""strategy"":""fail""}",2025-01-03T22:06:16.72706419Z,ended,2025-01-03T22:54:21.027319305Z
01JGQ38VG765T1QAW5DXFSTB5T,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""RS_slider"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""RabbitsSquirrels""}},""count"":1}]}}",2025-01-03T22:06:15.559974394Z,all games finished,2025-01-03T22:56:34.571876077Z,true,2025-01-03T22:06:15.570450679Z,"{""name"":""this"",""kind"":""shared"",""duration"":900000000000,""strategy"":""fail""}",2025-01-03T22:06:15.559974394Z,ended,2025-01-03T22:56:34.571876077Z
01JGQ41H66G5BQ3JPQHQ0PFSRD,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""RS_slider"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""RabbitsSquirrels""}},""count"":1}]}}",2025-01-03T22:19:44.198927322Z,all games finished,2025-01-03T22:30:23.013846678Z,true,2025-01-03T22:19:44.20962699Z,"{""name"":""this"",""kind"":""shared"",""duration"":900000000000,""strategy"":""fail""}",2025-01-03T22:19:44.198927322Z,ended,2025-01-03T22:30:23.013846678Z
01JGQ5YRR9KAX7WEBZHY1ZZNN0,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""RS_slider"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""RabbitsSquirrels""}},""count"":1}]}}",2025-01-03T22:53:10.793682064Z,,,true,2025-01-03T22:53:10.807050537Z,"{""name"":""this"",""kind"":""shared"",""duration"":900000000000,""strategy"":""fail""}",2025-01-03T22:53:10.793682064Z,terminated,2025-01-03T22:56:30.872192435Z
01JGQ65KXAJ616QS4KSNVX0JVZ,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""RS_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""RabbitsSquirrels""}},""count"":1}]}}",2025-01-03T22:56:55.210477436Z,,,true,2025-01-03T22:56:55.230606067Z,"{""name"":""this"",""kind"":""shared"",""duration"":900000000000,""strategy"":""fail""}",2025-01-03T22:56:55.210477436Z,created,2025-01-03T22:56:55.210477436Z
