id,batchID,batchIDLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,idx,idxLastChangedAt,index,indexLastChangedAt,name,nameLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt,task,taskLastChangedAt
01JGQ3P5ZZWTBTWWV5B5RZQVS7,01JGQ38AF6ZPZ3ZQGJZJ1TF2DJ,2025-01-03T22:13:32.287230616Z,true,2025-01-03T22:15:17.864968605Z,01JGQ38AFSHSR7RK1CRTQSZ5PH,2025-01-03T22:13:32.287230616Z,3,2025-01-03T22:13:32.287230616Z,2,2025-01-03T22:13:32.287230616Z,Round 3 / 8,2025-01-03T22:13:32.287230616Z,1,2025-01-03T22:13:32.491756303Z,true,2025-01-03T22:14:56.63811311Z,Chat,2025-01-03T22:13:32.287230616Z
01JGQ43YYXN3G6C8ADXKE8SCY5,01JGQ390KP8DCY2B8XE6R2B7J3,2025-01-03T22:21:03.837453458Z,true,2025-01-03T22:24:04.752920912Z,01JGQ390KWWYY8R4TXCFAAPTD9,2025-01-03T22:21:03.837453458Z,5,2025-01-03T22:21:03.837453458Z,4,2025-01-03T22:21:03.837453458Z,Round 5 / 8,2025-01-03T22:21:03.837453458Z,1,2025-01-03T22:21:03.917018153Z,true,2025-01-03T22:23:34.613020726Z,Chat,2025-01-03T22:21:03.837453458Z
01JGQ4DMZH92EHR9PWGRJH15GV,01JGQ41H66G5BQ3JPQHQ0PFSRD,2025-01-03T22:26:21.297306387Z,true,2025-01-03T22:30:22.971194609Z,01JGQ41H6JT4SPXHTED1FMWCB7,2025-01-03T22:26:21.297306387Z,8,2025-01-03T22:26:21.297306387Z,7,2025-01-03T22:26:21.297306387Z,Round 8 / 8,2025-01-03T22:26:21.297306387Z,1,2025-01-03T22:26:21.458815648Z,true,2025-01-03T22:29:58.890380109Z,Chat,2025-01-03T22:26:21.297306387Z
01JGQ506H7NJW0NKDBQ46070CQ,01JGQ38YW9S868R2GPPT418ETN,2025-01-03T22:36:29.095697763Z,true,2025-01-03T22:39:35.438225685Z,01JGQ38YWH6Y27FMC7PEXQSJJ3,2025-01-03T22:36:29.095697763Z,7,2025-01-03T22:36:29.095697763Z,6,2025-01-03T22:36:29.095697763Z,Round 7 / 8,2025-01-03T22:36:29.095697763Z,1,2025-01-03T22:36:29.263513097Z,true,2025-01-03T22:39:18.630939978Z,Chat,2025-01-03T22:36:29.095697763Z
01JGQ533A28MXX7BNSMWQ976EQ,01JGQ38YBQ7NJ8PV7YGAVRGMGS,2025-01-03T22:38:04.098940933Z,true,2025-01-03T22:41:56.175232861Z,01JGQ38YC02FC43CVT2ZFN75M5,2025-01-03T22:38:04.098940933Z,7,2025-01-03T22:38:04.098940933Z,6,2025-01-03T22:38:04.098940933Z,Round 7 / 8,2025-01-03T22:38:04.098940933Z,1,2025-01-03T22:38:04.229739729Z,true,2025-01-03T22:41:26.006813923Z,Chat,2025-01-03T22:38:04.098940933Z
01JGQ5SXS7VBZSJ7SEK7QARG42,01JGQ38WMQ7W3GYF5TVYX9H6BM,2025-01-03T22:50:32.103812884Z,true,2025-01-03T22:51:54.092414504Z,01JGQ38WN029258Q1WMJK2KV80,2025-01-03T22:50:32.103812884Z,2,2025-01-03T22:50:32.103812884Z,1,2025-01-03T22:50:32.103812884Z,Round 2 / 8,2025-01-03T22:50:32.103812884Z,1,2025-01-03T22:50:32.218093184Z,true,2025-01-03T22:51:32.624572795Z,Chat,2025-01-03T22:50:32.103812884Z
01JGQ63D2S69X8HACFVF3ACDQW,01JGQ38TKTGXX1G6N81H6GJ3G4,2025-01-03T22:55:42.681258401Z,true,2025-01-03T22:59:11.796978268Z,01JGQ38TM5V1QN92TCPP5KFZFS,2025-01-03T22:55:42.681258401Z,7,2025-01-03T22:55:42.681258401Z,6,2025-01-03T22:55:42.681258401Z,Round 7 / 8,2025-01-03T22:55:42.681258401Z,1,2025-01-03T22:55:42.909115468Z,true,2025-01-03T22:58:50.736103041Z,Chat,2025-01-03T22:55:42.681258401Z
01JGQ71JGRC5CYRKNET9FSJX0J,01JGQ65PRZYMQ10XNT5TDGWRHT,2025-01-03T23:12:11.288826083Z,true,2025-01-03T23:15:43.954935835Z,01JGQ65PSV4VG5MD1HSCDACPHJ,2025-01-03T23:12:11.288826083Z,3,2025-01-03T23:12:11.288826083Z,2,2025-01-03T23:12:11.288826083Z,Round 3 / 8,2025-01-03T23:12:11.288826083Z,2,2025-01-03T23:12:11.673045832Z,true,2025-01-03T23:14:43.546006754Z,Chat,2025-01-03T23:12:11.288826083Z
01JGQ506GPB64NADS8RTFKADFB,01JGQ38YW9S868R2GPPT418ETN,2025-01-03T22:36:29.078937871Z,true,2025-01-03T22:37:29.585090967Z,01JGQ38YWH6Y27FMC7PEXQSJJ3,2025-01-03T22:36:29.078937871Z,1,2025-01-03T22:36:29.078937871Z,0,2025-01-03T22:36:29.078937871Z,Round 1 / 8,2025-01-03T22:36:29.078937871Z,2,2025-01-03T22:36:29.141243586Z,true,2025-01-03T22:36:29.173578704Z,Chat,2025-01-03T22:36:29.078937871Z
01JGQ506GY19FF545SZ3HAW00S,01JGQ38YW9S868R2GPPT418ETN,2025-01-03T22:36:29.086611748Z,true,2025-01-03T22:39:18.612074831Z,01JGQ38YWH6Y27FMC7PEXQSJJ3,2025-01-03T22:36:29.086611748Z,6,2025-01-03T22:36:29.086611748Z,5,2025-01-03T22:36:29.086611748Z,Round 6 / 8,2025-01-03T22:36:29.086611748Z,1,2025-01-03T22:36:29.17758283Z,true,2025-01-03T22:38:58.841109651Z,Chat,2025-01-03T22:36:29.086611748Z
01JGQ6MBQE48CWC4CSW90VCK7K,01JGQ52XWMWWXFEGQ6W1AYDV8A,2025-01-03T23:04:58.350730263Z,true,2025-01-03T23:06:29.905185592Z,01JGQ52XWZD49B9WD5K2KTEVGM,2025-01-03T23:04:58.350730263Z,1,2025-01-03T23:04:58.350730263Z,0,2025-01-03T23:04:58.350730263Z,Round 1 / 8,2025-01-03T23:04:58.350730263Z,3,2025-01-03T23:04:58.818245384Z,true,2025-01-03T23:04:59.375405692Z,Chat,2025-01-03T23:04:58.350730263Z
