id,name,nameLastChangedAt,start,startLastChangedAt,ended,endedLastChangedAt,roundID,roundIDLastChangedAt,timerID,timerIDLastChangedAt,index,indexLastChangedAt,duration,durationLastChangedAt,gameID,gameIDLastChangedAt,batchID,batchIDLastChangedAt,initialized,initializedLastChangedAt,started,startedLastChangedAt,status,statusLastChangedAt,endedReason,endedReasonLastChangedAt
01HW3PDVVTVZVEP4HPPQEQGFZG,observe,2024-04-22T20:02:17.594207636Z,false,2024-04-22T20:02:17.594207636Z,false,2024-04-22T20:02:17.594207636Z,01HW3PDVJN0FW3DWAYBX8N32KE,2024-04-22T20:02:17.594207636Z,01HW3PDVNGA7VQT1EK0HFESAFD,2024-04-22T20:02:17.594207636Z,0,2024-04-22T20:02:17.594207636Z,30,2024-04-22T20:02:17.594207636Z,01HW3P173ZXEK1M8YGPFDKAETQ,2024-04-22T20:02:17.594207636Z,01HW3P173J50NZHDPVMGM7JDN5,2024-04-22T20:02:17.594207636Z,,,,,,,,
01HW3PDVVXK16MVBSQDA09K7YT,observe,2024-04-22T20:02:17.597057374Z,false,2024-04-22T20:02:17.597057374Z,false,2024-04-22T20:02:17.597057374Z,01HW3PDVJMQH2SBZA9N9KCZC5G,2024-04-22T20:02:17.597057374Z,01HW3PDVNFXGXZW8P2WX8AWK1W,2024-04-22T20:02:17.597057374Z,0,2024-04-22T20:02:17.597057374Z,30,2024-04-22T20:02:17.597057374Z,01HW3P173ZXEK1M8YGPFDKAETQ,2024-04-22T20:02:17.597057374Z,01HW3P173J50NZHDPVMGM7JDN5,2024-04-22T20:02:17.597057374Z,,,,,,,,
01HW3PKXR8CKSVHYE9RX5SPXHC,observe,2024-04-22T20:05:36.1369078Z,true,2024-04-22T20:07:04.016709194Z,true,2024-04-22T20:07:21.354559162Z,01HW3PKXP58H4DSFS2B1QW1THC,2024-04-22T20:05:36.1369078Z,01HW3PKXR3JCKYSW727JDT06AP,2024-04-22T20:05:36.1369078Z,0,2024-04-22T20:05:36.1369078Z,30,2024-04-22T20:05:36.1369078Z,01HW3P6XB34VZ4RBNTRNYTSSYK,2024-04-22T20:05:36.1369078Z,01HW3P6XAHCHRJHRVFA1MMT5CK,2024-04-22T20:05:36.1369078Z,true,2024-04-22T20:07:04.057419037Z,true,2024-04-22T20:07:04.073009158Z,,,,
01HW3PKXRCPZ7M47QW8KW8BPE4,observe,2024-04-22T20:05:36.14052466Z,true,2024-04-22T20:07:21.495574134Z,true,2024-04-22T20:07:31.565175818Z,01HW3PKXP58H4DSFS2AEDKCEYZ,2024-04-22T20:05:36.14052466Z,01HW3PKXR4AKS006MB92HE4AW2,2024-04-22T20:05:36.14052466Z,0,2024-04-22T20:05:36.14052466Z,30,2024-04-22T20:05:36.14052466Z,01HW3P6XB34VZ4RBNTRNYTSSYK,2024-04-22T20:05:36.14052466Z,01HW3P6XAHCHRJHRVFA1MMT5CK,2024-04-22T20:05:36.14052466Z,true,2024-04-22T20:07:21.538356606Z,true,2024-04-22T20:07:21.559279762Z,,,,
01HW3PKXRFKKMSYW40SWV1W1Z0,observe,2024-04-22T20:05:36.143875602Z,true,2024-04-22T20:07:31.62911939Z,true,2024-04-22T20:07:48.801252804Z,01HW3PKXP58H4DSFS2BJAEZ7KA,2024-04-22T20:05:36.143875602Z,01HW3PKXR5EX6CB1JHTKE3PBC7,2024-04-22T20:05:36.143875602Z,0,2024-04-22T20:05:36.143875602Z,30,2024-04-22T20:05:36.143875602Z,01HW3P6XB34VZ4RBNTRNYTSSYK,2024-04-22T20:05:36.143875602Z,01HW3P6XAHCHRJHRVFA1MMT5CK,2024-04-22T20:05:36.143875602Z,true,2024-04-22T20:07:31.654927758Z,true,2024-04-22T20:07:31.666455633Z,,,,
01HW3PKXRKSPX12RED15AHXGT9,observe,2024-04-22T20:05:36.147940476Z,true,2024-04-22T20:05:36.48193525Z,true,2024-04-22T20:06:05.53275075Z,01HW3PKXP1M7EB3W4M6EK0BAT9,2024-04-22T20:05:36.147940476Z,01HW3PKXR1S6NC187TFZV6HD8T,2024-04-22T20:05:36.147940476Z,0,2024-04-22T20:05:36.147940476Z,30,2024-04-22T20:05:36.147940476Z,01HW3P6XB34VZ4RBNTRNYTSSYK,2024-04-22T20:05:36.147940476Z,01HW3P6XAHCHRJHRVFA1MMT5CK,2024-04-22T20:05:36.147940476Z,true,2024-04-22T20:05:36.522220156Z,true,2024-04-22T20:05:36.532204245Z,,,,
01HW3PKXRSFT04D698SFHS2PC5,observe,2024-04-22T20:05:36.153325062Z,true,2024-04-22T20:06:05.608067704Z,true,2024-04-22T20:06:33.830185683Z,01HW3PKXP49ESDHYQ5ASSE144R,2024-04-22T20:05:36.153325062Z,01HW3PKXR1S6NC187TG2ZSDKA2,2024-04-22T20:05:36.153325062Z,0,2024-04-22T20:05:36.153325062Z,30,2024-04-22T20:05:36.153325062Z,01HW3P6XB34VZ4RBNTRNYTSSYK,2024-04-22T20:05:36.153325062Z,01HW3P6XAHCHRJHRVFA1MMT5CK,2024-04-22T20:05:36.153325062Z,true,2024-04-22T20:06:05.646842708Z,true,2024-04-22T20:06:05.66079911Z,,,,
01HW3PKXRXAX10Z3H25XDKRP1V,observe,2024-04-22T20:05:36.157066126Z,true,2024-04-22T20:06:33.890926536Z,true,2024-04-22T20:07:03.941723575Z,01HW3PKXP6DJK8JPF5VN73DFKY,2024-04-22T20:05:36.157066126Z,01HW3PKXR5EX6CB1JHTSB7C5S6,2024-04-22T20:05:36.157066126Z,0,2024-04-22T20:05:36.157066126Z,30,2024-04-22T20:05:36.157066126Z,01HW3P6XB34VZ4RBNTRNYTSSYK,2024-04-22T20:05:36.157066126Z,01HW3P6XAHCHRJHRVFA1MMT5CK,2024-04-22T20:05:36.157066126Z,true,2024-04-22T20:06:33.923222855Z,true,2024-04-22T20:06:33.938076721Z,,,,
01HW3PKXS0DFMRC3Y23PQW4GR6,observe,2024-04-22T20:05:36.160074152Z,true,2024-04-22T20:07:48.925684145Z,true,2024-04-22T20:08:01.872253577Z,01HW3PKXP6DJK8JPF5W5DKH7EB,2024-04-22T20:05:36.160074152Z,01HW3PKXR5EX6CB1JHTXAJM65S,2024-04-22T20:05:36.160074152Z,0,2024-04-22T20:05:36.160074152Z,30,2024-04-22T20:05:36.160074152Z,01HW3P6XB34VZ4RBNTRNYTSSYK,2024-04-22T20:05:36.160074152Z,01HW3P6XAHCHRJHRVFA1MMT5CK,2024-04-22T20:05:36.160074152Z,true,2024-04-22T20:07:48.975258019Z,true,2024-04-22T20:07:48.991561468Z,,,,
01HW3PKXS2X5CJDD9MT9ABZREA,observe,2024-04-22T20:05:36.163008847Z,true,2024-04-22T20:08:01.94102058Z,true,2024-04-22T20:08:20.344307746Z,01HW3PKXP7TZ84VXMR21KVFGBC,2024-04-22T20:05:36.163008847Z,01HW3PKXR5EX6CB1JHV5FRCAH1,2024-04-22T20:05:36.163008847Z,0,2024-04-22T20:05:36.163008847Z,30,2024-04-22T20:05:36.163008847Z,01HW3P6XB34VZ4RBNTRNYTSSYK,2024-04-22T20:05:36.163008847Z,01HW3P6XAHCHRJHRVFA1MMT5CK,2024-04-22T20:05:36.163008847Z,true,2024-04-22T20:08:01.97112362Z,true,2024-04-22T20:08:01.983981845Z,,,,
