gameID,players,total_nRabbits,total_nSquirrels,mleGame,total_nCritters,entropy,representation
5,"[{""playerID"": 18, ""nRabbits"": 4, ""nSquirrels"": 0}, {""playerID"": 18, ""nRabbits"": 1, ""nSquirrels"": 3}, {""playerID"": 18, ""nRabbits"": 19, ""nSquirrels"": 6}, {""playerID"": 18, ""nRabbits"": 18, ""nSquirrels"": 11}]",42,20,0.6774193548387096,62,0.6287993940937805,0.22232758620689655
5,"[{""playerID"": 19, ""nRabbits"": 13, ""nSquirrels"": 16}, {""playerID"": 19, ""nRabbits"": 1, ""nSquirrels"": 0}, {""playerID"": 19, ""nRabbits"": 3, ""nSquirrels"": 0}, {""playerID"": 19, ""nRabbits"": 9, ""nSquirrels"": 4}]",26,20,0.5652173913043478,46,0.6846162778013047,0.2783992619075078
5,"[{""playerID"": 20, ""nRabbits"": 2, ""nSquirrels"": 2}, {""playerID"": 20, ""nRabbits"": 0, ""nSquirrels"": 1}, {""playerID"": 20, ""nRabbits"": 26, ""nSquirrels"": 3}, {""playerID"": 20, ""nRabbits"": 21, ""nSquirrels"": 8}]",49,14,0.7777777777777778,63,0.5297061990576545,0.30699233716475094
6,"[{""playerID"": 21, ""nRabbits"": 1, ""nSquirrels"": 3}, {""playerID"": 21, ""nRabbits"": 15, ""nSquirrels"": 9}, {""playerID"": 21, ""nRabbits"": 0, ""nSquirrels"": 2}, {""playerID"": 21, ""nRabbits"": 14, ""nSquirrels"": 3}]",30,17,0.6382978723404256,47,0.6543912549266473,0.30628128911138924
6,"[{""playerID"": 22, ""nRabbits"": 2, ""nSquirrels"": 2}, {""playerID"": 22, ""nRabbits"": 1, ""nSquirrels"": 0}, {""playerID"": 22, ""nRabbits"": 15, ""nSquirrels"": 0}, {""playerID"": 22, ""nRabbits"": 1, ""nSquirrels"": 4}]",19,6,0.76,25,0.5510799280869728,0.325
6,"[{""playerID"": 23, ""nRabbits"": 7, ""nSquirrels"": 0}, {""playerID"": 23, ""nRabbits"": 0, ""nSquirrels"": 3}, {""playerID"": 23, ""nRabbits"": 7, ""nSquirrels"": 2}, {""playerID"": 23, ""nRabbits"": 0, ""nSquirrels"": 1}]",14,6,0.7,20,0.6108643020548935,0.4444444444444445
6,"[{""playerID"": 24, ""nRabbits"": 9, ""nSquirrels"": 3}, {""playerID"": 24, ""nRabbits"": 2, ""nSquirrels"": 1}, {""playerID"": 24, ""nRabbits"": 2, ""nSquirrels"": 0}, {""playerID"": 24, ""nRabbits"": 2, ""nSquirrels"": 0}]",15,4,0.7894736842105263,19,0.5146531654289292,0.14583333333333334
7,"[{""playerID"": 25, ""nRabbits"": 3, ""nSquirrels"": 2}, {""playerID"": 25, ""nRabbits"": 2, ""nSquirrels"": 0}, {""playerID"": 25, ""nRabbits"": 1, ""nSquirrels"": 0}, {""playerID"": 25, ""nRabbits"": 5, ""nSquirrels"": 2}]",11,4,0.7333333333333333,15,0.5799151714181009,0.17142857142857143
7,"[{""playerID"": 26, ""nRabbits"": 1, ""nSquirrels"": 5}, {""playerID"": 26, ""nRabbits"": 2, ""nSquirrels"": 4}, {""playerID"": 26, ""nRabbits"": 3, ""nSquirrels"": 4}, {""playerID"": 26, ""nRabbits"": 2, ""nSquirrels"": 2}]",8,15,0.34782608695652173,23,0.6460905050608089,0.10714285714285715
7,"[{""playerID"": 27, ""nRabbits"": 10, ""nSquirrels"": 2}, {""playerID"": 27, ""nRabbits"": 0, ""nSquirrels"": 2}, {""playerID"": 27, ""nRabbits"": 20, ""nSquirrels"": 5}, {""playerID"": 27, ""nRabbits"": 3, ""nSquirrels"": 4}]",33,13,0.717391304347826,46,0.5954002839805336,0.30119047619047623
