gameID,total_nRabbits,total_nSquirrels,mleGame,total_nCritters,entropy,representation
1,53,20,0.726027397260274,73,0.5871701686916475,0.0821042345310177
1,32,8,0.8,40,0.5004024235381879,0.07946428571428571
1,46,22,0.6764705882352942,68,0.6295012608763815,0.12289562289562292
1,45,25,0.6428571428571429,70,0.6517565611726531,0.053615944240944235
2,49,22,0.6901408450704225,71,0.6189879251919682,0.07907268170426066
2,38,18,0.6785714285714286,56,0.627941588739906,0.0476250601250601
2,75,28,0.7281553398058253,103,0.5850849610439174,0.051935874168179075
2,33,13,0.717391304347826,46,0.5954002839805336,0.15240384615384614
3,23,13,0.6388888888888888,36,0.6540548103069317,0.1625
3,35,17,0.6730769230769231,52,0.6319781608682513,0.1292270531400966
3,38,9,0.8085106382978723,47,0.4883753620158324,0.10199468085106386
3,25,10,0.7142857142857143,35,0.5982695885852573,0.16741071428571427
4,25,9,0.7352941176470589,34,0.5779217946828968,0.30490196078431375
4,23,11,0.6764705882352942,34,0.6295012608763815,0.22115384615384615
4,28,7,0.8,35,0.5004024235381879,0.23410087719298245
4,39,9,0.8125,48,0.48257756517701206,0.22765151515151516
5,37,25,0.5967741935483871,62,0.6742979594073284,0.22215083303792982
5,16,2,0.8888888888888888,18,0.34883209584303193,0.10555555555555557
5,13,9,0.5909090909090909,22,0.6765259604934999,0.10037878787878785
5,16,8,0.6666666666666666,24,0.6365141682948128,0.24439102564102563
6,45,15,0.75,60,0.5623351446188083,0.27584466280791486
6,7,5,0.5833333333333334,12,0.6791932659915256,0.2678571428571429
6,11,3,0.7857142857142857,14,0.5195798391305154,0.1285714285714286
6,29,13,0.6904761904761905,42,0.6187191250308035,0.30316091954022983
7,27,6,0.8181818181818182,33,0.47413931305783735,0.4434659090909091
7,17,5,0.7727272727272727,22,0.535959889216217,0.1707792207792208
7,18,1,0.9473684210526315,19,0.20619205063323187,0.08881578947368424
7,16,5,0.7619047619047619,21,0.5488743844849944,0.39880952380952384
8,27,12,0.6923076923076923,39,0.6172417697303416,0.3125
8,24,11,0.6857142857142857,35,0.6224869206570487,0.30451127819548873
8,12,8,0.6,20,0.6730116670092565,0.10416666666666666
8,10,1,0.9090909090909091,11,0.30463609734923813,0.10795454545454547
9,14,5,0.7368421052631579,19,0.5763341277567499,0.08035714285714285
9,9,3,0.75,12,0.5623351446188083,0.15476190476190477
9,14,8,0.6363636363636364,22,0.6554817739013927,0.1553030303030303
9,9,8,0.5294117647058824,17,0.6914160776171183,0.3214285714285714
10,11,4,0.7333333333333333,15,0.5799151714181009,0.27083333333333337
10,16,5,0.7619047619047619,21,0.5488743844849944,0.2934523809523809
10,25,8,0.7575757575757576,33,0.5538582294924286,0.30082417582417575
10,14,6,0.7,20,0.6108643020548935,0.20833333333333334
11,16,7,0.6956521739130435,23,0.6145033203107282,0.328125
11,13,6,0.6842105263157895,19,0.6236548495681085,0.2739661654135338
11,14,5,0.7368421052631579,19,0.5763341277567499,0.325
11,28,2,0.9333333333333333,30,0.24493002679463532,0.050505050505050525
12,15,5,0.75,20,0.5623351446188083,0.07142857142857142
12,11,6,0.6470588235294118,17,0.649248354870898,0.15625
12,6,6,0.5,12,0.6931471805599453,0.20833333333333331
12,6,5,0.5454545454545454,11,0.6890092384766586,0.3977272727272727
13,43,3,0.9347826086956522,46,0.2410883129928447,0.04607843137254902
13,23,2,0.92,25,0.2787693717685874,0.08545454545454542
13,6,3,0.6666666666666666,9,0.6365141682948128,0.3666666666666667
13,34,15,0.6938775510204082,49,0.6159629337538381,0.40122448979591835
14,5,5,0.5,10,0.6931471805599453,0.35416666666666663
14,7,3,0.7,10,0.6108643020548935,0.14583333333333334
14,9,5,0.6428571428571429,14,0.6517565611726531,0.36111111111111116
14,11,3,0.7857142857142857,14,0.5195798391305154,0.3125
15,9,2,0.8181818181818182,11,0.47413931305783735,0.33333333333333337
15,13,1,0.9285714285714286,14,0.25731864054383163,0.06349206349206349
15,8,3,0.7272727272727273,11,0.5859526183035508,0.19886363636363635
15,12,2,0.8571428571428571,14,0.410116318288409,0.09166666666666665
16,18,1,0.9473684210526315,19,0.20619205063323187,0.05756578947368424
16,21,2,0.9130434782608695,23,0.2954391918721161,0.07424749163879601
16,22,17,0.5641025641025641,39,0.6849062404158356,0.40384615384615385
16,26,10,0.7222222222222222,36,0.5908422462755826,0.41035353535353536
17,10,0,1.0,10,-0.0,0.0
17,10,3,0.7692307692307693,13,0.5402041423888608,0.09583333333333335
17,11,1,0.9166666666666666,12,0.2868359830561607,0.07738095238095241
17,5,5,0.5,10,0.6931471805599453,0.22916666666666669
18,14,1,0.9333333333333333,15,0.24493002679463532,0.06904761904761905
18,19,10,0.6551724137931034,29,0.6441857770863766,0.4230769230769231
18,40,14,0.7407407407407407,54,0.5722806988018472,0.4006568144499179
18,10,5,0.6666666666666666,15,0.6365141682948128,0.40625
19,7,4,0.6363636363636364,11,0.6554817739013927,0.4
19,14,6,0.7,20,0.6108643020548935,0.41287878787878785
19,16,4,0.8,20,0.5004024235381879,0.4666666666666667
19,8,2,0.8,10,0.5004024235381879,0.26666666666666666
20,43,4,0.9148936170212766,47,0.2910671247036172,0.10964912280701755
20,10,5,0.6666666666666666,15,0.6365141682948128,0.41666666666666663
20,28,2,0.9333333333333333,30,0.24493002679463532,0.26666666666666666
20,23,2,0.92,25,0.2787693717685874,0.12333333333333332
21,4,4,0.5,8,0.6931471805599453,0.4375
21,10,10,0.5,20,0.6931471805599453,0.4
21,6,4,0.6,10,0.6730116670092565,0.4
21,4,5,0.4444444444444444,9,0.6869615765973234,0.29166666666666663
22,10,1,0.9090909090909091,11,0.30463609734923813,0.08712121212121213
22,22,2,0.9166666666666666,24,0.2868359830561607,0.10714285714285718
22,12,5,0.7058823529411765,17,0.605797499372304,0.44230769230769235
