id,ended,endedLastChangedAt,idx,idxLastChangedAt,index,indexLastChangedAt,start,startLastChangedAt,stageIndex,stageIndexLastChangedAt,gameID,gameIDLastChangedAt,batchID,batchIDLastChangedAt,name,nameLastChangedAt,task,taskLastChangedAt
01HW3CEZT2JVCVPBV076R4XCQT,true,2024-04-22T17:17:13.194261902Z,12,2024-04-22T17:08:08.642141675Z,11,2024-04-22T17:08:08.642141675Z,true,2024-04-22T17:16:34.639544649Z,2,2024-04-22T17:08:08.976448493Z,01HW3BN3J4VDGERJNSDFPH4ZPD,2024-04-22T17:08:08.642141675Z,01HW3BN3HVXB78WB2386NE6190,2024-04-22T17:08:08.642141675Z,Round 12 / 12,2024-04-22T17:08:08.642141675Z,Chat,2024-04-22T17:08:08.642141675Z
01HW3CNXN5ECSJ6QQA7SWYW4JK,true,2024-04-22T17:12:56.56092981Z,1,2024-04-22T17:11:55.814010413Z,0,2024-04-22T17:11:55.814010413Z,true,2024-04-22T17:11:56.134092631Z,2,2024-04-22T17:11:56.067728524Z,01HW3C24S21EFF24GE59F8748N,2024-04-22T17:11:55.814010413Z,01HW3C24RRQF0727NQP4E2WMP0,2024-04-22T17:11:55.814010413Z,Round 1 / 12,2024-04-22T17:11:55.814010413Z,Chat,2024-04-22T17:11:55.814010413Z
01HW3CNXNE7CZFZNZ220DEH7FY,true,2024-04-22T17:13:56.740265619Z,2,2024-04-22T17:11:55.822280723Z,1,2024-04-22T17:11:55.822280723Z,true,2024-04-22T17:12:56.578199811Z,2,2024-04-22T17:11:55.98022051Z,01HW3C24S21EFF24GE59F8748N,2024-04-22T17:11:55.822280723Z,01HW3C24RRQF0727NQP4E2WMP0,2024-04-22T17:11:55.822280723Z,Round 2 / 12,2024-04-22T17:11:55.822280723Z,Chat,2024-04-22T17:11:55.822280723Z
01HW3CNXNF56TT5JRZ66MVN5Y6,true,2024-04-22T17:14:48.623390873Z,3,2024-04-22T17:11:55.823043685Z,2,2024-04-22T17:11:55.823043685Z,true,2024-04-22T17:13:56.753814321Z,2,2024-04-22T17:11:55.98326518Z,01HW3C24S21EFF24GE59F8748N,2024-04-22T17:11:55.823043685Z,01HW3C24RRQF0727NQP4E2WMP0,2024-04-22T17:11:55.823043685Z,Round 3 / 12,2024-04-22T17:11:55.823043685Z,Chat,2024-04-22T17:11:55.823043685Z
01HW3CNXNGHBXVA1W41JZMVNDZ,true,2024-04-22T17:15:48.078664011Z,4,2024-04-22T17:11:55.824219516Z,3,2024-04-22T17:11:55.824219516Z,true,2024-04-22T17:14:48.633679498Z,2,2024-04-22T17:11:55.987563627Z,01HW3C24S21EFF24GE59F8748N,2024-04-22T17:11:55.824219516Z,01HW3C24RRQF0727NQP4E2WMP0,2024-04-22T17:11:55.824219516Z,Round 4 / 12,2024-04-22T17:11:55.824219516Z,Chat,2024-04-22T17:11:55.824219516Z
01HW3CNXNJPJCRJG59VKRY49MV,true,2024-04-22T17:17:33.522823501Z,6,2024-04-22T17:11:55.82637314Z,5,2024-04-22T17:11:55.82637314Z,true,2024-04-22T17:16:36.277193272Z,2,2024-04-22T17:11:56.049584598Z,01HW3C24S21EFF24GE59F8748N,2024-04-22T17:11:55.82637314Z,01HW3C24RRQF0727NQP4E2WMP0,2024-04-22T17:11:55.82637314Z,Round 6 / 12,2024-04-22T17:11:55.82637314Z,Chat,2024-04-22T17:11:55.82637314Z
01HW3CNXNJPJCRJG59W6ZME7A4,true,2024-04-22T17:18:18.677483248Z,7,2024-04-22T17:11:55.826699591Z,6,2024-04-22T17:11:55.826699591Z,true,2024-04-22T17:17:33.568079546Z,2,2024-04-22T17:11:56.098979933Z,01HW3C24S21EFF24GE59F8748N,2024-04-22T17:11:55.826699591Z,01HW3C24RRQF0727NQP4E2WMP0,2024-04-22T17:11:55.826699591Z,Round 7 / 12,2024-04-22T17:11:55.826699591Z,Chat,2024-04-22T17:11:55.826699591Z
01HW3CNXNKVJ30RDS3G9C6JCN7,true,2024-04-22T17:16:36.267438559Z,5,2024-04-22T17:11:55.827197514Z,4,2024-04-22T17:11:55.827197514Z,true,2024-04-22T17:15:48.087201792Z,2,2024-04-22T17:11:55.992577358Z,01HW3C24S21EFF24GE59F8748N,2024-04-22T17:11:55.827197514Z,01HW3C24RRQF0727NQP4E2WMP0,2024-04-22T17:11:55.827197514Z,Round 5 / 12,2024-04-22T17:11:55.827197514Z,Chat,2024-04-22T17:11:55.827197514Z
01HW3CNXNMTBXA2QK4TEWXHEE8,true,2024-04-22T17:19:01.797586007Z,8,2024-04-22T17:11:55.828144279Z,7,2024-04-22T17:11:55.828144279Z,true,2024-04-22T17:18:18.693812074Z,2,2024-04-22T17:11:56.097029258Z,01HW3C24S21EFF24GE59F8748N,2024-04-22T17:11:55.828144279Z,01HW3C24RRQF0727NQP4E2WMP0,2024-04-22T17:11:55.828144279Z,Round 8 / 12,2024-04-22T17:11:55.828144279Z,Chat,2024-04-22T17:11:55.828144279Z
01HW3CNXNN6XP27Y5MQDQDP786,true,2024-04-22T17:19:42.347414833Z,9,2024-04-22T17:11:55.829636082Z,8,2024-04-22T17:11:55.829636082Z,true,2024-04-22T17:19:01.814055489Z,2,2024-04-22T17:11:56.002092173Z,01HW3C24S21EFF24GE59F8748N,2024-04-22T17:11:55.829636082Z,01HW3C24RRQF0727NQP4E2WMP0,2024-04-22T17:11:55.829636082Z,Round 9 / 12,2024-04-22T17:11:55.829636082Z,Chat,2024-04-22T17:11:55.829636082Z
