id,config,configLastChangedAt,status,statusLastChangedAt,lobbyConfig,lobbyConfigLastChangedAt,initialized,initializedLastChangedAt,endedReason,endedReasonLastChangedAt
01HW3BMYVB392Z9K1SGR6XPEC7,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-interactive- 0.7"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-22T16:53:55.691702092Z,terminated,2024-04-22T17:01:05.820416157Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-04-22T16:53:55.691702092Z,true,2024-04-22T16:53:55.710664884Z,,
01HW3BN3HVXB78WB2386NE6190,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-interactive- 0.7"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-22T16:54:00.507502833Z,ended,2024-04-22T17:17:13.266125851Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-04-22T16:54:00.507502833Z,true,2024-04-22T16:54:00.517135344Z,all games finished,2024-04-22T17:17:13.266125851Z
01HW3C24RRQF0727NQP4E2WMP0,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-interactive- 0.7"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-22T17:01:07.73674047Z,ended,2024-04-22T17:22:10.283650061Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-04-22T17:01:07.73674047Z,true,2024-04-22T17:01:07.753722228Z,all games finished,2024-04-22T17:22:10.283650061Z
01HW3D40ZC29VG1GVMJAXAT2XG,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-interactive- 0.7"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-22T17:19:37.964910398Z,ended,2024-04-22T17:41:14.703869436Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-04-22T17:19:37.964910398Z,true,2024-04-22T17:19:37.979565266Z,all games finished,2024-04-22T17:41:14.703869436Z
01HW3DA4C0TCNZ2GNC2M705BCP,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-interactive- 0.7"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-22T17:22:58.048825078Z,terminated,2024-04-22T17:53:05.637894364Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-04-22T17:22:58.048825078Z,true,2024-04-22T17:22:58.058897967Z,,
01HW3F035R7BVBD3K32Y39X04A,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-interactive-0.3"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-22T17:52:26.296940146Z,terminated,2024-04-22T19:05:52.945642394Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-22T17:52:26.296940146Z,true,2024-04-22T17:52:26.318973032Z,,
01HW3F1C30N984AV1SHBNM8ZFS,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-interactive-0.3"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-22T17:53:08.192900024Z,terminated,2024-04-22T19:05:50.555226633Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-22T17:53:08.192900024Z,true,2024-04-22T17:53:08.211734574Z,,
01HW3F1DBN2EQWARCFP2XA7PCY,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-interactive-0.3"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-22T17:53:09.493925979Z,terminated,2024-04-22T18:55:52.247680004Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-22T17:53:09.493925979Z,true,2024-04-22T17:53:09.502348987Z,,
01HW3F1E522H98XGEZRP98V88X,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-interactive-0.3"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-22T17:53:10.306737718Z,ended,2024-04-22T19:03:06.112830503Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-22T17:53:10.306737718Z,true,2024-04-22T17:53:10.321530482Z,all games finished,2024-04-22T19:03:06.112830503Z
01HW3F1EVZS4F58T62K77QT26P,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-interactive-0.3"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-22T17:53:11.039258172Z,terminated,2024-04-22T18:20:02.832377623Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-22T17:53:11.039258172Z,true,2024-04-22T17:53:11.049572109Z,,
01HW3F1FKDESJW6VVJQXZ3GHCV,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-interactive-0.3"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-22T17:53:11.789728118Z,ended,2024-04-22T18:30:16.583059748Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-22T17:53:11.789728118Z,true,2024-04-22T17:53:11.798314596Z,all games finished,2024-04-22T18:30:16.583059748Z
01HW3F1G9ERYPK2HAC5RPHHRE9,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-interactive-0.3"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-22T17:53:12.49459895Z,terminated,2024-04-22T18:14:28.236273518Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-22T17:53:12.49459895Z,true,2024-04-22T17:53:12.505600079Z,,
01HW3F1GZJ8KHQ51BBP0JB01ED,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-interactive-0.3"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-22T17:53:13.202603063Z,ended,2024-04-22T18:27:23.110520116Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-22T17:53:13.202603063Z,true,2024-04-22T17:53:13.211630126Z,all games finished,2024-04-22T18:27:23.110520116Z
01HW3F1HPQE3CMKVMRVKPFJ9J9,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-interactive-0.3"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-22T17:53:13.943842308Z,ended,2024-04-22T18:16:44.463852796Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-22T17:53:13.943842308Z,true,2024-04-22T17:53:13.957177358Z,all games finished,2024-04-22T18:16:44.463852796Z
01HW3F1JCRW3AZ9CG97D55F2CM,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-interactive-0.3"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-22T17:53:14.648073069Z,ended,2024-04-22T18:12:03.576806459Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-22T17:53:14.648073069Z,true,2024-04-22T17:53:14.657798014Z,all games finished,2024-04-22T18:12:03.576806459Z
01HW3G8F72SF1HM6HQ7V2WG0CT,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-interactive-0.3"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-22T18:14:29.346539393Z,ended,2024-04-22T18:27:40.053619293Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-22T18:14:29.346539393Z,true,2024-04-22T18:14:29.355606571Z,all games finished,2024-04-22T18:27:40.053619293Z
01HW3GJPX8MTNA6VY1SS62E1M5,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-interactive-0.3"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-22T18:20:04.90435115Z,ended,2024-04-22T18:58:07.171766524Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-22T18:20:04.90435115Z,true,2024-04-22T18:20:04.935858585Z,all games finished,2024-04-22T18:58:07.171766524Z
