id,stageID,stageIDLastChangedAt,playerID,playerIDLastChangedAt,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,submit,submitLastChangedAt,confidence,confidenceLastChangedAt,guess,guessLastChangedAt
01HVSDM1GGPP9RYT5N0N0CB8H6,01HVSDK3PQR2Z2135FFPNS2A2D,2024-04-18T20:15:58.480951723Z,01HVSDH7FFYJD4H2DBWBVBKHTP,2024-04-18T20:15:58.480951723Z,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:15:58.480951723Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:15:58.480951723Z,01HVSDK3CZABCDADDQ8C6T661C,2024-04-18T20:15:58.480951723Z,,,,,,
01HVSDM1GPKV5CA7PEQE6C2YX7,01HVSDK3PQR2Z2135FFPNS2A2D,2024-04-18T20:15:58.486397116Z,01HVSDHQ73RYFKPTX7RHFHAKF2,2024-04-18T20:15:58.486397116Z,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:15:58.486397116Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:15:58.486397116Z,01HVSDK3CZABCDADDQ8C6T661C,2024-04-18T20:15:58.486397116Z,,,,,,
01HVSDMYXN08K4HF5ACKCX262N,01HVSDK3KS4JDPP0TZ3FZ550HD,2024-04-18T20:16:28.597423135Z,01HVSD7680PC7Q6NKVJ6MGHZQ3,2024-04-18T20:16:28.597423135Z,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:16:28.597423135Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:16:28.597423135Z,01HVSDK3D1AW60E0GWZ0NZ7MD2,2024-04-18T20:16:28.597423135Z,,,,,,
01HVSDMYXT8A9EYTH2RMSB262Y,01HVSDK3KS4JDPP0TZ3FZ550HD,2024-04-18T20:16:28.602605212Z,01HVSD7KNMTR3G9EX8AFBR0XS0,2024-04-18T20:16:28.602605212Z,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:16:28.602605212Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:16:28.602605212Z,01HVSDK3D1AW60E0GWZ0NZ7MD2,2024-04-18T20:16:28.602605212Z,,,,,,
01HVSDMYXZRA7S1YQ005TGNA74,01HVSDK3KS4JDPP0TZ3FZ550HD,2024-04-18T20:16:28.607848458Z,01HVSDCK79AC5R26CR9ZT9WRC0,2024-04-18T20:16:28.607848458Z,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:16:28.607848458Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:16:28.607848458Z,01HVSDK3D1AW60E0GWZ0NZ7MD2,2024-04-18T20:16:28.607848458Z,,,,,,
01HVSDMYY72MA85TEAMCV8EWQ9,01HVSDK3KS4JDPP0TZ3FZ550HD,2024-04-18T20:16:28.615247293Z,01HVSDEP9426S7Y9TDP0DD75DT,2024-04-18T20:16:28.615247293Z,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:16:28.615247293Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:16:28.615247293Z,01HVSDK3D1AW60E0GWZ0NZ7MD2,2024-04-18T20:16:28.615247293Z,,,,,,
01HVSDMYYDR323R04QZW5G4X40,01HVSDK3KS4JDPP0TZ3FZ550HD,2024-04-18T20:16:28.621896228Z,01HVSDF9Q1NX6M632F4ZAVKFWB,2024-04-18T20:16:28.621896228Z,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:16:28.621896228Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:16:28.621896228Z,01HVSDK3D1AW60E0GWZ0NZ7MD2,2024-04-18T20:16:28.621896228Z,,,,,,
01HVSDMYYJYYDJ66D7DMRK3BHW,01HVSDK3KS4JDPP0TZ3FZ550HD,2024-04-18T20:16:28.626612781Z,01HVSDH7FFYJD4H2DBWBVBKHTP,2024-04-18T20:16:28.626612781Z,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:16:28.626612781Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:16:28.626612781Z,01HVSDK3D1AW60E0GWZ0NZ7MD2,2024-04-18T20:16:28.626612781Z,,,,,,
01HVSDMYYRHJ2GED1PGJ2TBJTW,01HVSDK3KS4JDPP0TZ3FZ550HD,2024-04-18T20:16:28.632973404Z,01HVSDHQ73RYFKPTX7RHFHAKF2,2024-04-18T20:16:28.632973404Z,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:16:28.632973404Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:16:28.632973404Z,01HVSDK3D1AW60E0GWZ0NZ7MD2,2024-04-18T20:16:28.632973404Z,,,,,,
01HVSDNW9C9R28D5W1FW06N1WW,01HVSDK3KS4JDPP0TZ49MD7KF9,2024-04-18T20:16:58.668855814Z,01HVSD7680PC7Q6NKVJ6MGHZQ3,2024-04-18T20:16:58.668855814Z,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:16:58.668855814Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:16:58.668855814Z,01HVSDK3D1AW60E0GWZ0NZ7MD2,2024-04-18T20:16:58.668855814Z,true,2024-04-18T20:17:19.191688002Z,32,2024-04-18T20:17:19.039363849Z,64,2024-04-18T20:17:19.037908182Z
