id,batchID,batchIDLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,idx,idxLastChangedAt,index,indexLastChangedAt,name,nameLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt,task,taskLastChangedAt
01JDAH3V8MW8FAWB669KVNAJ1J,01JDAGY7S217P5T9V7NJR1FC04,2024-11-22T18:10:58.452982247Z,true,2024-11-22T18:13:59.496901359Z,01JDAGY7SD98WFY7GQYRSWXS7M,2024-11-22T18:10:58.452982247Z,5,2024-11-22T18:10:58.452982247Z,4,2024-11-22T18:10:58.452982247Z,Round 5 / 8,2024-11-22T18:10:58.452982247Z,1,2024-11-22T18:10:58.556982804Z,true,2024-11-22T18:13:29.364497316Z,Chat,2024-11-22T18:10:58.452982247Z
01JDAHXQ4QN8BM1SPBWVT95CEV,01JDAHN1PDS2QGCVFBMQ6D7B4G,2024-11-22T18:25:06.199189235Z,true,2024-11-22T18:26:28.545652079Z,01JDAHN1Q5BEENCKDRE4AZ47MR,2024-11-22T18:25:06.199189235Z,2,2024-11-22T18:25:06.199189235Z,1,2024-11-22T18:25:06.199189235Z,Round 2 / 8,2024-11-22T18:25:06.199189235Z,1,2024-11-22T18:25:06.415010559Z,true,2024-11-22T18:26:02.815089992Z,Chat,2024-11-22T18:25:06.199189235Z
01JDAMP44KRK5S8CVKNA2ZYRQJ,01JDAM86A43343P96MS3SV6FVH,2024-11-22T19:13:23.091717573Z,true,2024-11-22T19:15:26.953093882Z,01JDAM86DXSNKV0KQBZPJBE8ZM,2024-11-22T19:13:23.091717573Z,3,2024-11-22T19:13:23.091717573Z,2,2024-11-22T19:13:23.091717573Z,Round 3 / 8,2024-11-22T19:13:23.091717573Z,1,2024-11-22T19:13:24.146691086Z,true,2024-11-22T19:14:59.378852187Z,Chat,2024-11-22T19:13:23.091717573Z
01JDATEPCCNFA6VDCJWSKCWBAG,01JDASWATE5Z48HS2DCR1W15PW,2024-11-22T20:54:11.084519931Z,false,2024-11-22T20:54:11.084519931Z,01JDASXPSXWEAA8Q04PGG5N41G,2024-11-22T20:54:11.084519931Z,6,2024-11-22T20:54:11.084519931Z,5,2024-11-22T20:54:11.084519931Z,Round 6 / 8,2024-11-22T20:54:11.084519931Z,1,2024-11-22T20:54:27.423745162Z,true,2024-11-22T21:00:59.813399386Z,Chat,2024-11-22T20:54:11.084519931Z
01JDAH62M6MPE9RRTS39TFDR0V,01JDAGZBERER1FZDMPT7JPWXQH,2024-11-22T18:12:11.526515077Z,true,2024-11-22T18:13:54.916639502Z,01JDAGZBF50G32SYJBEC9WQE8P,2024-11-22T18:12:11.526515077Z,3,2024-11-22T18:12:11.526515077Z,2,2024-11-22T18:12:11.526515077Z,Round 3 / 8,2024-11-22T18:12:11.526515077Z,1,2024-11-22T18:12:11.60825424Z,true,2024-11-22T18:13:42.21151352Z,Chat,2024-11-22T18:12:11.526515077Z
01JDAHBRZ7E99MWTS6NZ8654ZN,01JDAH5DCP9PY7QX63WRAQ1BS4,2024-11-22T18:15:18.247294755Z,true,2024-11-22T18:16:37.961448087Z,01JDAH5DD3QWFSNPG2H8QN0FY6,2024-11-22T18:15:18.247294755Z,2,2024-11-22T18:15:18.247294755Z,1,2024-11-22T18:15:18.247294755Z,Round 2 / 8,2024-11-22T18:15:18.247294755Z,1,2024-11-22T18:15:18.315753081Z,true,2024-11-22T18:16:17.518910402Z,Chat,2024-11-22T18:15:18.247294755Z
01JDAHMTQMP5633G4SVJZ5TWD1,01JDAHAE8YJATNBJYPZS4Z2H64,2024-11-22T18:20:14.964134038Z,true,2024-11-22T18:21:41.86920691Z,01JDAHAE99ZYVX8KDTBCEWN8DX,2024-11-22T18:20:14.964134038Z,2,2024-11-22T18:20:14.964134038Z,1,2024-11-22T18:20:14.964134038Z,Round 2 / 8,2024-11-22T18:20:14.964134038Z,1,2024-11-22T18:20:15.09430623Z,true,2024-11-22T18:21:11.678042748Z,Chat,2024-11-22T18:20:14.964134038Z
01JDAHVH7JN74BRB98NS61NBD5,01JDAH593812KH3M200D1ZNNMX,2024-11-22T18:23:54.610209594Z,true,2024-11-22T18:26:26.161343242Z,01JDAH593M5T4VCG1DXY52M5SZ,2024-11-22T18:23:54.610209594Z,4,2024-11-22T18:23:54.610209594Z,3,2024-11-22T18:23:54.610209594Z,Round 4 / 8,2024-11-22T18:23:54.610209594Z,1,2024-11-22T18:23:54.766003512Z,true,2024-11-22T18:25:55.944973039Z,Chat,2024-11-22T18:23:54.610209594Z
01JDAJ56NC778VCADK6PZTYPYN,01JDAHN0PXQ02WS4AZPQ2A3B4V,2024-11-22T18:29:11.468633136Z,true,2024-11-22T18:30:40.085082548Z,01JDAHN0Q9CZ9SCEKH4C9SVV15,2024-11-22T18:29:11.468633136Z,2,2024-11-22T18:29:11.468633136Z,1,2024-11-22T18:29:11.468633136Z,Round 2 / 8,2024-11-22T18:29:11.468633136Z,1,2024-11-22T18:29:11.690797415Z,true,2024-11-22T18:30:09.829384361Z,Chat,2024-11-22T18:29:11.468633136Z
01JDAGYSXT4MSPE9KP6PBZ4EG5,01JDAGQZ0DA6P87AZHKRMTFXJ8,2024-11-22T18:08:13.242668069Z,true,2024-11-22T18:09:10.983433033Z,01JDAGQZ0YSSAEPQ3HPH3V6W7F,2024-11-22T18:08:13.242668069Z,1,2024-11-22T18:08:13.242668069Z,0,2024-11-22T18:08:13.242668069Z,Round 1 / 8,2024-11-22T18:08:13.242668069Z,2,2024-11-22T18:08:13.408381352Z,true,2024-11-22T18:08:13.436372241Z,Chat,2024-11-22T18:08:13.242668069Z
01JDAGYSYVRTXXCNGS1WXW8XA7,01JDAGQZ0DA6P87AZHKRMTFXJ8,2024-11-22T18:08:13.275731175Z,true,2024-11-22T18:12:00.60399315Z,01JDAGQZ0YSSAEPQ3HPH3V6W7F,2024-11-22T18:08:13.275731175Z,8,2024-11-22T18:08:13.275731175Z,7,2024-11-22T18:08:13.275731175Z,Round 8 / 8,2024-11-22T18:08:13.275731175Z,1,2024-11-22T18:08:13.41942466Z,true,2024-11-22T18:11:38.192686562Z,Chat,2024-11-22T18:08:13.275731175Z
01JDAH62KY8DWZ7307VJATRWC4,01JDAGZBERER1FZDMPT7JPWXQH,2024-11-22T18:12:11.518234648Z,true,2024-11-22T18:13:42.197082975Z,01JDAGZBF50G32SYJBEC9WQE8P,2024-11-22T18:12:11.518234648Z,2,2024-11-22T18:12:11.518234648Z,1,2024-11-22T18:12:11.518234648Z,Round 2 / 8,2024-11-22T18:12:11.518234648Z,1,2024-11-22T18:12:11.60825424Z,true,2024-11-22T18:13:12.061311641Z,Chat,2024-11-22T18:12:11.518234648Z
01JDAQWHDW0YNQ3EEKPH4Y5JVG,01JDAPW7VSKCEQ2747GHF3FFRJ,2024-11-22T20:09:19.036196685Z,false,2024-11-22T20:09:19.036196685Z,01JDAPWFB9W2TB9441SQGF3CRX,2024-11-22T20:09:19.036196685Z,3,2024-11-22T20:09:19.036196685Z,2,2024-11-22T20:09:19.036196685Z,Round 3 / 8,2024-11-22T20:09:19.036196685Z,1,2024-11-22T20:09:28.958392458Z,false,2024-11-22T20:09:19.036196685Z,Chat,2024-11-22T20:09:19.036196685Z
01JDARPGZS2QTFQYP6AWMA473V,01JDAPW0ZC2JV0QSHYXVWXWZQP,2024-11-22T20:23:30.553276961Z,true,2024-11-22T20:33:08.516377729Z,01JDAPW384EXEJ9KQH7M3Y86WQ,2024-11-22T20:23:30.553276961Z,7,2024-11-22T20:23:30.553276961Z,6,2024-11-22T20:23:30.553276961Z,Round 7 / 8,2024-11-22T20:23:30.553276961Z,1,2024-11-22T20:23:39.323350428Z,true,2024-11-22T20:32:04.323108291Z,Chat,2024-11-22T20:23:30.553276961Z
01JDARPHD8AE4QJ9009S9FR1J6,01JDAPW0ZC2JV0QSHYXVWXWZQP,2024-11-22T20:23:30.98426812Z,true,2024-11-22T20:32:00.511215849Z,01JDAPW384EXEJ9KQH7M3Y86WQ,2024-11-22T20:23:30.98426812Z,6,2024-11-22T20:23:30.98426812Z,5,2024-11-22T20:23:30.98426812Z,Round 6 / 8,2024-11-22T20:23:30.98426812Z,1,2024-11-22T20:23:41.054080816Z,true,2024-11-22T20:30:40.193078987Z,Chat,2024-11-22T20:23:30.98426812Z
01JDAHQ5CY30C5D8HC6Y1AHSMN,01JDAH5A0FE7G23H405ZVZPHMD,2024-11-22T18:21:31.422110874Z,true,2024-11-22T18:24:35.852784282Z,01JDAH5A0VH4DCFKBW10NC5NN5,2024-11-22T18:21:31.422110874Z,6,2024-11-22T18:21:31.422110874Z,5,2024-11-22T18:21:31.422110874Z,Round 6 / 8,2024-11-22T18:21:31.422110874Z,1,2024-11-22T18:21:31.653162315Z,true,2024-11-22T18:24:16.970361609Z,Chat,2024-11-22T18:21:31.422110874Z
01JDAN7FVC5QBCMSSWRPGRC56T,01JDAMQV49J94G02FNW7X8D4D6,2024-11-22T19:22:52.1409896Z,true,2024-11-22T19:26:28.108459984Z,01JDAMQVTW7FDZ8D8ZYGN0EYRA,2024-11-22T19:22:52.1409896Z,5,2024-11-22T19:22:52.1409896Z,4,2024-11-22T19:22:52.1409896Z,Round 5 / 8,2024-11-22T19:22:52.1409896Z,1,2024-11-22T19:22:53.922098994Z,true,2024-11-22T19:25:54.605612529Z,Chat,2024-11-22T19:22:52.1409896Z
01JDARPGQG3P8NTVTW34J9XECW,01JDAPW0ZC2JV0QSHYXVWXWZQP,2024-11-22T20:23:30.288862579Z,true,2024-11-22T20:30:38.827228478Z,01JDAPW384EXEJ9KQH7M3Y86WQ,2024-11-22T20:23:30.288862579Z,5,2024-11-22T20:23:30.288862579Z,4,2024-11-22T20:23:30.288862579Z,Round 5 / 8,2024-11-22T20:23:30.288862579Z,1,2024-11-22T20:23:39.657902436Z,true,2024-11-22T20:29:43.797590345Z,Chat,2024-11-22T20:23:30.288862579Z
01JDATG9YVZH809N2E1XF58JZ7,01JDASW90AZ187GE67SA77891H,2024-11-22T20:55:03.899515315Z,true,2024-11-22T21:00:45.864601916Z,01JDASXJD1JX3QT62VW83MA089,2024-11-22T20:55:03.899515315Z,4,2024-11-22T20:55:03.899515315Z,3,2024-11-22T20:55:03.899515315Z,Round 4 / 8,2024-11-22T20:55:03.899515315Z,1,2024-11-22T20:55:23.675102753Z,true,2024-11-22T20:59:50.677532696Z,Chat,2024-11-22T20:55:03.899515315Z
01JDAGYSYQFQ2A1R6TBJ89C38J,01JDAGQZ0DA6P87AZHKRMTFXJ8,2024-11-22T18:08:13.271332988Z,true,2024-11-22T18:11:01.911852354Z,01JDAGQZ0YSSAEPQ3HPH3V6W7F,2024-11-22T18:08:13.271332988Z,5,2024-11-22T18:08:13.271332988Z,4,2024-11-22T18:08:13.271332988Z,Round 5 / 8,2024-11-22T18:08:13.271332988Z,1,2024-11-22T18:08:13.408381352Z,true,2024-11-22T18:10:39.771258586Z,Chat,2024-11-22T18:08:13.271332988Z
01JDAK2NEHJ3SYWPHE69Z7D4JY,01JDAJRSF5W4AK9M0GQ6JNVFC9,2024-11-22T18:45:16.881842872Z,true,2024-11-22T18:48:13.916391633Z,01JDAJRSGTF94NFJVJCWA7PT20,2024-11-22T18:45:16.881842872Z,5,2024-11-22T18:45:16.881842872Z,4,2024-11-22T18:45:16.881842872Z,Round 5 / 8,2024-11-22T18:45:16.881842872Z,1,2024-11-22T18:45:18.147049102Z,true,2024-11-22T18:47:53.164744576Z,Chat,2024-11-22T18:45:16.881842872Z
