gameID,roundID,playerID,guess,confidence,idx,treatmentName,nSquirrels,nRabbits,batch,nRabbitsGame,nSquirrelsGame,mleEstimateIndiv,mleEstimateGame
01HW6JMJDGFP6436Q4J48V7Z19,01HW6KPF6616E4YFBATYXZQQ9W,01HW6KG11AF4BKYPX1QCK1307C,NA,NA,3,rerun-unidirectional- 0.7,0,4,1_prereg_6,28,12,100,70
01HW6JMK6FNN8MQ4APBQ6JS86R,01HW6KBTRBZ34CQYZJPVTAC630,01HW6K0NFW2WY1AXMWAR24XV48,NA,NA,9,rerun-unidirectional- 0.7,2,7,1_prereg_6,28,12,77,70
01HW6JMHD5PYHEGPKP8Z7NZDDZ,01HW6KQY9FT3TF4Y3ZS1YEPFS4,01HW6KDZS0GEW0D0J4S4NQJ03Q,69,77,2,rerun-unidirectional- 0.7,1,3,1_prereg_6,27,10,75,72
01HW6JMHD5PYHEGPKP8Z7NZDDZ,01HW6KQY9FT3TF4Y3ZS1YEPFS4,01HW6KECQ3D5RXCWAKSTHDRM1X,72,64,2,rerun-unidirectional- 0.7,2,4,1_prereg_6,27,10,66,72
01HW6JMK6FNN8MQ4APBQ6JS86R,01HW6KBTRBZ34CQYZJPVTAC630,01HW6K2Z31ZT5MNKHNQ5GZT8MK,NA,NA,9,rerun-unidirectional- 0.7,0,4,1_prereg_6,28,12,100,70
01HW6JMK6FNN8MQ4APBQ6JS86R,01HW6KBTRBZ34CQYZJPVTAC630,01HW6K5HH5YD8HP88QZ06GJ3S0,NA,NA,9,rerun-unidirectional- 0.7,2,2,1_prereg_6,28,12,50,70
01HW6JMHD5PYHEGPKP8Z7NZDDZ,01HW6KQY9FT3TF4Y3ZS1YEPFS4,01HW6KHF5ATAXYDCJZA3FZGYVV,76,13,2,rerun-unidirectional- 0.7,1,6,1_prereg_6,27,10,85,72
01HW6JMK6FNN8MQ4APBQ6JS86R,01HW6KBTRBZ34CQYZJPVTAC630,01HW6K7GSHTQWV3CRRBKTYHCNG,NA,NA,9,rerun-unidirectional- 0.7,2,1,1_prereg_6,28,12,33,70
01HW6JMKV3F3VBPGWWNQ8SXBSJ,01HW6K9NHKMDNSY613C0C6C9PK,01HW6JZ0JJGYAVP0QSJG75XNBJ,75,65,9,rerun-unidirectional- 0.7,3,8,1_prereg_6,28,12,72,70
01HW6JMKV3F3VBPGWWNQ8SXBSJ,01HW6K9NHKMDNSY613C0C6C9PK,01HW6JZE4P1BDZKZJCQCSA3H2J,89,85,9,rerun-unidirectional- 0.7,1,2,1_prereg_6,28,12,66,70
01HW6JMKV3F3VBPGWWNQ8SXBSJ,01HW6K9NHKMDNSY613C0C6C9PK,01HW6K1TECRQS9FG36R64ZEZAK,85,100,9,rerun-unidirectional- 0.7,1,3,1_prereg_6,28,12,75,70
01HW6JMKV3F3VBPGWWNQ8SXBSJ,01HW6K9NHKMDNSY613C0C6C9PK,01HW6K2AZASD95CV8SG08TEHNQ,70,62,9,rerun-unidirectional- 0.7,1,1,1_prereg_6,28,12,50,70
01HW6JMJDGFP6436Q4J48V7Z19,01HW6KPF6616E4YFBATYXZQQ9W,01HW6KF4D2KZ48C4KJH49KG9J9,70,35,3,rerun-unidirectional- 0.7,2,2,1_prereg_6,28,12,50,70
01HW6JMJDGFP6436Q4J48V7Z19,01HW6KPF6616E4YFBATYXZQQ9W,01HW6KFHAR108RR4VGXGZ7KEN3,50,98,3,rerun-unidirectional- 0.7,2,2,1_prereg_6,28,12,50,70
01HW6JMJDGFP6436Q4J48V7Z19,01HW6KPF6616E4YFBATYXZQQ9W,01HW6KFMTG67YW55T084A987ND,98,90,3,rerun-unidirectional- 0.7,2,6,1_prereg_6,28,12,75,70
01HW6JMJDGFP6436Q4J48V7Z19,01HW6KPF6616E4YFBATYXZQQ9W,01HW6KG11AF4BKYPX1QCK1307C,62,52,3,rerun-unidirectional- 0.7,0,4,1_prereg_6,28,12,100,70
01HW6JMKV3F3VBPGWWNQ8SXBSJ,01HW6K9ND1RNDS36RHV1GDXJYG,01HW6JZ0JJGYAVP0QSJG75XNBJ,NA,NA,10,rerun-unidirectional- 0.7,3,8,1_prereg_6,28,12,72,70
01HW6JMKV3F3VBPGWWNQ8SXBSJ,01HW6K9ND1RNDS36RHV1GDXJYG,01HW6JZE4P1BDZKZJCQCSA3H2J,NA,NA,10,rerun-unidirectional- 0.7,1,2,1_prereg_6,28,12,66,70
01HW6JMKV3F3VBPGWWNQ8SXBSJ,01HW6K9ND1RNDS36RHV1GDXJYG,01HW6K1TECRQS9FG36R64ZEZAK,NA,NA,10,rerun-unidirectional- 0.7,1,3,1_prereg_6,28,12,75,70
01HW6JMKV3F3VBPGWWNQ8SXBSJ,01HW6K9ND1RNDS36RHV1GDXJYG,01HW6K2AZASD95CV8SG08TEHNQ,NA,NA,10,rerun-unidirectional- 0.7,1,1,1_prereg_6,28,12,50,70
01HW6JMK6FNN8MQ4APBQ6JS86R,01HW6KBTRBZ34CQYZJPVTAC630,01HW6K0NFW2WY1AXMWAR24XV48,79,79,9,rerun-unidirectional- 0.7,2,7,1_prereg_6,28,12,77,70
