"treatment","nCrittersGame_bin","representation_bin","count","prop","direction","entropy_bin"
"interactive",NA,"(0.36,0.48]",2,0.117647058823529,"RS","(1.1,1.4]"
"interactive",NA,"(0.48,0.6]",2,0.117647058823529,"RS","(1.1,1.4]"
"interactive",NA,"(0.24,0.36]",2,0.25,"RS","(1.4,1.6]"
"interactive",NA,"(0.36,0.48]",1,0.142857142857143,"SR","(0.27,0.54]"
"interactive",NA,"(0.48,0.6]",2,0.285714285714286,"SR","(0.27,0.54]"
"interactive",NA,"(0.12,0.24]",2,0.125,"SR","(0.54,0.81]"
"interactive",NA,"(0.24,0.36]",3,0.1875,"SR","(0.54,0.81]"
"interactive",NA,"(0.36,0.48]",3,0.1875,"SR","(0.54,0.81]"
"interactive",NA,"[0,0.12]",1,0.0625,"SR","(0.54,0.81]"
"interactive",NA,"(0.12,0.24]",1,0.0588235294117647,"SR","(0.81,1.1]"
"interactive",NA,"(0.48,0.6]",2,0.117647058823529,"SR","(0.81,1.1]"
"interactive",NA,"(0.36,0.48]",1,0.0625,"SR","(1.1,1.4]"
"interactive",NA,"[0,0.12]",3,0.1875,"SR","(1.1,1.4]"
"interactive",NA,"(0.24,0.36]",2,0.125,"SR","(1.4,1.6]"
"slider",NA,"(0.48,0.6]",3,0.375,"RS","(0.27,0.54]"
"slider",NA,"(0.12,0.24]",1,0.0909090909090909,"RS","(0.54,0.81]"
"slider",NA,"(0.24,0.36]",2,0.181818181818182,"RS","(0.54,0.81]"
"slider",NA,"(0.36,0.48]",2,0.181818181818182,"RS","(0.54,0.81]"
"slider",NA,"[0,0.12]",1,0.0909090909090909,"RS","(0.54,0.81]"
"slider",NA,"(0.24,0.36]",2,0.153846153846154,"RS","(0.81,1.1]"
"slider",NA,"(0.48,0.6]",3,0.230769230769231,"RS","(0.81,1.1]"
"slider",NA,"[0,0.12]",2,0.153846153846154,"RS","(0.81,1.1]"
"slider",NA,"(0.24,0.36]",2,0.142857142857143,"RS","(1.1,1.4]"
"slider",NA,"(0.36,0.48]",1,0.0714285714285714,"RS","(1.1,1.4]"
"slider",NA,"(0.48,0.6]",3,0.214285714285714,"RS","(1.1,1.4]"
"slider",NA,"(0.24,0.36]",1,0.1,"RS","(1.4,1.6]"
"slider",NA,"(0.24,0.36]",3,0.230769230769231,"SR","(0.27,0.54]"
"slider",NA,"(0.36,0.48]",3,0.230769230769231,"SR","(0.27,0.54]"
"slider",NA,"(0.48,0.6]",3,0.230769230769231,"SR","(0.27,0.54]"
"slider",NA,"(0.12,0.24]",3,0.2,"SR","(0.54,0.81]"
"slider",NA,"(0.24,0.36]",3,0.2,"SR","(0.54,0.81]"
"slider",NA,"(0.36,0.48]",2,0.133333333333333,"SR","(0.54,0.81]"
"slider",NA,"[0,0.12]",2,0.133333333333333,"SR","(0.54,0.81]"
"slider",NA,"(0.24,0.36]",3,0.230769230769231,"SR","(0.81,1.1]"
"slider",NA,"(0.36,0.48]",2,0.153846153846154,"SR","(0.81,1.1]"
"slider",NA,"(0.48,0.6]",2,0.153846153846154,"SR","(0.81,1.1]"
"slider",NA,"[0,0.12]",2,0.153846153846154,"SR","(0.81,1.1]"
"slider",NA,"(0.24,0.36]",2,0.111111111111111,"SR","(1.1,1.4]"
"slider",NA,"(0.36,0.48]",2,0.111111111111111,"SR","(1.1,1.4]"
"slider",NA,"(0.48,0.6]",3,0.166666666666667,"SR","(1.1,1.4]"
"slider",NA,"(0.12,0.24]",2,0.181818181818182,"SR","(1.4,1.6]"
"slider",NA,"(0.24,0.36]",3,0.272727272727273,"SR","(1.4,1.6]"
"interactive",NA,"(0.24,0.36]",2,0.125,"RS","(0.27,0.54]"
"interactive",NA,"(0.12,0.24]",2,0.133333333333333,"RS","(0.54,0.81]"
"interactive",NA,"(0.36,0.48]",2,0.133333333333333,"RS","(0.54,0.81]"
"interactive",NA,"[0,0.12]",2,0.133333333333333,"RS","(0.54,0.81]"
"interactive",NA,"(0.12,0.24]",3,0.214285714285714,"RS","(0.81,1.1]"
"interactive",NA,"(0.24,0.36]",2,0.142857142857143,"RS","(0.81,1.1]"
"interactive",NA,"(0.48,0.6]",3,0.214285714285714,"RS","(0.81,1.1]"
"interactive",NA,"[0,0.12]",2,0.142857142857143,"RS","(0.81,1.1]"
"interactive",NA,"(0.24,0.36]",2,0.117647058823529,"RS","(1.1,1.4]"
"interactive",NA,"(0.36,0.48]",2,0.117647058823529,"RS","(1.1,1.4]"
