"gameID","playerID","idx","participantID","text","recipient","sender"
"01JD3D1RFT7BE2J4A432K7ZGVR","01JD3D6T7JTMBNX3HX0SW8T8KX",4,"01JD3D6RMN41KKF9QCHVE2978Z",<chr>,<chr>,<df[,3]>
"01JD3D1RFT7BE2J4A432K7ZGVR","01JD3D6T7JTMBNX3HX0SW8T8KX",3,"01JD3D6RMN41KKF9QCHVE2978Z",<chr>,<chr>,<df[,3]>
"01JD3D1RFT7BE2J4A432K7ZGVR","01JD3D6T7JTMBNX3HX0SW8T8KX",1,"01JD3D6RMN41KKF9QCHVE2978Z",<chr>,<chr>,<df[,3]>
"01JD3D1RFT7BE2J4A432K7ZGVR","01JD3D6T7JTMBNX3HX0SW8T8KX",8,"01JD3D6RMN41KKF9QCHVE2978Z",<chr>,<chr>,<df[,3]>
"01JD3D1RFT7BE2J4A432K7ZGVR","01JD3D6T7JTMBNX3HX0SW8T8KX",7,"01JD3D6RMN41KKF9QCHVE2978Z",<chr>,<chr>,<df[,3]>
"01JD3D1RFT7BE2J4A432K7ZGVR","01JD3D6T7JTMBNX3HX0SW8T8KX",6,"01JD3D6RMN41KKF9QCHVE2978Z",<chr>,<chr>,<df[,3]>
"01JD3D1RFT7BE2J4A432K7ZGVR","01JD3D6T7JTMBNX3HX0SW8T8KX",2,"01JD3D6RMN41KKF9QCHVE2978Z",<chr>,<chr>,<df[,3]>
"01JD3D1RFT7BE2J4A432K7ZGVR","01JD3D6T7JTMBNX3HX0SW8T8KX",5,"01JD3D6RMN41KKF9QCHVE2978Z",<chr>,<chr>,<df[,3]>
"01JD3D1TJVJ8N8NRS89HKZKHSW","01JD3D7VSGQYKSTAFCQRYQS4AK",1,"01JD3D7V6DZZTQGZ20ESN6AA9K",<chr>,<chr>,<df[,3]>
"01JD3D1TJVJ8N8NRS89HKZKHSW","01JD3D7VSGQYKSTAFCQRYQS4AK",4,"01JD3D7V6DZZTQGZ20ESN6AA9K",<chr>,<chr>,<df[,3]>
"01JD3D1TJVJ8N8NRS89HKZKHSW","01JD3D7VSGQYKSTAFCQRYQS4AK",5,"01JD3D7V6DZZTQGZ20ESN6AA9K",<chr>,<chr>,<df[,3]>
"01JD3D1TJVJ8N8NRS89HKZKHSW","01JD3D7VSGQYKSTAFCQRYQS4AK",6,"01JD3D7V6DZZTQGZ20ESN6AA9K",<chr>,<chr>,<df[,3]>
"01JD3D1TJVJ8N8NRS89HKZKHSW","01JD3D7VSGQYKSTAFCQRYQS4AK",7,"01JD3D7V6DZZTQGZ20ESN6AA9K",<chr>,<chr>,<df[,3]>
