id,playerID,playerIDLastChangedAt,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,submit,submitLastChangedAt,guess,guessLastChangedAt
01HN8X1CEFWVVMHMP01BZQ8MJ8,01HN8WT5FY22ZT4J7X4VVXCHKB,2024-01-28T20:44:08.015359923Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:44:08.015359923Z,01HN8VW4M12YPXWM797PV50HD0,2024-01-28T20:44:08.015359923Z,01HN8WZHCKF3J9H60JCQXTD7V8,2024-01-28T20:44:08.015359923Z,01HN8WZHE9R67ZFBVVN7SZ3T1C,2024-01-28T20:44:08.015359923Z,true,2024-01-28T20:44:25.363204693Z,85,2024-01-28T20:44:25.359980716Z
01HN8X1D27AKXAD18NMA5T5EVH,01HN8WVXFEX730WAJDDJWD9D7C,2024-01-28T20:44:08.647065105Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:44:08.647065105Z,01HN8VW4M051ARWX18T7EKNNT8,2024-01-28T20:44:08.647065105Z,01HN8X1CNYZ2MV87SAE4D7EKR1,2024-01-28T20:44:08.647065105Z,01HN8X1CT28NM6HYFW8EZNRVWW,2024-01-28T20:44:08.647065105Z,,,,
01HN8X1D27AKXAD18NMKMXCX95,01HN8WFS0FP014KCJK7JJDSJQP,2024-01-28T20:44:08.647935952Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:44:08.647935952Z,01HN8VW4M051ARWX18T7EKNNT8,2024-01-28T20:44:08.647935952Z,01HN8X1CNYZ2MV87SAE4D7EKR1,2024-01-28T20:44:08.647935952Z,01HN8X1CT28NM6HYFW8EZNRVWW,2024-01-28T20:44:08.647935952Z,,,,
01HN8X1D28B2F56F7GSH48XPKW,01HN8WWNZQ0VB9XQN3V18JVK1F,2024-01-28T20:44:08.648674683Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:44:08.648674683Z,01HN8VW4M051ARWX18T7EKNNT8,2024-01-28T20:44:08.648674683Z,01HN8X1CNYZ2MV87SAE4D7EKR1,2024-01-28T20:44:08.648674683Z,01HN8X1CT28NM6HYFW8EZNRVWW,2024-01-28T20:44:08.648674683Z,,,,
01HN8X1D29RYY31RMX00J54YFR,01HN8WQEJZRX09DPVACEVBQB5A,2024-01-28T20:44:08.649495121Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:44:08.649495121Z,01HN8VW4M051ARWX18T7EKNNT8,2024-01-28T20:44:08.649495121Z,01HN8X1CNYZ2MV87SAE4D7EKR1,2024-01-28T20:44:08.649495121Z,01HN8X1CT28NM6HYFW8EZNRVWW,2024-01-28T20:44:08.649495121Z,,,,
01HN8X25EEEE09QTHQ6QV5WN7C,01HN8WH3THS26GR664GHZ4SJVH,2024-01-28T20:44:33.614728227Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:44:33.614728227Z,01HN8VW4M12YPXWM797PV50HD0,2024-01-28T20:44:33.614728227Z,01HN8WZHCG2766SVRXZ91N8JD2,2024-01-28T20:44:33.614728227Z,01HN8WZHE08AA68NWF86GRWSM6,2024-01-28T20:44:33.614728227Z,true,2024-01-28T20:44:48.980354032Z,85,2024-01-28T20:44:48.979367105Z
01HN8X25EFDD04C3991X59GYVM,01HN8WKAMZASB0QZ4J9133AV7J,2024-01-28T20:44:33.615657984Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:44:33.615657984Z,01HN8VW4M12YPXWM797PV50HD0,2024-01-28T20:44:33.615657984Z,01HN8WZHCG2766SVRXZ91N8JD2,2024-01-28T20:44:33.615657984Z,01HN8WZHE08AA68NWF86GRWSM6,2024-01-28T20:44:33.615657984Z,true,2024-01-28T20:44:55.543814088Z,7,2024-01-28T20:44:55.542043082Z
01HN8X25EGTHXT6YCT3A9JKVV6,01HN8WT5FY22ZT4J7X4VVXCHKB,2024-01-28T20:44:33.616455238Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:44:33.616455238Z,01HN8VW4M12YPXWM797PV50HD0,2024-01-28T20:44:33.616455238Z,01HN8WZHCG2766SVRXZ91N8JD2,2024-01-28T20:44:33.616455238Z,01HN8WZHE08AA68NWF86GRWSM6,2024-01-28T20:44:33.616455238Z,true,2024-01-28T20:44:49.722147657Z,90,2024-01-28T20:44:49.718683613Z
01HN8X25EHPZAAQBBF2W6FSXKS,01HN8WKCFXXW3159FQBM9SSZ1S,2024-01-28T20:44:33.617206675Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:44:33.617206675Z,01HN8VW4M12YPXWM797PV50HD0,2024-01-28T20:44:33.617206675Z,01HN8WZHCG2766SVRXZ91N8JD2,2024-01-28T20:44:33.617206675Z,01HN8WZHE08AA68NWF86GRWSM6,2024-01-28T20:44:33.617206675Z,,,,
01HN8X2ACXRNKAKSR9GFP4M2T0,01HN8WQEJZRX09DPVACEVBQB5A,2024-01-28T20:44:38.685717842Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:44:38.685717842Z,01HN8VW4M051ARWX18T7EKNNT8,2024-01-28T20:44:38.685717842Z,01HN8X1CNYZ2MV87SAE4D7EKR1,2024-01-28T20:44:38.685717842Z,01HN8X1CT3R1RD2MN85MDZ1F85,2024-01-28T20:44:38.685717842Z,,,,
01HN8X2ACYEY4HG0MN3KXZ19TV,01HN8WFS0FP014KCJK7JJDSJQP,2024-01-28T20:44:38.686956692Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:44:38.686956692Z,01HN8VW4M051ARWX18T7EKNNT8,2024-01-28T20:44:38.686956692Z,01HN8X1CNYZ2MV87SAE4D7EKR1,2024-01-28T20:44:38.686956692Z,01HN8X1CT3R1RD2MN85MDZ1F85,2024-01-28T20:44:38.686956692Z,,,,
01HN8X2AD0E5J5151V6YJGFRW5,01HN8WWNZQ0VB9XQN3V18JVK1F,2024-01-28T20:44:38.68811827Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:44:38.68811827Z,01HN8VW4M051ARWX18T7EKNNT8,2024-01-28T20:44:38.68811827Z,01HN8X1CNYZ2MV87SAE4D7EKR1,2024-01-28T20:44:38.68811827Z,01HN8X1CT3R1RD2MN85MDZ1F85,2024-01-28T20:44:38.68811827Z,true,2024-01-28T20:44:47.038155988Z,75,2024-01-28T20:44:47.037218593Z
01HN8X2AD165DV8MQ7Q0R7HY7R,01HN8WVXFEX730WAJDDJWD9D7C,2024-01-28T20:44:38.689076198Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:44:38.689076198Z,01HN8VW4M051ARWX18T7EKNNT8,2024-01-28T20:44:38.689076198Z,01HN8X1CNYZ2MV87SAE4D7EKR1,2024-01-28T20:44:38.689076198Z,01HN8X1CT3R1RD2MN85MDZ1F85,2024-01-28T20:44:38.689076198Z,true,2024-01-28T20:44:42.203723854Z,100,2024-01-28T20:44:42.202831288Z
01HN8X2TXSW4SFQ2BGG5YDYMP6,01HN8WKCFXXW3159FQBM9SSZ1S,2024-01-28T20:44:55.609218135Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:44:55.609218135Z,01HN8VW4M12YPXWM797PV50HD0,2024-01-28T20:44:55.609218135Z,01HN8WZHCKF3J9H60JC9F9FWBW,2024-01-28T20:44:55.609218135Z,01HN8WZHE2VX4KT9C79CQRM84F,2024-01-28T20:44:55.609218135Z,,,,
01HN8X2TXT6THPSE9KMJJGAAE9,01HN8WT5FY22ZT4J7X4VVXCHKB,2024-01-28T20:44:55.610180955Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:44:55.610180955Z,01HN8VW4M12YPXWM797PV50HD0,2024-01-28T20:44:55.610180955Z,01HN8WZHCKF3J9H60JC9F9FWBW,2024-01-28T20:44:55.610180955Z,01HN8WZHE2VX4KT9C79CQRM84F,2024-01-28T20:44:55.610180955Z,true,2024-01-28T20:45:10.936944146Z,80,2024-01-28T20:45:10.934617451Z
01HN8X2TXVFES54NKSWCF1Z7E1,01HN8WH3THS26GR664GHZ4SJVH,2024-01-28T20:44:55.611126656Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:44:55.611126656Z,01HN8VW4M12YPXWM797PV50HD0,2024-01-28T20:44:55.611126656Z,01HN8WZHCKF3J9H60JC9F9FWBW,2024-01-28T20:44:55.611126656Z,01HN8WZHE2VX4KT9C79CQRM84F,2024-01-28T20:44:55.611126656Z,true,2024-01-28T20:45:11.205046074Z,85,2024-01-28T20:45:11.202966457Z
01HN8X2TXVFES54NKSWV3NTN96,01HN8WKAMZASB0QZ4J9133AV7J,2024-01-28T20:44:55.611824838Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:44:55.611824838Z,01HN8VW4M12YPXWM797PV50HD0,2024-01-28T20:44:55.611824838Z,01HN8WZHCKF3J9H60JC9F9FWBW,2024-01-28T20:44:55.611824838Z,01HN8WZHE2VX4KT9C79CQRM84F,2024-01-28T20:44:55.611824838Z,true,2024-01-28T20:45:08.789676071Z,7,2024-01-28T20:45:08.788360897Z
