id,idx,idxLastChangedAt,batchID,batchIDLastChangedAt,ended,endedLastChangedAt,index,indexLastChangedAt,start,startLastChangedAt,stageIndex,stageIndexLastChangedAt,name,nameLastChangedAt,gameID,gameIDLastChangedAt,task,taskLastChangedAt
01HN8X1CNZGJ0X63Y9K37NWV6V,2,2024-01-28T20:44:08.255672285Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:44:08.255672285Z,true,2024-01-28T20:46:08.846933139Z,1,2024-01-28T20:44:08.255672285Z,true,2024-01-28T20:45:08.732944133Z,2,2024-01-28T20:44:08.385834683Z,Round 2 / 9,2024-01-28T20:44:08.255672285Z,01HN8VW4M051ARWX18T7EKNNT8,2024-01-28T20:44:08.255672285Z,Chat,2024-01-28T20:44:08.255672285Z
01HN8X1CP000EXT77E0Q9CA6AH,3,2024-01-28T20:44:08.256352961Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:44:08.256352961Z,true,2024-01-28T20:47:03.022013129Z,2,2024-01-28T20:44:08.256352961Z,true,2024-01-28T20:46:08.856423993Z,2,2024-01-28T20:44:08.304557385Z,Round 3 / 9,2024-01-28T20:44:08.256352961Z,01HN8VW4M051ARWX18T7EKNNT8,2024-01-28T20:44:08.256352961Z,Chat,2024-01-28T20:44:08.256352961Z
01HN8X1CP000EXT77E177AS4R9,4,2024-01-28T20:44:08.257003927Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:44:08.257003927Z,true,2024-01-28T20:47:39.372452582Z,3,2024-01-28T20:44:08.257003927Z,true,2024-01-28T20:47:03.03509129Z,2,2024-01-28T20:44:08.382432464Z,Round 4 / 9,2024-01-28T20:44:08.257003927Z,01HN8VW4M051ARWX18T7EKNNT8,2024-01-28T20:44:08.257003927Z,Chat,2024-01-28T20:44:08.257003927Z
01HN8X1CP1EYVT5JZ72B30YT5T,7,2024-01-28T20:44:08.257537604Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:44:08.257537604Z,true,2024-01-28T20:49:39.553217494Z,6,2024-01-28T20:44:08.257537604Z,true,2024-01-28T20:48:56.325447243Z,2,2024-01-28T20:44:08.353014225Z,Round 7 / 9,2024-01-28T20:44:08.257537604Z,01HN8VW4M051ARWX18T7EKNNT8,2024-01-28T20:44:08.257537604Z,Chat,2024-01-28T20:44:08.257537604Z
01HN8X1CP2GNCDFN8J373GBM16,5,2024-01-28T20:44:08.258167855Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:44:08.258167855Z,true,2024-01-28T20:48:20.262132855Z,4,2024-01-28T20:44:08.258167855Z,true,2024-01-28T20:47:39.384297232Z,2,2024-01-28T20:44:08.341112363Z,Round 5 / 9,2024-01-28T20:44:08.258167855Z,01HN8VW4M051ARWX18T7EKNNT8,2024-01-28T20:44:08.258167855Z,Chat,2024-01-28T20:44:08.258167855Z
01HN8X1CP2GNCDFN8J3R0XCDC6,6,2024-01-28T20:44:08.258749171Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:44:08.258749171Z,true,2024-01-28T20:48:56.30716951Z,5,2024-01-28T20:44:08.258749171Z,true,2024-01-28T20:48:20.277647577Z,2,2024-01-28T20:44:08.382432464Z,Round 6 / 9,2024-01-28T20:44:08.258749171Z,01HN8VW4M051ARWX18T7EKNNT8,2024-01-28T20:44:08.258749171Z,Chat,2024-01-28T20:44:08.258749171Z
01HN8X1CP3RSQCQ96TNJAMA3EK,9,2024-01-28T20:44:08.259296667Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:44:08.259296667Z,true,2024-01-28T20:51:10.969284034Z,8,2024-01-28T20:44:08.259296667Z,true,2024-01-28T20:50:15.388197607Z,2,2024-01-28T20:44:08.353014225Z,Round 9 / 9,2024-01-28T20:44:08.259296667Z,01HN8VW4M051ARWX18T7EKNNT8,2024-01-28T20:44:08.259296667Z,Chat,2024-01-28T20:44:08.259296667Z
01HN8X1CP5HRMRBYWT0K687TMD,8,2024-01-28T20:44:08.26150778Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:44:08.26150778Z,true,2024-01-28T20:50:15.371761318Z,7,2024-01-28T20:44:08.26150778Z,true,2024-01-28T20:49:39.575223048Z,2,2024-01-28T20:44:08.367804933Z,Round 8 / 9,2024-01-28T20:44:08.26150778Z,01HN8VW4M051ARWX18T7EKNNT8,2024-01-28T20:44:08.26150778Z,Chat,2024-01-28T20:44:08.26150778Z
01HN8X3AWMVFM36TT1AY3TTX4J,1,2024-01-28T20:45:11.956383601Z,01HN8VW75A0SZ36EFK7W5H8SM5,2024-01-28T20:45:11.956383601Z,true,2024-01-28T20:45:41.600857599Z,0,2024-01-28T20:45:11.956383601Z,true,2024-01-28T20:45:12.126899172Z,1,2024-01-28T20:45:12.031624564Z,Round 1 / 9,2024-01-28T20:45:11.956383601Z,01HN8VW75MDMST7DFQ9EYCHE3V,2024-01-28T20:45:11.956383601Z,Chat,2024-01-28T20:45:11.956383601Z
01HN8X3AWP9PA6EVFSEKS7RSFZ,2,2024-01-28T20:45:11.95828358Z,01HN8VW75A0SZ36EFK7W5H8SM5,2024-01-28T20:45:11.95828358Z,true,2024-01-28T20:45:59.195515388Z,1,2024-01-28T20:45:11.95828358Z,true,2024-01-28T20:45:41.614170182Z,1,2024-01-28T20:45:12.025193907Z,Round 2 / 9,2024-01-28T20:45:11.95828358Z,01HN8VW75MDMST7DFQ9EYCHE3V,2024-01-28T20:45:11.95828358Z,Chat,2024-01-28T20:45:11.95828358Z
01HN8X3AWQ1DXJGNBZGS34FJT7,5,2024-01-28T20:45:11.959337304Z,01HN8VW75A0SZ36EFK7W5H8SM5,2024-01-28T20:45:11.959337304Z,true,2024-01-28T20:46:41.65644644Z,4,2024-01-28T20:45:11.959337304Z,true,2024-01-28T20:46:34.326623113Z,1,2024-01-28T20:45:12.049078243Z,Round 5 / 9,2024-01-28T20:45:11.959337304Z,01HN8VW75MDMST7DFQ9EYCHE3V,2024-01-28T20:45:11.959337304Z,Chat,2024-01-28T20:45:11.959337304Z
01HN8X3AWR8G23W3C6NZ48ZD0Z,3,2024-01-28T20:45:11.960139495Z,01HN8VW75A0SZ36EFK7W5H8SM5,2024-01-28T20:45:11.960139495Z,true,2024-01-28T20:46:19.946321829Z,2,2024-01-28T20:45:11.960139495Z,true,2024-01-28T20:45:59.203982688Z,1,2024-01-28T20:45:12.013444167Z,Round 3 / 9,2024-01-28T20:45:11.960139495Z,01HN8VW75MDMST7DFQ9EYCHE3V,2024-01-28T20:45:11.960139495Z,Chat,2024-01-28T20:45:11.960139495Z
01HN8X3AWSVDYWKHEET78816PA,4,2024-01-28T20:45:11.961041898Z,01HN8VW75A0SZ36EFK7W5H8SM5,2024-01-28T20:45:11.961041898Z,true,2024-01-28T20:46:34.316653744Z,3,2024-01-28T20:45:11.961041898Z,true,2024-01-28T20:46:19.954705306Z,1,2024-01-28T20:45:12.031624564Z,Round 4 / 9,2024-01-28T20:45:11.961041898Z,01HN8VW75MDMST7DFQ9EYCHE3V,2024-01-28T20:45:11.961041898Z,Chat,2024-01-28T20:45:11.961041898Z
01HN8X3AWSVDYWKHEETS7SYJKD,6,2024-01-28T20:45:11.961838983Z,01HN8VW75A0SZ36EFK7W5H8SM5,2024-01-28T20:45:11.961838983Z,true,2024-01-28T20:46:53.374810711Z,5,2024-01-28T20:45:11.961838983Z,true,2024-01-28T20:46:41.66799573Z,1,2024-01-28T20:45:12.056882279Z,Round 6 / 9,2024-01-28T20:45:11.961838983Z,01HN8VW75MDMST7DFQ9EYCHE3V,2024-01-28T20:45:11.961838983Z,Chat,2024-01-28T20:45:11.961838983Z
