id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,playerID,playerIDLastChangedAt
01HN8X1D0WRBAR9AE4K5H42QCG,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:44:08.604929773Z,01HN8VW4M051ARWX18T7EKNNT8,2024-01-28T20:44:08.604929773Z,01HN8X1CNYZ2MV87SAE4D7EKR1,2024-01-28T20:44:08.604929773Z,01HN8WWNZQ0VB9XQN3V18JVK1F,2024-01-28T20:44:08.604929773Z
01HN8X25D83ZF26XD38D9N8JGB,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:44:33.576666172Z,01HN8VW4M12YPXWM797PV50HD0,2024-01-28T20:44:33.576666172Z,01HN8WZHCG2766SVRXZ91N8JD2,2024-01-28T20:44:33.576666172Z,01HN8WH3THS26GR664GHZ4SJVH,2024-01-28T20:44:33.576666172Z
01HN8X25D95RC2DARHBNANJSMA,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:44:33.577542576Z,01HN8VW4M12YPXWM797PV50HD0,2024-01-28T20:44:33.577542576Z,01HN8WZHCG2766SVRXZ91N8JD2,2024-01-28T20:44:33.577542576Z,01HN8WKAMZASB0QZ4J9133AV7J,2024-01-28T20:44:33.577542576Z
01HN8X25DAHCR8CK53VTMND7CX,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:44:33.578358304Z,01HN8VW4M12YPXWM797PV50HD0,2024-01-28T20:44:33.578358304Z,01HN8WZHCG2766SVRXZ91N8JD2,2024-01-28T20:44:33.578358304Z,01HN8WKCFXXW3159FQBM9SSZ1S,2024-01-28T20:44:33.578358304Z
01HN8X25DET4B3JKKSSQHF64QT,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:44:33.582133722Z,01HN8VW4M12YPXWM797PV50HD0,2024-01-28T20:44:33.582133722Z,01HN8WZHCG2766SVRXZ91N8JD2,2024-01-28T20:44:33.582133722Z,01HN8WT5FY22ZT4J7X4VVXCHKB,2024-01-28T20:44:33.582133722Z
01HN8X2TWXKHXJC8ERJJB8TVSA,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:44:55.581505588Z,01HN8VW4M12YPXWM797PV50HD0,2024-01-28T20:44:55.581505588Z,01HN8WZHCKF3J9H60JC9F9FWBW,2024-01-28T20:44:55.581505588Z,01HN8WH3THS26GR664GHZ4SJVH,2024-01-28T20:44:55.581505588Z
01HN8X2TWYRT3WGG4JWJ1BR59V,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:44:55.582790412Z,01HN8VW4M12YPXWM797PV50HD0,2024-01-28T20:44:55.582790412Z,01HN8WZHCKF3J9H60JC9F9FWBW,2024-01-28T20:44:55.582790412Z,01HN8WKAMZASB0QZ4J9133AV7J,2024-01-28T20:44:55.582790412Z
01HN8X2TWZ8QHFHRHH3VPCQ32Q,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:44:55.583591494Z,01HN8VW4M12YPXWM797PV50HD0,2024-01-28T20:44:55.583591494Z,01HN8WZHCKF3J9H60JC9F9FWBW,2024-01-28T20:44:55.583591494Z,01HN8WKCFXXW3159FQBM9SSZ1S,2024-01-28T20:44:55.583591494Z
01HN8X2TX08HPDZPQF1ZPXX3WQ,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:44:55.584317957Z,01HN8VW4M12YPXWM797PV50HD0,2024-01-28T20:44:55.584317957Z,01HN8WZHCKF3J9H60JC9F9FWBW,2024-01-28T20:44:55.584317957Z,01HN8WT5FY22ZT4J7X4VVXCHKB,2024-01-28T20:44:55.584317957Z
01HN8X37R5VEDCRZY9GYXAGDA7,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:45:08.741855267Z,01HN8VW4M051ARWX18T7EKNNT8,2024-01-28T20:45:08.741855267Z,01HN8X1CNZGJ0X63Y9K37NWV6V,2024-01-28T20:45:08.741855267Z,01HN8WFS0FP014KCJK7JJDSJQP,2024-01-28T20:45:08.741855267Z
01HN8X37R6WGFA2M63M5XEM1JP,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:45:08.742955475Z,01HN8VW4M051ARWX18T7EKNNT8,2024-01-28T20:45:08.742955475Z,01HN8X1CNZGJ0X63Y9K37NWV6V,2024-01-28T20:45:08.742955475Z,01HN8WVXFEX730WAJDDJWD9D7C,2024-01-28T20:45:08.742955475Z
01HN8X37R7A4VXXWN1RGBEEF53,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:45:08.743685625Z,01HN8VW4M051ARWX18T7EKNNT8,2024-01-28T20:45:08.743685625Z,01HN8X1CNZGJ0X63Y9K37NWV6V,2024-01-28T20:45:08.743685625Z,01HN8WQEJZRX09DPVACEVBQB5A,2024-01-28T20:45:08.743685625Z
01HN8X37R8H68E68AYCEZ761Y7,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:45:08.744773966Z,01HN8VW4M051ARWX18T7EKNNT8,2024-01-28T20:45:08.744773966Z,01HN8X1CNZGJ0X63Y9K37NWV6V,2024-01-28T20:45:08.744773966Z,01HN8WWNZQ0VB9XQN3V18JVK1F,2024-01-28T20:45:08.744773966Z
01HN8X3A656CS3FM5PKHXAFS0S,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:45:11.23813034Z,01HN8VW4M12YPXWM797PV50HD0,2024-01-28T20:45:11.23813034Z,01HN8WZHCJ6J7PD5Z74JH63F2W,2024-01-28T20:45:11.23813034Z,01HN8WH3THS26GR664GHZ4SJVH,2024-01-28T20:45:11.23813034Z
