id,introDone,introDoneLastChangedAt,recipient,recipientLastChangedAt,exitSurvey,exitSurveyLastChangedAt,intro,introLastChangedAt,urlParams,urlParamsLastChangedAt,gameID,gameIDLastChangedAt,participantID,participantIDLastChangedAt,participantIdentifier,participantIdentifierLastChangedAt,emojiArray,emojiArrayLastChangedAt,exitStep,exitStepLastChangedAt,name,nameLastChangedAt,ended,endedLastChangedAt,treatmentName,treatmentNameLastChangedAt,treatment,treatmentLastChangedAt
01HVSENPNMQ4GRN6V4J5H8FPF0,,,,,,,1,2024-04-18T20:34:26.619403175Z,{},2024-04-18T20:34:21.685828047Z,,2024-04-18T20:37:33.322128524Z,01HVSENPBCD65WJNQ0H9YTN6EC,2024-04-18T20:34:21.492610053Z,6153b5513ccada2d35fae508,2024-04-18T20:34:21.492610053Z,,,,,,,no more games,2024-04-18T20:49:35.902005571Z,rerun-interactive- 0.7,2024-04-18T20:36:52.102286764Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-18T20:36:52.102286764Z
01HVSENSRQTQVFGZYCBA03TC1G,,,,,,,2,2024-04-18T20:37:31.991033291Z,{},2024-04-18T20:34:25.013393024Z,,2024-04-18T20:37:33.322128524Z,01HVSENS3CQMV37FX0WNW150GV,2024-04-18T20:34:24.66377503Z,5e13859753e8469d270982c0,2024-04-18T20:34:24.66377503Z,,,,,,,no more games,2024-04-18T20:49:35.902005571Z,rerun-interactive- 0.7,2024-04-18T20:36:52.102286764Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-18T20:36:52.102286764Z
01HVSEP8YNKVV0NK3ZECZF5FAC,,,,,"{""age"":""48"",""gender"":""Male"",""strength"":""Fair"",""fair"":""Yes "",""feedback"":""None"",""education"":""master"",""teammates"":""Yes"",""notes"":""Yes"",""politics"":""Right"",""geo"":""French "",""ethnicity"":""White""}",2024-04-18T20:38:58.554918081Z,3,2024-04-18T20:37:34.456590167Z,{},2024-04-18T20:34:40.606555837Z,,2024-04-18T20:37:33.322128524Z,01HVSEP8A018JWDKN750RD51HP,2024-04-18T20:34:40.213962913Z,5ea0c550e4bed70bcf828311,2024-04-18T20:34:40.213962913Z,,,1,2024-04-18T20:38:58.586033495Z,,,no more games,2024-04-18T20:49:35.902005571Z,rerun-interactive- 0.7,2024-04-18T20:36:52.102286764Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-18T20:36:52.102286764Z
01HVSEPCRDSM33WKKKQ9530BJ7,,,,,"{""age"":""41"",""gender"":""Female"",""strength"":""what game?"",""fair"":""no"",""feedback"":""application skipped straight to to the end."",""education"":""master"",""teammates"":""no"",""notes"":""no"",""politics"":""Middle"",""geo"":""Canadian"",""ethnicity"":""Chinese""}",2024-04-18T20:38:32.896049965Z,3,2024-04-18T20:37:20.276538502Z,{},2024-04-18T20:34:44.199711731Z,,2024-04-18T20:37:33.322128524Z,01HVSEPCMBW99B826D9KZE0FGY,2024-04-18T20:34:44.109083352Z,5c0244a7d183df000141f793,2024-04-18T20:34:44.109083352Z,,,1,2024-04-18T20:38:32.929898271Z,,,no more games,2024-04-18T20:49:35.902005571Z,rerun-interactive- 0.7,2024-04-18T20:36:52.102286764Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-18T20:36:52.102286764Z
01HVSEPMXYBJN0VG88C74MRPD7,,,,,"{""age"":""58"",""gender"":""female"",""strength"":""truthful"",""fair"":""yes"",""feedback"":"""",""education"":""high-school"",""teammates"":""yes"",""notes"":""yes"",""politics"":""labour"",""geo"":""UK"",""ethnicity"":""white""}",2024-04-18T20:39:28.552319487Z,1,2024-04-18T20:34:56.245001072Z,{},2024-04-18T20:34:52.914679333Z,,2024-04-18T20:37:33.322128524Z,01HVSEPM4VEZ9S4PMVWR0TSPCR,2024-04-18T20:34:52.478218361Z,5dcc6f91e5e18690a20e74d1,2024-04-18T20:34:52.478218361Z,,,1,2024-04-18T20:39:28.517130721Z,,,no more games,2024-04-18T20:49:35.902005571Z,rerun-interactive- 0.7,2024-04-18T20:36:52.102286764Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-18T20:36:52.102286764Z
01HVSEPQJ41B6KAQ5WP4TXNP3X,true,2024-04-18T20:36:51.794262545Z,01HVSEK1B6QT0ZY5V067M17DSQ,2024-04-18T20:59:24.463675742Z,"{""age"":""21"",""gender"":""Female"",""strength"":""I made notes to try and tally up and occasionally messaged others with my thoughts"",""fair"":""Yes"",""feedback"":""None"",""education"":""high-school"",""teammates"":""Yes"",""notes"":""Yes"",""politics"":""Liberal"",""geo"":""British"",""ethnicity"":""White""}",2024-04-18T21:03:47.871891948Z,4,2024-04-18T20:36:47.931069363Z,{},2024-04-18T20:34:55.568884886Z,01HVSD1XT8AWXP2RQVPQ11F6Q1,2024-04-18T20:36:22.494257428Z,01HVSEPP3TPEFEE9XTM5XCTCSK,2024-04-18T20:34:55.172195568Z,5c40dea5f374a90001622c8e,2024-04-18T20:34:55.172195568Z,"[""🐇"",""🐇"",""🐿️"",""🐇"",""                                   ""]",2024-04-18T20:36:52.747377023Z,1,2024-04-18T21:03:47.983808266Z,player 4,2024-04-18T20:36:52.747377023Z,game ended,2024-04-18T21:02:43.381579599Z,rerun-interactive- 0.7,2024-04-18T20:36:22.494257428Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-18T20:36:22.494257428Z
01HVSEQ0ZCX7BA5TVFT59F2HYX,,,,,,,3,2024-04-18T20:37:18.248776062Z,{},2024-04-18T20:35:05.318913934Z,,2024-04-18T20:37:33.322128524Z,01HVSEPZWWZXXXXKQFT37Y9RKH,2024-04-18T20:35:04.812561897Z,5e22d5c0aedc2c589eb1c8f7,2024-04-18T20:35:04.812561897Z,,,,,,,no more games,2024-04-18T20:49:35.902005571Z,rerun-interactive- 0.7,2024-04-18T20:36:52.102286764Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-18T20:36:52.102286764Z
01HVSEQ2RFT4A3DMXRDDGKMA1V,,,,,"{""age"":""54"",""gender"":""Female"",""strength"":""Honesty is the best policy"",""fair"":""Yes"",""feedback"":""None"",""education"":""high-school"",""teammates"":""Yes"",""notes"":""No"",""politics"":""Conservative"",""geo"":""United Kingdom"",""ethnicity"":""White ""}",2024-04-18T20:38:40.934461533Z,2,2024-04-18T20:37:09.751084477Z,{},2024-04-18T20:35:06.983291365Z,,2024-04-18T20:37:33.322128524Z,01HVSEQ22Z21JGWSF43MXBK01R,2024-04-18T20:35:06.639086385Z,6154918f83e8ca861b23ea04,2024-04-18T20:35:06.639086385Z,,,1,2024-04-18T20:38:40.965922938Z,,,no more games,2024-04-18T20:49:35.902005571Z,rerun-interactive- 0.7,2024-04-18T20:36:52.102286764Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-18T20:36:52.102286764Z
01HVSEQ6KE0WBCTA512N3VM6ZT,,,,,,,1,2024-04-18T20:35:26.831772801Z,{},2024-04-18T20:35:10.766172571Z,,2024-04-18T20:37:33.322128524Z,01HVSEQ69M0K3EP5J45XN717RE,2024-04-18T20:35:10.574519211Z,64fbdd76da81958c283b67b9,2024-04-18T20:35:10.574519211Z,,,,,,,no more games,2024-04-18T20:49:35.902005571Z,rerun-interactive- 0.7,2024-04-18T20:36:52.102286764Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-18T20:36:52.102286764Z
01HVSEQ8CHAZJ16FM232MRRWSS,,,,,,,,,{},2024-04-18T20:35:12.780291867Z,,2024-04-18T20:37:33.322128524Z,01HVSEQ7S7Q1S2BYTR26B053YN,2024-04-18T20:35:12.401062776Z,5f5516d830c59c0b17a70bb3,2024-04-18T20:35:12.401062776Z,,,,,,,no more games,2024-04-18T20:49:35.902005571Z,rerun-interactive- 0.7,2024-04-18T20:36:52.102286764Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-18T20:36:52.102286764Z
01HVSEQR1ZBH3VR532PT4CYJ9S,,,,,"{""age"":""55"",""gender"":"""",""strength"":""average"",""fair"":""yes"",""feedback"":"""",""education"":""high-school"",""teammates"":""hard to tell"",""notes"":""no"",""politics"":"""",""geo"":"""",""ethnicity"":""""}",2024-04-18T20:38:28.572965712Z,2,2024-04-18T20:37:21.064034611Z,{},2024-04-18T20:35:28.801354178Z,,2024-04-18T20:37:33.322128524Z,01HVSEQQDZQ3NVBT7ZCCFEY0CS,2024-04-18T20:35:28.447809489Z,657f030038e31904b66cc81e,2024-04-18T20:35:28.447809489Z,,,1,2024-04-18T20:38:28.608786367Z,,,no more games,2024-04-18T20:49:35.902005571Z,rerun-interactive- 0.7,2024-04-18T20:36:52.102286764Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-18T20:36:52.102286764Z
