id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,index,indexLastChangedAt,started,startedLastChangedAt,name,nameLastChangedAt,start,startLastChangedAt,roundID,roundIDLastChangedAt,initialized,initializedLastChangedAt,gameID,gameIDLastChangedAt,ended,endedLastChangedAt,timerID,timerIDLastChangedAt,status,statusLastChangedAt,endedReason,endedReasonLastChangedAt
01HVSDK3M4CACF540A623EVQEZ,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:15:27.876470056Z,30,2024-04-18T20:15:27.876470056Z,0,2024-04-18T20:15:27.876470056Z,true,2024-04-18T20:18:45.583198918Z,send,2024-04-18T20:15:27.876470056Z,true,2024-04-18T20:18:45.502072193Z,01HVSDK3D3Z7NW9SETPMEXQTF2,2024-04-18T20:15:27.876470056Z,true,2024-04-18T20:18:45.563833468Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:15:27.876470056Z,true,2024-04-18T20:19:15.583256826Z,01HVSDK3GFCYFGJNGTZAA8VJ5R,2024-04-18T20:15:27.876470056Z,,,,
01HVSDK3M4CACF540A6KFKWWBM,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:15:27.876814581Z,30,2024-04-18T20:15:27.876814581Z,1,2024-04-18T20:15:27.876814581Z,true,2024-04-18T20:19:15.659929301Z,observe,2024-04-18T20:15:27.876814581Z,true,2024-04-18T20:19:15.595203043Z,01HVSDK3D3Z7NW9SETPMEXQTF2,2024-04-18T20:15:27.876814581Z,true,2024-04-18T20:19:15.639686815Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:15:27.876814581Z,true,2024-04-18T20:19:29.334271037Z,01HVSDK3HQD68KDM4BW9FDPM2P,2024-04-18T20:15:27.876814581Z,,,,
01HVSDK3M5Q1Q560FECTJKEMM2,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:15:27.877134351Z,30,2024-04-18T20:15:27.877134351Z,0,2024-04-18T20:15:27.877134351Z,true,2024-04-18T20:22:03.550915932Z,send,2024-04-18T20:15:27.877134351Z,true,2024-04-18T20:22:03.480439857Z,01HVSDK3D5F7ZQKTPV1Z6R1PVC,2024-04-18T20:15:27.877134351Z,true,2024-04-18T20:22:03.530107166Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:15:27.877134351Z,true,2024-04-18T20:22:33.554734862Z,01HVSDK3GHMF43VY03WW2AKVBA,2024-04-18T20:15:27.877134351Z,,,,
01HVSDK3M5Q1Q560FEDCHQS91G,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:15:27.8778291Z,30,2024-04-18T20:15:27.8778291Z,1,2024-04-18T20:15:27.8778291Z,true,2024-04-18T20:22:33.640639083Z,observe,2024-04-18T20:15:27.8778291Z,true,2024-04-18T20:22:33.571284983Z,01HVSDK3D5F7ZQKTPV1Z6R1PVC,2024-04-18T20:15:27.8778291Z,true,2024-04-18T20:22:33.621495591Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:15:27.8778291Z,true,2024-04-18T20:22:39.96342839Z,01HVSDK3J1WCWQMK9P4HCCDD83,2024-04-18T20:15:27.8778291Z,,,,
01HVSDK3MACR0HYG22M8A0JMMM,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:15:27.882135692Z,30,2024-04-18T20:15:27.882135692Z,0,2024-04-18T20:15:27.882135692Z,true,2024-04-18T20:22:40.126819475Z,send,2024-04-18T20:15:27.882135692Z,true,2024-04-18T20:22:40.059800299Z,01HVSDK3D3Z7NW9SETP6R9XZ61,2024-04-18T20:15:27.882135692Z,true,2024-04-18T20:22:40.109279213Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:15:27.882135692Z,true,2024-04-18T20:23:10.131290114Z,01HVSDK3GHMF43VY03WZYAEFV5,2024-04-18T20:15:27.882135692Z,,,,
01HVSDK3MACR0HYG22MY0R1CW1,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:15:27.882496622Z,30,2024-04-18T20:15:27.882496622Z,1,2024-04-18T20:15:27.882496622Z,true,2024-04-18T20:23:10.216703538Z,observe,2024-04-18T20:15:27.882496622Z,true,2024-04-18T20:23:10.149032836Z,01HVSDK3D3Z7NW9SETP6R9XZ61,2024-04-18T20:15:27.882496622Z,true,2024-04-18T20:23:10.197697588Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:15:27.882496622Z,true,2024-04-18T20:23:18.568839547Z,01HVSDK3J5A8F47C2WED3ACXVK,2024-04-18T20:15:27.882496622Z,,,,
01HVSDK3PJH0C4WJ2PEQF83D99,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:15:27.954887007Z,30,2024-04-18T20:15:27.954887007Z,0,2024-04-18T20:15:27.954887007Z,true,2024-04-18T20:19:29.485117131Z,send,2024-04-18T20:15:27.954887007Z,true,2024-04-18T20:19:29.422209544Z,01HVSDK3D4H6MFNJ6YXF6W6MH5,2024-04-18T20:15:27.954887007Z,true,2024-04-18T20:19:29.469016396Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:15:27.954887007Z,true,2024-04-18T20:19:59.488729498Z,01HVSDK3GEYM9WZVFB2SED4SX3,2024-04-18T20:15:27.954887007Z,,,,
01HVSDK3PK3GQ0EPZSHNNJN2P5,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:15:27.955311439Z,30,2024-04-18T20:15:27.955311439Z,1,2024-04-18T20:15:27.955311439Z,true,2024-04-18T20:19:59.566534115Z,observe,2024-04-18T20:15:27.955311439Z,true,2024-04-18T20:19:59.501257303Z,01HVSDK3D4H6MFNJ6YXF6W6MH5,2024-04-18T20:15:27.955311439Z,true,2024-04-18T20:19:59.55222307Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:15:27.955311439Z,true,2024-04-18T20:20:10.339844799Z,01HVSDK3GT6N3GHY1BF30QHMNW,2024-04-18T20:15:27.955311439Z,,,,
01HVSDK3PK3GQ0EPZSJCP3G5CY,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:15:27.955803635Z,30,2024-04-18T20:15:27.955803635Z,0,2024-04-18T20:15:27.955803635Z,true,2024-04-18T20:21:27.013477399Z,send,2024-04-18T20:15:27.955803635Z,true,2024-04-18T20:21:26.938517755Z,01HVSDK3D5F7ZQKTPV1BJ8529R,2024-04-18T20:15:27.955803635Z,true,2024-04-18T20:21:26.985119998Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:15:27.955803635Z,true,2024-04-18T20:21:57.018316287Z,01HVSDK3GFCYFGJNGTYX5WRK4G,2024-04-18T20:15:27.955803635Z,,,,
01HVSDK3PM8CXJ6PZSTXRJFWCV,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:15:27.956169214Z,30,2024-04-18T20:15:27.956169214Z,1,2024-04-18T20:15:27.956169214Z,true,2024-04-18T20:21:57.094011546Z,observe,2024-04-18T20:15:27.956169214Z,true,2024-04-18T20:21:57.033445565Z,01HVSDK3D5F7ZQKTPV1BJ8529R,2024-04-18T20:15:27.956169214Z,true,2024-04-18T20:21:57.079613882Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:15:27.956169214Z,true,2024-04-18T20:22:03.36134093Z,01HVSDK3H0FN6FT6Y4RJTQHSHF,2024-04-18T20:15:27.956169214Z,,,,
