id,idx,idxLastChangedAt,task,taskLastChangedAt,index,indexLastChangedAt,stageIndex,stageIndexLastChangedAt,gameID,gameIDLastChangedAt,batchID,batchIDLastChangedAt,name,nameLastChangedAt,start,startLastChangedAt,ended,endedLastChangedAt
01HVSDK3D6P98HYWHAFDYY0AAC,12,2024-04-18T20:15:27.6544714Z,Chat,2024-04-18T20:15:27.6544714Z,11,2024-04-18T20:15:27.6544714Z,2,2024-04-18T20:15:27.875262508Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:15:27.6544714Z,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:15:27.6544714Z,Round 12 / 12,2024-04-18T20:15:27.6544714Z,true,2024-04-18T20:23:18.601731316Z,true,2024-04-18T20:23:57.014349479Z
01HVSDW3E0XZVRZGE5M2HD9NK4,1,2024-04-18T20:20:22.592421948Z,Chat,2024-04-18T20:20:22.592421948Z,0,2024-04-18T20:20:22.592421948Z,2,2024-04-18T20:20:22.676747958Z,01HVSD1G7FR47EZYB36FVXPS0J,2024-04-18T20:20:22.592421948Z,01HVSD1G75Z7R1XV801N2EYCVF,2024-04-18T20:20:22.592421948Z,Round 1 / 12,2024-04-18T20:20:22.592421948Z,true,2024-04-18T20:20:22.809076301Z,true,2024-04-18T20:21:23.360478544Z
01HVSDW3EBMD5DH7KVG7NYT29K,3,2024-04-18T20:20:22.603651807Z,Chat,2024-04-18T20:20:22.603651807Z,2,2024-04-18T20:20:22.603651807Z,2,2024-04-18T20:20:22.687093725Z,01HVSD1G7FR47EZYB36FVXPS0J,2024-04-18T20:20:22.603651807Z,01HVSD1G75Z7R1XV801N2EYCVF,2024-04-18T20:20:22.603651807Z,Round 3 / 12,2024-04-18T20:20:22.603651807Z,true,2024-04-18T20:22:23.547777454Z,true,2024-04-18T20:23:23.715440256Z
01HVSDW3ECYQMQMBXEG9F41ZMK,2,2024-04-18T20:20:22.604427667Z,Chat,2024-04-18T20:20:22.604427667Z,1,2024-04-18T20:20:22.604427667Z,2,2024-04-18T20:20:22.676747958Z,01HVSD1G7FR47EZYB36FVXPS0J,2024-04-18T20:20:22.604427667Z,01HVSD1G75Z7R1XV801N2EYCVF,2024-04-18T20:20:22.604427667Z,Round 2 / 12,2024-04-18T20:20:22.604427667Z,true,2024-04-18T20:21:23.372016305Z,true,2024-04-18T20:22:23.537574362Z
01HVSDW3EDB1DDMH9802DS4146,12,2024-04-18T20:20:22.605285651Z,Chat,2024-04-18T20:20:22.605285651Z,11,2024-04-18T20:20:22.605285651Z,2,2024-04-18T20:20:22.917403366Z,01HVSD1G7FR47EZYB36FVXPS0J,2024-04-18T20:20:22.605285651Z,01HVSD1G75Z7R1XV801N2EYCVF,2024-04-18T20:20:22.605285651Z,Round 12 / 12,2024-04-18T20:20:22.605285651Z,true,2024-04-18T20:30:58.370061221Z,true,2024-04-18T20:31:58.808352088Z
01HVSDW3EDB1DDMH980EGCVEM9,5,2024-04-18T20:20:22.60598432Z,Chat,2024-04-18T20:20:22.60598432Z,4,2024-04-18T20:20:22.60598432Z,2,2024-04-18T20:20:22.840293542Z,01HVSD1G7FR47EZYB36FVXPS0J,2024-04-18T20:20:22.60598432Z,01HVSD1G75Z7R1XV801N2EYCVF,2024-04-18T20:20:22.60598432Z,Round 5 / 12,2024-04-18T20:20:22.60598432Z,true,2024-04-18T20:24:23.923394932Z,true,2024-04-18T20:25:21.230245082Z
01HVSDW3EFB0CQAPR5QZ24RDA6,10,2024-04-18T20:20:22.607055319Z,Chat,2024-04-18T20:20:22.607055319Z,9,2024-04-18T20:20:22.607055319Z,2,2024-04-18T20:20:22.917403366Z,01HVSD1G7FR47EZYB36FVXPS0J,2024-04-18T20:20:22.607055319Z,01HVSD1G75Z7R1XV801N2EYCVF,2024-04-18T20:20:22.607055319Z,Round 10 / 12,2024-04-18T20:20:22.607055319Z,true,2024-04-18T20:29:15.388685486Z,true,2024-04-18T20:30:08.124345785Z
01HVSDW3EFB0CQAPR5RF9H1EKB,8,2024-04-18T20:20:22.60771674Z,Chat,2024-04-18T20:20:22.60771674Z,7,2024-04-18T20:20:22.60771674Z,2,2024-04-18T20:20:22.791556851Z,01HVSD1G7FR47EZYB36FVXPS0J,2024-04-18T20:20:22.60771674Z,01HVSD1G75Z7R1XV801N2EYCVF,2024-04-18T20:20:22.60771674Z,Round 8 / 12,2024-04-18T20:20:22.60771674Z,true,2024-04-18T20:27:14.868416512Z,true,2024-04-18T20:28:15.095659172Z
01HVSDW3EGV6QB6DM2XSETFDBH,9,2024-04-18T20:20:22.60876987Z,Chat,2024-04-18T20:20:22.60876987Z,8,2024-04-18T20:20:22.60876987Z,2,2024-04-18T20:20:22.799663732Z,01HVSD1G7FR47EZYB36FVXPS0J,2024-04-18T20:20:22.60876987Z,01HVSD1G75Z7R1XV801N2EYCVF,2024-04-18T20:20:22.60876987Z,Round 9 / 12,2024-04-18T20:20:22.60876987Z,true,2024-04-18T20:28:15.11248885Z,true,2024-04-18T20:29:15.37053187Z
01HVSDW3EH607P4P9N2XD3Q96Y,7,2024-04-18T20:20:22.609553099Z,Chat,2024-04-18T20:20:22.609553099Z,6,2024-04-18T20:20:22.609553099Z,2,2024-04-18T20:20:22.81971201Z,01HVSD1G7FR47EZYB36FVXPS0J,2024-04-18T20:20:22.609553099Z,01HVSD1G75Z7R1XV801N2EYCVF,2024-04-18T20:20:22.609553099Z,Round 7 / 12,2024-04-18T20:20:22.609553099Z,true,2024-04-18T20:26:19.312364109Z,true,2024-04-18T20:27:14.851153308Z
