id,name,nameLastChangedAt,task,taskLastChangedAt,gameID,gameIDLastChangedAt,start,startLastChangedAt,ended,endedLastChangedAt,stageIndex,stageIndexLastChangedAt,idx,idxLastChangedAt,index,indexLastChangedAt,batchID,batchIDLastChangedAt
01HNDC4E1G4RYCZ5F7XYSDSR4C,Round 3 / 9,2024-01-30T14:24:54.320672314Z,Chat,2024-01-30T14:24:54.320672314Z,01HNDC2A4W0MVF0WFWE3QRW4PK,2024-01-30T14:24:54.320672314Z,true,2024-01-30T14:25:51.469078883Z,true,2024-01-30T14:26:07.567288283Z,1,2024-01-30T14:24:54.435622842Z,3,2024-01-30T14:24:54.320672314Z,2,2024-01-30T14:24:54.320672314Z,01HNDC2A4FBQ000N9557VJ501H,2024-01-30T14:24:54.320672314Z
01HNDC4E1J63GAGKH76W5ZV3K5,Round 4 / 9,2024-01-30T14:24:54.322509085Z,Chat,2024-01-30T14:24:54.322509085Z,01HNDC2A4W0MVF0WFWE3QRW4PK,2024-01-30T14:24:54.322509085Z,true,2024-01-30T14:26:07.59509614Z,true,2024-01-30T14:26:21.803530228Z,1,2024-01-30T14:24:54.458610449Z,4,2024-01-30T14:24:54.322509085Z,3,2024-01-30T14:24:54.322509085Z,01HNDC2A4FBQ000N9557VJ501H,2024-01-30T14:24:54.322509085Z
01HNDC4E1NG11KJTP0NRKN0CRP,Round 5 / 9,2024-01-30T14:24:54.325142793Z,Chat,2024-01-30T14:24:54.325142793Z,01HNDC2A4W0MVF0WFWE3QRW4PK,2024-01-30T14:24:54.325142793Z,true,2024-01-30T14:26:21.824157693Z,true,2024-01-30T14:26:31.262726209Z,1,2024-01-30T14:24:54.444976946Z,5,2024-01-30T14:24:54.325142793Z,4,2024-01-30T14:24:54.325142793Z,01HNDC2A4FBQ000N9557VJ501H,2024-01-30T14:24:54.325142793Z
01HNDC4E1Q6J9G3D3NYYK1ZECW,Round 8 / 9,2024-01-30T14:24:54.327373057Z,Chat,2024-01-30T14:24:54.327373057Z,01HNDC2A4W0MVF0WFWE3QRW4PK,2024-01-30T14:24:54.327373057Z,true,2024-01-30T14:26:56.669368228Z,true,2024-01-30T14:27:17.782150693Z,1,2024-01-30T14:24:54.56285336Z,8,2024-01-30T14:24:54.327373057Z,7,2024-01-30T14:24:54.327373057Z,01HNDC2A4FBQ000N9557VJ501H,2024-01-30T14:24:54.327373057Z
01HNDC4E1SJ3DHXJ565CJ3J1D9,Round 6 / 9,2024-01-30T14:24:54.329448007Z,Chat,2024-01-30T14:24:54.329448007Z,01HNDC2A4W0MVF0WFWE3QRW4PK,2024-01-30T14:24:54.329448007Z,true,2024-01-30T14:26:31.293966972Z,true,2024-01-30T14:26:47.61016607Z,1,2024-01-30T14:24:54.458610449Z,6,2024-01-30T14:24:54.329448007Z,5,2024-01-30T14:24:54.329448007Z,01HNDC2A4FBQ000N9557VJ501H,2024-01-30T14:24:54.329448007Z
01HNDC4E20D5HDGJSB4SKVC3PJ,Round 7 / 9,2024-01-30T14:24:54.3363655Z,Chat,2024-01-30T14:24:54.3363655Z,01HNDC2A4W0MVF0WFWE3QRW4PK,2024-01-30T14:24:54.3363655Z,true,2024-01-30T14:26:47.631194505Z,true,2024-01-30T14:26:56.646616644Z,1,2024-01-30T14:24:54.560984887Z,7,2024-01-30T14:24:54.3363655Z,6,2024-01-30T14:24:54.3363655Z,01HNDC2A4FBQ000N9557VJ501H,2024-01-30T14:24:54.3363655Z
01HNDC4E23ZNQDPHACJFGY8YSS,Round 2 / 9,2024-01-30T14:24:54.339206432Z,Chat,2024-01-30T14:24:54.339206432Z,01HNDC2A4W0MVF0WFWE3QRW4PK,2024-01-30T14:24:54.339206432Z,true,2024-01-30T14:25:24.841195203Z,true,2024-01-30T14:25:51.454542814Z,1,2024-01-30T14:24:54.572263639Z,2,2024-01-30T14:24:54.339206432Z,1,2024-01-30T14:24:54.339206432Z,01HNDC2A4FBQ000N9557VJ501H,2024-01-30T14:24:54.339206432Z
01HNDC4E25KG57AT8WASN5R0BH,Round 9 / 9,2024-01-30T14:24:54.342037973Z,Chat,2024-01-30T14:24:54.342037973Z,01HNDC2A4W0MVF0WFWE3QRW4PK,2024-01-30T14:24:54.342037973Z,true,2024-01-30T14:27:17.822071782Z,true,2024-01-30T14:27:24.913011341Z,1,2024-01-30T14:24:54.409121184Z,9,2024-01-30T14:24:54.342037973Z,8,2024-01-30T14:24:54.342037973Z,01HNDC2A4FBQ000N9557VJ501H,2024-01-30T14:24:54.342037973Z
01HNDC5E49KDK97JH4DH8TTZXD,Round 2 / 9,2024-01-30T14:25:27.177445217Z,Chat,2024-01-30T14:25:27.177445217Z,01HNDC24YTK2BJ29Y3EBY2BC28,2024-01-30T14:25:27.177445217Z,true,2024-01-30T14:26:27.350800791Z,true,2024-01-30T14:27:17.344366516Z,2,2024-01-30T14:25:27.332564295Z,2,2024-01-30T14:25:27.177445217Z,1,2024-01-30T14:25:27.177445217Z,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:25:27.177445217Z
01HNDC5E4B4B703V96XBF245PM,Round 9 / 9,2024-01-30T14:25:27.179376039Z,Chat,2024-01-30T14:25:27.179376039Z,01HNDC24YTK2BJ29Y3EBY2BC28,2024-01-30T14:25:27.179376039Z,true,2024-01-30T14:31:57.994047375Z,true,2024-01-30T14:32:36.547608893Z,2,2024-01-30T14:25:27.28264673Z,9,2024-01-30T14:25:27.179376039Z,8,2024-01-30T14:25:27.179376039Z,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:25:27.179376039Z
