id,submit,submitLastChangedAt,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,playerID,playerIDLastChangedAt,guess,guessLastChangedAt
01HNDC4PSZESJQGQB86BTZ15GM,true,2024-01-30T14:25:29.63676309Z,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:25:03.295860243Z,01HNDC24YW8330C3H47G3JKDYP,2024-01-30T14:25:03.295860243Z,01HNDC3RVTJENSJAXM46EPJ78P,2024-01-30T14:25:03.295860243Z,01HNDC3RZKY0X2CE4H5QNEH932,2024-01-30T14:25:03.295860243Z,01HNDC2FA3VYEHGW3KZ6J12D0S,2024-01-30T14:25:03.295860243Z,25,2024-01-30T14:25:29.394086122Z
01HNDC4PT13KDRZNZS2GY6HP5X,true,2024-01-30T14:25:27.446519407Z,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:25:03.297366233Z,01HNDC24YW8330C3H47G3JKDYP,2024-01-30T14:25:03.297366233Z,01HNDC3RVTJENSJAXM46EPJ78P,2024-01-30T14:25:03.297366233Z,01HNDC3RZKY0X2CE4H5QNEH932,2024-01-30T14:25:03.297366233Z,01HNDC2H97MM64929JJZXZ4620,2024-01-30T14:25:03.297366233Z,0,2024-01-30T14:25:27.435698715Z
01HNDC5BWRSEM30BT4QG1BYKYK,true,2024-01-30T14:25:41.739203821Z,01HNDC2A4FBQ000N9557VJ501H,2024-01-30T14:25:24.888917687Z,01HNDC2A4W0MVF0WFWE3QRW4PK,2024-01-30T14:25:24.888917687Z,01HNDC4E23ZNQDPHACJFGY8YSS,2024-01-30T14:25:24.888917687Z,01HNDC4E9FDAS1BKEHF6WPS8P7,2024-01-30T14:25:24.888917687Z,01HNDC38V2G93RE564GF430461,2024-01-30T14:25:24.888917687Z,20,2024-01-30T14:25:41.736759912Z
01HNDC5BWTRPVMQTTCDVJ701P7,true,2024-01-30T14:25:46.182131935Z,01HNDC2A4FBQ000N9557VJ501H,2024-01-30T14:25:24.890661074Z,01HNDC2A4W0MVF0WFWE3QRW4PK,2024-01-30T14:25:24.890661074Z,01HNDC4E23ZNQDPHACJFGY8YSS,2024-01-30T14:25:24.890661074Z,01HNDC4E9FDAS1BKEHF6WPS8P7,2024-01-30T14:25:24.890661074Z,01HNDC2BWH5SYS98M56DZ07EEP,2024-01-30T14:25:24.890661074Z,25,2024-01-30T14:25:46.188831278Z
01HNDC5BWWREFM8XP8SCY1XQFG,true,2024-01-30T14:25:46.122848441Z,01HNDC2A4FBQ000N9557VJ501H,2024-01-30T14:25:24.892258702Z,01HNDC2A4W0MVF0WFWE3QRW4PK,2024-01-30T14:25:24.892258702Z,01HNDC4E23ZNQDPHACJFGY8YSS,2024-01-30T14:25:24.892258702Z,01HNDC4E9FDAS1BKEHF6WPS8P7,2024-01-30T14:25:24.892258702Z,01HNDC2ANR1XXE71NH09663030,2024-01-30T14:25:24.892258702Z,37,2024-01-30T14:25:46.102747371Z
01HNDC5BWYF93NMKGSZRY6T11T,true,2024-01-30T14:25:51.428830438Z,01HNDC2A4FBQ000N9557VJ501H,2024-01-30T14:25:24.894836878Z,01HNDC2A4W0MVF0WFWE3QRW4PK,2024-01-30T14:25:24.894836878Z,01HNDC4E23ZNQDPHACJFGY8YSS,2024-01-30T14:25:24.894836878Z,01HNDC4E9FDAS1BKEHF6WPS8P7,2024-01-30T14:25:24.894836878Z,01HNDC31WYP14N9WEZ0NCMDYTR,2024-01-30T14:25:24.894836878Z,14,2024-01-30T14:25:51.409628263Z
01HNDC5EP858MHKMQ664N9W5HH,,,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:25:27.7528917Z,01HNDC24YTK2BJ29Y3EBY2BC28,2024-01-30T14:25:27.7528917Z,01HNDC5E4CTJ11JRHV0Z9P75WG,2024-01-30T14:25:27.7528917Z,01HNDC5E8NMBNX3QKQQPNDVJCT,2024-01-30T14:25:27.7528917Z,01HNDC32M5XTBHKT64N7XPFFC8,2024-01-30T14:25:27.7528917Z,,
01HNDC5EPB8P7WY0NVC8RFC32H,,,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:25:27.755106521Z,01HNDC24YTK2BJ29Y3EBY2BC28,2024-01-30T14:25:27.755106521Z,01HNDC5E4CTJ11JRHV0Z9P75WG,2024-01-30T14:25:27.755106521Z,01HNDC5E8NMBNX3QKQQPNDVJCT,2024-01-30T14:25:27.755106521Z,01HNDC3GNAB9KAM86NV8D0A83V,2024-01-30T14:25:27.755106521Z,,
01HNDC5EPDZR6M5NNT2QF1JN4Y,,,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:25:27.757222851Z,01HNDC24YTK2BJ29Y3EBY2BC28,2024-01-30T14:25:27.757222851Z,01HNDC5E4CTJ11JRHV0Z9P75WG,2024-01-30T14:25:27.757222851Z,01HNDC5E8NMBNX3QKQQPNDVJCT,2024-01-30T14:25:27.757222851Z,01HNDC2JDVGZF9389F8CNRE8X3,2024-01-30T14:25:27.757222851Z,,
01HNDC5EPFPVS9W8JAJR8F6HF9,,,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:25:27.759333244Z,01HNDC24YTK2BJ29Y3EBY2BC28,2024-01-30T14:25:27.759333244Z,01HNDC5E4CTJ11JRHV0Z9P75WG,2024-01-30T14:25:27.759333244Z,01HNDC5E8NMBNX3QKQQPNDVJCT,2024-01-30T14:25:27.759333244Z,01HNDC2K7W5Z4ZZC8TF17EQJBD,2024-01-30T14:25:27.759333244Z,,
