id,lobbyConfig,lobbyConfigLastChangedAt,initialized,initializedLastChangedAt,config,configLastChangedAt,status,statusLastChangedAt
01HNDB5BTDJSGZRSXF0ZBW6605,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-30T14:07:56.237217932Z,true,2024-01-30T14:07:56.245871629Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment2-interactive-0.3"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1},{""treatment"":{""name"":""experiment2-slider-0.3"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-01-30T14:07:56.237217932Z,running,2024-01-30T14:08:09.269182652Z
01HNDB5C7AE94BDGGT9MTJ79XF,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-30T14:07:56.650928301Z,true,2024-01-30T14:07:56.662204132Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment2-interactive-0.3"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1},{""treatment"":{""name"":""experiment2-slider-0.3"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-01-30T14:07:56.650928301Z,running,2024-01-30T14:08:08.64303154Z
01HNDB5CKWJKY2SEXMBPH7K3BN,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-30T14:07:57.052802974Z,true,2024-01-30T14:07:57.061600749Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment2-interactive-0.3"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1},{""treatment"":{""name"":""experiment2-slider-0.3"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-01-30T14:07:57.052802974Z,running,2024-01-30T14:08:07.203864267Z
01HNDB5D1ZT5473A8F58EN9M12,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-30T14:07:57.503485196Z,true,2024-01-30T14:07:57.515653914Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment2-interactive-0.3"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1},{""treatment"":{""name"":""experiment2-slider-0.3"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-01-30T14:07:57.503485196Z,running,2024-01-30T14:08:06.633399858Z
01HNDB5DEFPA22NZGBKT5Y3S1P,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-30T14:07:57.903671044Z,true,2024-01-30T14:07:57.912456572Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment2-interactive-0.3"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1},{""treatment"":{""name"":""experiment2-slider-0.3"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-01-30T14:07:57.903671044Z,running,2024-01-30T14:08:05.76956041Z
01HNDB5DTDHJK365VNJM22GK6A,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-30T14:07:58.285293494Z,true,2024-01-30T14:07:58.294590321Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment2-interactive-0.3"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1},{""treatment"":{""name"":""experiment2-slider-0.3"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-01-30T14:07:58.285293494Z,running,2024-01-30T14:08:04.868673958Z
01HNDB5E6TKEYTV38YYY67DTEY,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-30T14:07:58.683031976Z,true,2024-01-30T14:07:58.693359798Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment2-interactive-0.3"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1},{""treatment"":{""name"":""experiment2-slider-0.3"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-01-30T14:07:58.683031976Z,running,2024-01-30T14:08:03.761868093Z
01HNDB5EKD7SCAKARYE683V2MR,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-30T14:07:59.085344495Z,true,2024-01-30T14:07:59.09577477Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment2-interactive-0.3"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1},{""treatment"":{""name"":""experiment2-slider-0.3"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-01-30T14:07:59.085344495Z,running,2024-01-30T14:08:03.250963517Z
01HNDB5EZ52MNAAVDE9K13R6H8,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-30T14:07:59.461410802Z,true,2024-01-30T14:07:59.470492799Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment2-interactive-0.3"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1},{""treatment"":{""name"":""experiment2-slider-0.3"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-01-30T14:07:59.461410802Z,running,2024-01-30T14:08:01.776442942Z
01HNDB5FBN3A58GAJYQ8T9R760,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-30T14:07:59.861705592Z,true,2024-01-30T14:07:59.872045087Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment2-interactive-0.3"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1},{""treatment"":{""name"":""experiment2-slider-0.3"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-01-30T14:07:59.861705592Z,running,2024-01-30T14:08:01.202857352Z
01HNDBTM6FKT59ARNP8YS8R2NY,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-30T14:19:32.943989231Z,true,2024-01-30T14:19:33.000274758Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment2-interactive-0.3"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1},{""treatment"":{""name"":""experiment2-slider-0.3"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-01-30T14:19:32.943989231Z,running,2024-01-30T14:19:40.561866935Z
01HNDBTMRTZXKS86QQRHRSSDET,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-30T14:19:33.530753797Z,true,2024-01-30T14:19:33.556349948Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment2-interactive-0.3"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1},{""treatment"":{""name"":""experiment2-slider-0.3"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-01-30T14:19:33.530753797Z,running,2024-01-30T14:19:39.847807493Z
01HNDBTN7XZCSWSX87SBE1SCA6,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-30T14:19:34.013722105Z,true,2024-01-30T14:19:34.043510167Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment2-interactive-0.3"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1},{""treatment"":{""name"":""experiment2-slider-0.3"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-01-30T14:19:34.013722105Z,running,2024-01-30T14:19:39.297408193Z
01HNDBTNNT9SCQKJKD20HXFXH3,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-30T14:19:34.458103068Z,true,2024-01-30T14:19:34.522540843Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment2-interactive-0.3"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1},{""treatment"":{""name"":""experiment2-slider-0.3"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-01-30T14:19:34.458103068Z,running,2024-01-30T14:19:37.31297859Z
01HNDBTP3T16ASA9TC5FCTX31F,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-30T14:19:34.906612611Z,true,2024-01-30T14:19:34.958677872Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment2-interactive-0.3"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1},{""treatment"":{""name"":""experiment2-slider-0.3"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-01-30T14:19:34.906612611Z,running,2024-01-30T14:19:36.337314647Z
