id,gameID,gameIDLastChangedAt,introDone,introDoneLastChangedAt,intro,introLastChangedAt,ended,endedLastChangedAt,participantIdentifier,participantIdentifierLastChangedAt,exitSurvey,exitSurveyLastChangedAt,treatment,treatmentLastChangedAt,urlParams,urlParamsLastChangedAt,emojiArray,emojiArrayLastChangedAt,participantID,participantIDLastChangedAt,name,nameLastChangedAt,recipient,recipientLastChangedAt,exitStep,exitStepLastChangedAt,treatmentName,treatmentNameLastChangedAt
01HNDB92QFC2MQXDVH505RNN81,01HNDB3XTQF66NKEQ7HBCBY9BJ,2024-01-30T14:11:06.668488776Z,true,2024-01-30T14:12:20.943140765Z,3,2024-01-30T14:12:15.010919727Z,game ended,2024-01-30T14:15:39.971239026Z,659c00d049ea2002d6d6d717,2024-01-30T14:09:57.999280397Z,"{""age"":""32"",""gender"":""female"",""strength"":"""",""fair"":"""",""feedback"":"""",""education"":"""",""teammates"":"""",""notes"":"""",""politics"":"""",""geo"":"""",""ethnicity"":""""}",2024-01-30T14:15:58.006492866Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-01-30T14:09:58.005816388Z,{},2024-01-30T14:09:58.304856373Z,"[""              "",""🐿️"","""",""🐿️"",""🐇"",""🐇"",""🐿️"",""""]",2024-01-30T14:13:11.981804067Z,01HNDB924AMQ496YYV0QRFK5JP,2024-01-30T14:09:57.999280397Z,player 3,2024-01-30T14:13:11.981804067Z,01HNDBA9G4GH1RKT6Z9GDAG8W8,2024-01-30T14:15:28.779264881Z,1,2024-01-30T14:15:58.009994765Z,experiment2-slider-0.3,2024-01-30T14:09:58.005816388Z
01HNDB93RA7FN1VF2492GN6BBW,01HNDB3XTRMS2GR15H7G3EFQWY,2024-01-30T14:13:43.894040608Z,true,2024-01-30T14:13:59.842786918Z,4,2024-01-30T14:13:25.180578669Z,,,65464deb06498778a263642d,2024-01-30T14:09:59.050190905Z,,,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-01-30T14:09:59.060417948Z,{},2024-01-30T14:09:59.382079884Z,"[""🐿️"",""🐿️"",""🐿️"",""🐿️"","""",""                     "",""🐿️"","""",""🐇""]",2024-01-30T14:14:17.085281792Z,01HNDB92VMM9GZTWH9RJV9H5FQ,2024-01-30T14:09:59.050190905Z,player 2,2024-01-30T14:14:17.085281792Z,01HNDBBME8F3NXXY2M7B4SV0DT,2024-01-30T14:20:14.152601918Z,,,experiment2-interactive-0.3,2024-01-30T14:09:59.060417948Z
01HNDB95MW9DEJB0M9CG208G2K,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:10:00.995127547Z,true,2024-01-30T14:10:52.615858724Z,3,2024-01-30T14:10:49.78465137Z,game ended,2024-01-30T14:13:29.614168677Z,5f88dbd56a6aff03a935b5f8,2024-01-30T14:10:00.988835024Z,"{""age"":""22"",""gender"":""Male"",""strength"":""Pretty solid"",""fair"":""Yes"",""feedback"":"""",""education"":""high-school"",""teammates"":""Not really"",""notes"":""Nope"",""politics"":""Republican"",""geo"":""United States"",""ethnicity"":""Hispanic""}",2024-01-30T14:14:11.275911977Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-01-30T14:10:00.995127547Z,{},2024-01-30T14:10:01.108469783Z,"[""🐿️"","""",""🐿️"",""🐿️"",""              "",""🐿️"",""🐿️"",""""]",2024-01-30T14:11:06.748130824Z,01HNDB95E1BHWRYDB5QMJZR5PM,2024-01-30T14:10:00.988835024Z,player 4,2024-01-30T14:11:06.748130824Z,01HNDB70WRRWZRX93F98SA6HXG,2024-01-30T14:13:10.118066848Z,1,2024-01-30T14:14:11.277599599Z,experiment2-slider-0.3,2024-01-30T14:10:00.995127547Z
01HNDB95ZKSSXABFQP5ZWQ5KSY,01HNDB5B87GKY6TZ6FVP830MD8,2024-01-30T14:18:14.428165735Z,true,2024-01-30T14:18:49.691648031Z,4,2024-01-30T14:18:43.416262676Z,,,5d4f33e8e399cd0019c8750b,2024-01-30T14:10:01.331945396Z,,,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-01-30T14:10:01.339212662Z,{},2024-01-30T14:10:01.506414821Z,"["""","""","""",""🐿️""]",2024-01-30T14:20:10.358349699Z,01HNDB95N8NQP68ZCPRSA6WSJ1,2024-01-30T14:10:01.331945396Z,player 1,2024-01-30T14:20:10.358349699Z,01HNDBFH5V9K8HAZ7ABNR3DH5R,2024-01-30T14:20:13.373054522Z,,,experiment2-interactive-0.3,2024-01-30T14:10:01.339212662Z
01HNDB97QN9RVMBTZQ75DZ3S4T,01HNDB3Y5G1M5Z6YSEG0D9343K,2024-01-30T14:13:11.931561834Z,true,2024-01-30T14:13:33.026367398Z,3,2024-01-30T14:13:25.13902869Z,game ended,2024-01-30T14:17:01.520348545Z,63ed48a1ef69ae35fd870d8b,2024-01-30T14:10:03.12594042Z,"{""age"":""37"",""gender"":""female"",""strength"":""listening "",""fair"":""yes"",""feedback"":""None "",""education"":""bachelor"",""teammates"":""mostly"",""notes"":""yes"",""politics"":""left"",""geo"":""United Kingdom"",""ethnicity"":""British""}",2024-01-30T14:18:13.034923161Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-01-30T14:10:03.134707153Z,{},2024-01-30T14:10:03.447658649Z,"["""","""","""",""🐿️""]",2024-01-30T14:13:55.016494043Z,01HNDB973J0D404CD39A9V4V3D,2024-01-30T14:10:03.12594042Z,player 2,2024-01-30T14:13:55.016494043Z,01HNDBANEV9AQYQ1J0QQ3ZFXPK,2024-01-30T14:16:33.117601625Z,1,2024-01-30T14:18:13.04077935Z,experiment2-slider-0.3,2024-01-30T14:10:03.134707153Z
01HNDBA9G4GH1RKT6Z9GDAG8W8,01HNDB3XTQF66NKEQ7HBCBY9BJ,2024-01-30T14:11:06.668488776Z,true,2024-01-30T14:13:11.910968874Z,3,2024-01-30T14:12:58.638996729Z,game ended,2024-01-30T14:15:39.971239026Z,5f1ad7e4a2267b07b14a0611,2024-01-30T14:10:37.700408609Z,"{""age"":""48"",""gender"":""F"",""strength"":""Fair"",""fair"":""Yes"",""feedback"":""None"",""education"":""bachelor"",""teammates"":""Yes"",""notes"":""Yes"",""politics"":""L"",""geo"":""UK"",""ethnicity"":""White""}",2024-01-30T14:16:30.198062609Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-01-30T14:10:37.707427647Z,{},2024-01-30T14:10:38.005498688Z,"["""",""🐿️"","""",""🐿️"",""🐿️"",""       ""]",2024-01-30T14:13:11.981804067Z,01HNDBA8T1WZHAW068C3829QR5,2024-01-30T14:10:37.700408609Z,player 4,2024-01-30T14:13:11.981804067Z,01HNDB7M8Y6J4MSBAEXKPBE52C,2024-01-30T14:15:28.779264881Z,1,2024-01-30T14:16:30.201193439Z,experiment2-slider-0.3,2024-01-30T14:10:37.707427647Z
01HNDBAA9A33Z4MQE366XCTHJS,01HNDB5BTNJPD0XZCF6HJGV8CT,2024-01-30T14:20:10.061057942Z,,,1,2024-01-30T14:10:53.366871729Z,,,5f7d915455d86b279239d7ad,2024-01-30T14:10:38.506398806Z,,,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-01-30T14:10:38.512127659Z,{},2024-01-30T14:10:38.811599388Z,,,01HNDBA9PH6Q3FJAQC7Z4NZ66K,2024-01-30T14:10:38.506398806Z,,,,,,,experiment2-interactive-0.3,2024-01-30T14:10:38.512127659Z
01HNDBAGPXVHDD8Q8DD9QWREKX,01HNDB3YANKKRNDPCBT2V4525A,2024-01-30T14:14:59.711241573Z,true,2024-01-30T14:15:24.550978112Z,4,2024-01-30T14:15:15.411587783Z,,,5fd7db7b967db90c3cb865af,2024-01-30T14:10:45.085149108Z,,,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-01-30T14:10:45.093520147Z,{},2024-01-30T14:10:45.420857597Z,"["""","""","""",""🐇""]",2024-01-30T14:15:32.90128797Z,01HNDBAG19MQSN14RNNK6F48SR,2024-01-30T14:10:45.085149108Z,player 1,2024-01-30T14:15:32.90128797Z,01HNDBH1M5RF2PHCF6A4NC45AY,2024-01-30T14:20:31.782553981Z,,,experiment2-interactive-0.3,2024-01-30T14:10:45.093520147Z
01HNDBANEV9AQYQ1J0QQ3ZFXPK,01HNDB3Y5G1M5Z6YSEG0D9343K,2024-01-30T14:13:11.931561834Z,true,2024-01-30T14:13:54.959254488Z,3,2024-01-30T14:13:36.649381105Z,game ended,2024-01-30T14:17:01.520348545Z,57406328d700ea000ef44aae,2024-01-30T14:10:49.94750295Z,"{""age"":""63"",""gender"":""female"",""strength"":""fair"",""fair"":""yes"",""feedback"":""none"",""education"":""high-school"",""teammates"":""probably"",""notes"":""yes"",""politics"":""slightly left"",""geo"":""United Kingdom"",""ethnicity"":""white""}",2024-01-30T14:18:25.623812652Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-01-30T14:10:49.955199475Z,{},2024-01-30T14:10:50.303203876Z,"["""","""","""",""🐿️""]",2024-01-30T14:13:55.016494043Z,01HNDBAMT10GGKGSA30D309K5E,2024-01-30T14:10:49.94750295Z,player 3,2024-01-30T14:13:55.016494043Z,01HNDBAVAV3A0J2S164RB382YB,2024-01-30T14:16:33.117601625Z,1,2024-01-30T14:18:25.629756247Z,experiment2-slider-0.3,2024-01-30T14:10:49.955199475Z
01HNDBAQPHNEHQ3R6YPFPTC7FF,01HNDB3XTRMS2GR15H7G3EFQWY,2024-01-30T14:13:43.894040608Z,true,2024-01-30T14:14:16.952133886Z,4,2024-01-30T14:14:10.860216006Z,,,60fd30932e74f14c65600b1b,2024-01-30T14:10:52.241923584Z,,,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-01-30T14:10:52.249749418Z,{},2024-01-30T14:10:52.558326919Z,"[""🐇"","""","""",""""]",2024-01-30T14:14:17.085281792Z,01HNDBAQ3B6MVQX0A6Y64RDZRP,2024-01-30T14:10:52.241923584Z,player 3,2024-01-30T14:14:17.085281792Z,01HNDB7T8BVMRZQEF8W46KTDBC,2024-01-30T14:20:14.152601918Z,,,experiment2-interactive-0.3,2024-01-30T14:10:52.249749418Z
