id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,playerID,playerIDLastChangedAt,confidence,confidenceLastChangedAt,submit,submitLastChangedAt,guess,guessLastChangedAt
01HWBAHHBJQHXB0ABQEMMTNJA3,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:08:30.45061943Z,01HWB9SVS4SMWJV23JC4ZSHMT9,2024-04-25T19:08:30.45061943Z,01HWBAF6N8MVYAQ1298112DKNA,2024-04-25T19:08:30.45061943Z,01HWBAF6V98T45FWEE67ZHFFVT,2024-04-25T19:08:30.45061943Z,01HWBACYHBBN6M2RNFT6RVDYME,2024-04-25T19:08:30.45061943Z,,,,,,
01HWBAHP4DFB9EK60WR4A62T0P,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:08:35.341195055Z,01HWB9SVS34WVVX651QBHPKKY0,2024-04-25T19:08:35.341195055Z,01HWBAHNC7JK7N6CVQT5ND51Z8,2024-04-25T19:08:35.341195055Z,01HWBAHNPETE4TCZE8123MEFKH,2024-04-25T19:08:35.341195055Z,01HWBA5MRGQX7FHN61Y2K8FH83,2024-04-25T19:08:35.341195055Z,,,,,,
01HWBAHP4J8VQJWK76AYY7BVR3,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:08:35.346625436Z,01HWB9SVS34WVVX651QBHPKKY0,2024-04-25T19:08:35.346625436Z,01HWBAHNC7JK7N6CVQT5ND51Z8,2024-04-25T19:08:35.346625436Z,01HWBAHNPETE4TCZE8123MEFKH,2024-04-25T19:08:35.346625436Z,01HWBA7WEFDBN020M266RQ5D9B,2024-04-25T19:08:35.346625436Z,,,,,,
01HWBAHP4TX0CJSWNW2DJB1SWE,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:08:35.354961433Z,01HWB9SVS34WVVX651QBHPKKY0,2024-04-25T19:08:35.354961433Z,01HWBAHNC7JK7N6CVQT5ND51Z8,2024-04-25T19:08:35.354961433Z,01HWBAHNPETE4TCZE8123MEFKH,2024-04-25T19:08:35.354961433Z,01HWBA972AJ49NS7ZD8BF4DTCH,2024-04-25T19:08:35.354961433Z,,,,,,
01HWBAHP5046ZFJ0FVY278SBMF,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:08:35.360916582Z,01HWB9SVS34WVVX651QBHPKKY0,2024-04-25T19:08:35.360916582Z,01HWBAHNC7JK7N6CVQT5ND51Z8,2024-04-25T19:08:35.360916582Z,01HWBAHNPETE4TCZE8123MEFKH,2024-04-25T19:08:35.360916582Z,01HWBABKET37DZYJ7E3NHVVX2G,2024-04-25T19:08:35.360916582Z,,,,,,
01HWBAHP560EBR1RKSW0F8WA5Q,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:08:35.36692641Z,01HWB9SVS34WVVX651QBHPKKY0,2024-04-25T19:08:35.36692641Z,01HWBAHNC7JK7N6CVQT5ND51Z8,2024-04-25T19:08:35.36692641Z,01HWBAHNPETE4TCZE8123MEFKH,2024-04-25T19:08:35.36692641Z,01HWBABXZMSNR5EBTHEF3JBER9,2024-04-25T19:08:35.36692641Z,,,,,,
01HWBAHP5B684Y76TFP0ERWTYF,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:08:35.371916321Z,01HWB9SVS34WVVX651QBHPKKY0,2024-04-25T19:08:35.371916321Z,01HWBAHNC7JK7N6CVQT5ND51Z8,2024-04-25T19:08:35.371916321Z,01HWBAHNPETE4TCZE8123MEFKH,2024-04-25T19:08:35.371916321Z,01HWBAEJ2C51JGVCYQRZHD39Q6,2024-04-25T19:08:35.371916321Z,,,,,,
01HWBAHP5G84XJMGYE3394T0JR,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:08:35.376901067Z,01HWB9SVS34WVVX651QBHPKKY0,2024-04-25T19:08:35.376901067Z,01HWBAHNC7JK7N6CVQT5ND51Z8,2024-04-25T19:08:35.376901067Z,01HWBAHNPETE4TCZE8123MEFKH,2024-04-25T19:08:35.376901067Z,01HWBAEKTGGHNTQXVW4V9SYC2R,2024-04-25T19:08:35.376901067Z,,,,,,
01HWBAHP5N55P1JFEGVZF429TJ,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:08:35.381919446Z,01HWB9SVS34WVVX651QBHPKKY0,2024-04-25T19:08:35.381919446Z,01HWBAHNC7JK7N6CVQT5ND51Z8,2024-04-25T19:08:35.381919446Z,01HWBAHNPETE4TCZE8123MEFKH,2024-04-25T19:08:35.381919446Z,01HWBAH475G2EGG93V3TXRDPKA,2024-04-25T19:08:35.381919446Z,,,,,,
01HWBAHP5TE2BPC2GAAZW9VWXG,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:08:35.386437755Z,01HWB9SVS34WVVX651QBHPKKY0,2024-04-25T19:08:35.386437755Z,01HWBAHNC7JK7N6CVQT5ND51Z8,2024-04-25T19:08:35.386437755Z,01HWBAHNPETE4TCZE8123MEFKH,2024-04-25T19:08:35.386437755Z,01HWBAHG5S80H9CCFQ14YMWGPJ,2024-04-25T19:08:35.386437755Z,,,,,,
