id,batchID,batchIDLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,idx,idxLastChangedAt,index,indexLastChangedAt,name,nameLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt,task,taskLastChangedAt
01JHY6P1GQCSK9ARFBNC32PACF,01JHY66NKY3GPTRBBX24W67B20,2025-01-19T02:36:16.279493875Z,true,2025-01-19T02:37:16.607282452Z,01JHY66NMCS01TSJZED3JQA9TH,2025-01-19T02:36:16.279493875Z,1,2025-01-19T02:36:16.279493875Z,0,2025-01-19T02:36:16.279493875Z,Round 1 / 8,2025-01-19T02:36:16.279493875Z,2,2025-01-19T02:36:16.304306071Z,true,2025-01-19T02:36:16.411003752Z,Chat,2025-01-19T02:36:16.279493875Z
01JHY6P1GQCSK9ARFBP0TMVQ49,01JHY66NKY3GPTRBBX24W67B20,2025-01-19T02:36:16.279750015Z,true,2025-01-19T02:37:46.662340389Z,01JHY66NMCS01TSJZED3JQA9TH,2025-01-19T02:36:16.279750015Z,2,2025-01-19T02:36:16.279750015Z,1,2025-01-19T02:36:16.279750015Z,Round 2 / 8,2025-01-19T02:36:16.279750015Z,1,2025-01-19T02:36:16.310439016Z,true,2025-01-19T02:37:16.613273072Z,Chat,2025-01-19T02:36:16.279750015Z
01JHY6P1GRZHDSWHJA93D11DQT,01JHY66NKY3GPTRBBX24W67B20,2025-01-19T02:36:16.280518254Z,true,2025-01-19T02:38:13.833010257Z,01JHY66NMCS01TSJZED3JQA9TH,2025-01-19T02:36:16.280518254Z,3,2025-01-19T02:36:16.280518254Z,2,2025-01-19T02:36:16.280518254Z,Round 3 / 8,2025-01-19T02:36:16.280518254Z,1,2025-01-19T02:36:16.316250632Z,true,2025-01-19T02:37:46.669126404Z,Chat,2025-01-19T02:36:16.280518254Z
01JHY6P1GRZHDSWHJA9JZT3KV0,01JHY66NKY3GPTRBBX24W67B20,2025-01-19T02:36:16.280926944Z,true,2025-01-19T02:38:43.886973682Z,01JHY66NMCS01TSJZED3JQA9TH,2025-01-19T02:36:16.280926944Z,4,2025-01-19T02:36:16.280926944Z,3,2025-01-19T02:36:16.280926944Z,Round 4 / 8,2025-01-19T02:36:16.280926944Z,1,2025-01-19T02:36:16.322635152Z,true,2025-01-19T02:38:13.839219137Z,Chat,2025-01-19T02:36:16.280926944Z
01JHY6P1GSAQMTFCDZHD84AS3Q,01JHY66NKY3GPTRBBX24W67B20,2025-01-19T02:36:16.281529259Z,true,2025-01-19T02:40:01.917409182Z,01JHY66NMCS01TSJZED3JQA9TH,2025-01-19T02:36:16.281529259Z,7,2025-01-19T02:36:16.281529259Z,6,2025-01-19T02:36:16.281529259Z,Round 7 / 8,2025-01-19T02:36:16.281529259Z,1,2025-01-19T02:36:16.340291323Z,true,2025-01-19T02:39:36.785197119Z,Chat,2025-01-19T02:36:16.281529259Z
01JHY6P1GSAQMTFCDZJ19S6GJB,01JHY66NKY3GPTRBBX24W67B20,2025-01-19T02:36:16.281714491Z,true,2025-01-19T02:40:23.374890566Z,01JHY66NMCS01TSJZED3JQA9TH,2025-01-19T02:36:16.281714491Z,8,2025-01-19T02:36:16.281714491Z,7,2025-01-19T02:36:16.281714491Z,Round 8 / 8,2025-01-19T02:36:16.281714491Z,1,2025-01-19T02:36:16.346267807Z,true,2025-01-19T02:40:01.923468711Z,Chat,2025-01-19T02:36:16.281714491Z
01JHY6P1GSAQMTFCDZJJEMS2ZQ,01JHY66NKY3GPTRBBX24W67B20,2025-01-19T02:36:16.281904913Z,true,2025-01-19T02:39:36.777621471Z,01JHY66NMCS01TSJZED3JQA9TH,2025-01-19T02:36:16.281904913Z,6,2025-01-19T02:36:16.281904913Z,5,2025-01-19T02:36:16.281904913Z,Round 6 / 8,2025-01-19T02:36:16.281904913Z,1,2025-01-19T02:36:16.33424683Z,true,2025-01-19T02:39:11.200735461Z,Chat,2025-01-19T02:36:16.281904913Z
01JHY6P1GTGE8ZPHVJV789H2SE,01JHY66NKY3GPTRBBX24W67B20,2025-01-19T02:36:16.282081729Z,true,2025-01-19T02:39:11.194215932Z,01JHY66NMCS01TSJZED3JQA9TH,2025-01-19T02:36:16.282081729Z,5,2025-01-19T02:36:16.282081729Z,4,2025-01-19T02:36:16.282081729Z,Round 5 / 8,2025-01-19T02:36:16.282081729Z,1,2025-01-19T02:36:16.328734181Z,true,2025-01-19T02:38:43.893260419Z,Chat,2025-01-19T02:36:16.282081729Z
