id,config,configLastChangedAt,status,statusLastChangedAt,lobbyConfig,lobbyConfigLastChangedAt,initialized,initializedLastChangedAt,endedReason,endedReasonLastChangedAt
01HW6F4STBT3DTMXVQT70G0M5T,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-unidirectional- 0.3"",""factors"":{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-23T21:52:43.851674867Z,ended,2024-04-23T23:06:01.72737578Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-23T21:52:43.851674867Z,true,2024-04-23T21:52:43.877099505Z,all games finished,2024-04-23T23:06:01.72737578Z
01HW6F4X5GCQE97J0Y0JRET2S5,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-unidirectional- 0.3"",""factors"":{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-23T21:52:47.280723246Z,ended,2024-04-23T23:05:14.788029183Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-23T21:52:47.280723246Z,true,2024-04-23T21:52:47.290971724Z,all games finished,2024-04-23T23:05:14.788029183Z
01HW6F4XSTRTM739VYF2CS10CG,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-unidirectional- 0.3"",""factors"":{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-23T21:52:47.930912288Z,ended,2024-04-23T23:00:35.162787746Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-23T21:52:47.930912288Z,true,2024-04-23T21:52:47.93948365Z,all games finished,2024-04-23T23:00:35.162787746Z
01HW6F4YEE2DKHWTJ4T4PA6WP0,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-unidirectional- 0.3"",""factors"":{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-23T21:52:48.590232849Z,ended,2024-04-23T22:58:41.844374381Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-23T21:52:48.590232849Z,true,2024-04-23T21:52:48.598558739Z,all games finished,2024-04-23T22:58:41.844374381Z
01HW6F4Z30CDH2BWNDBWTG2QW2,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-unidirectional- 0.3"",""factors"":{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-23T21:52:49.2482843Z,ended,2024-04-23T22:58:51.631255077Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-23T21:52:49.2482843Z,true,2024-04-23T21:52:49.259034324Z,all games finished,2024-04-23T22:58:51.631255077Z
01HW6F4ZPKH4RC9BZVA5AYAA5P,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-unidirectional- 0.3"",""factors"":{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-23T21:52:49.87593666Z,ended,2024-04-23T22:56:33.363751452Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-23T21:52:49.87593666Z,true,2024-04-23T21:52:49.882949043Z,all games finished,2024-04-23T22:56:33.363751452Z
01HW6F50CMBM3JDT02CG8RFVR4,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-unidirectional- 0.3"",""factors"":{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-23T21:52:50.580520072Z,ended,2024-04-23T22:53:22.843038502Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-23T21:52:50.580520072Z,true,2024-04-23T21:52:50.589058396Z,all games finished,2024-04-23T22:53:22.843038502Z
01HW6F510ZP6N6TJC0FSXPT74W,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-unidirectional- 0.3"",""factors"":{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-23T21:52:51.231437109Z,ended,2024-04-23T22:55:24.982541299Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-23T21:52:51.231437109Z,true,2024-04-23T21:52:51.239589213Z,all games finished,2024-04-23T22:55:24.982541299Z
01HW6F51P4JYQR6N4R4Z44WMBR,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-unidirectional- 0.3"",""factors"":{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-23T21:52:51.908736521Z,ended,2024-04-23T22:53:51.375097153Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-23T21:52:51.908736521Z,true,2024-04-23T21:52:51.915526132Z,all games finished,2024-04-23T22:53:51.375097153Z
01HW6F52D67HBD6SFWZZD9KD2K,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-unidirectional- 0.3"",""factors"":{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-23T21:52:52.646661679Z,ended,2024-04-23T22:51:33.345327098Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-23T21:52:52.646661679Z,true,2024-04-23T21:52:52.655197939Z,all games finished,2024-04-23T22:51:33.345327098Z
