id,batchID,batchIDLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,idx,idxLastChangedAt,index,indexLastChangedAt,name,nameLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt,task,taskLastChangedAt
01JGMC3ZTRKJ5CDJTG4E4Q9GWS,01JGMBV1H8WGEK8ZFZBR4TTD32,2025-01-02T20:43:10.040857288Z,true,2025-01-02T20:44:38.908840474Z,01JGMBV1HSPSZHX1PP72VFF7QF,2025-01-02T20:43:10.040857288Z,1,2025-01-02T20:43:10.040857288Z,0,2025-01-02T20:43:10.040857288Z,Round 1 / 8,2025-01-02T20:43:10.040857288Z,3,2025-01-02T20:43:10.159920063Z,true,2025-01-02T20:43:10.299447896Z,Chat,2025-01-02T20:43:10.040857288Z
01JGMC3ZV6G411WH8V4XY1GA9S,01JGMBV1H8WGEK8ZFZBR4TTD32,2025-01-02T20:43:10.055021752Z,true,2025-01-02T20:46:14.741536839Z,01JGMBV1HSPSZHX1PP72VFF7QF,2025-01-02T20:43:10.055021752Z,3,2025-01-02T20:43:10.055021752Z,2,2025-01-02T20:43:10.055021752Z,Round 3 / 8,2025-01-02T20:43:10.055021752Z,2,2025-01-02T20:43:10.108721105Z,true,2025-01-02T20:45:24.492809215Z,Chat,2025-01-02T20:43:10.055021752Z
01JGMC9721GC8YBQEW4Z9TBQ64,01JGMBW3D57CW0ZG3W97KS0GN8,2025-01-02T20:46:01.281096296Z,true,2025-01-02T20:47:31.796645794Z,01JGMBW3DGZEM7A3Q9SHXB07W1,2025-01-02T20:46:01.281096296Z,1,2025-01-02T20:46:01.281096296Z,0,2025-01-02T20:46:01.281096296Z,Round 1 / 8,2025-01-02T20:46:01.281096296Z,3,2025-01-02T20:46:01.452374955Z,true,2025-01-02T20:46:01.516159411Z,Chat,2025-01-02T20:46:01.281096296Z
01JGME1QZV3WH8CRVR7Y3H10ZM,01JGMBWXJBV4AB1GR665465SJY,2025-01-02T21:16:53.627115877Z,true,2025-01-02T21:20:20.3888177Z,01JGMBWXJMQNM2M8C9RBH28778,2025-01-02T21:16:53.627115877Z,3,2025-01-02T21:16:53.627115877Z,2,2025-01-02T21:16:53.627115877Z,Round 3 / 8,2025-01-02T21:16:53.627115877Z,2,2025-01-02T21:16:53.793073108Z,true,2025-01-02T21:19:24.349435959Z,Chat,2025-01-02T21:16:53.627115877Z
01JGME1R00Z1VE0JYS0MV1V89P,01JGMBWXJBV4AB1GR665465SJY,2025-01-02T21:16:53.632147423Z,true,2025-01-02T21:23:01.068861051Z,01JGMBWXJMQNM2M8C9RBH28778,2025-01-02T21:16:53.632147423Z,6,2025-01-02T21:16:53.632147423Z,5,2025-01-02T21:16:53.632147423Z,Round 6 / 8,2025-01-02T21:16:53.632147423Z,2,2025-01-02T21:16:53.698972967Z,true,2025-01-02T21:22:16.880132766Z,Chat,2025-01-02T21:16:53.632147423Z
01JGME36H2XAWQXF1J0VS3VR90,01JGMDQWXSA37WHZTVSQPS8B7Y,2025-01-02T21:17:41.282420859Z,true,2025-01-02T21:23:26.125078235Z,01JGMDQWY2SH520CCHK81GF3D2,2025-01-02T21:17:41.282420859Z,6,2025-01-02T21:17:41.282420859Z,5,2025-01-02T21:17:41.282420859Z,Round 6 / 8,2025-01-02T21:17:41.282420859Z,2,2025-01-02T21:17:41.465163282Z,true,2025-01-02T21:22:41.78608372Z,Chat,2025-01-02T21:17:41.282420859Z
01JGMC9724T7EQPG99W962E7QV,01JGMBW3D57CW0ZG3W97KS0GN8,2025-01-02T20:46:01.284912026Z,true,2025-01-02T20:54:17.557480604Z,01JGMBW3DGZEM7A3Q9SHXB07W1,2025-01-02T20:46:01.284912026Z,8,2025-01-02T20:46:01.284912026Z,7,2025-01-02T20:46:01.284912026Z,Round 8 / 8,2025-01-02T20:46:01.284912026Z,2,2025-01-02T20:46:01.502274176Z,true,2025-01-02T20:53:23.821500054Z,Chat,2025-01-02T20:46:01.284912026Z
01JGMDHYYMD14ADKGGS9D671T8,01JGMCP251R2NK4FGNNA7NV30P,2025-01-02T21:08:16.468869392Z,true,2025-01-02T21:11:45.60796271Z,01JGMCP25FABHH268K1G7VY6RK,2025-01-02T21:08:16.468869392Z,3,2025-01-02T21:08:16.468869392Z,2,2025-01-02T21:08:16.468869392Z,Round 3 / 8,2025-01-02T21:08:16.468869392Z,2,2025-01-02T21:08:16.575385591Z,true,2025-01-02T21:10:45.465375964Z,Chat,2025-01-02T21:08:16.468869392Z
01JGMED24P4Y2BSJKQ78EZQCZD,01JGMDQW4VHCWX5E11777PR25F,2025-01-02T21:23:04.47080005Z,false,2025-01-02T21:23:04.47080005Z,01JGMDQW55GG012MEX5FET07WQ,2025-01-02T21:23:04.47080005Z,4,2025-01-02T21:23:04.47080005Z,3,2025-01-02T21:23:04.47080005Z,Round 4 / 8,2025-01-02T21:23:04.47080005Z,2,2025-01-02T21:23:04.549129634Z,false,2025-01-02T21:23:04.47080005Z,Chat,2025-01-02T21:23:04.47080005Z
01JGMC9722TNCETC50VJWSWE8C,01JGMBW3D57CW0ZG3W97KS0GN8,2025-01-02T20:46:01.282319342Z,true,2025-01-02T20:48:24.652456635Z,01JGMBW3DGZEM7A3Q9SHXB07W1,2025-01-02T20:46:01.282319342Z,2,2025-01-02T20:46:01.282319342Z,1,2025-01-02T20:46:01.282319342Z,Round 2 / 8,2025-01-02T20:46:01.282319342Z,2,2025-01-02T20:46:01.457976381Z,true,2025-01-02T20:47:31.805410647Z,Chat,2025-01-02T20:46:01.282319342Z
