id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt
01HWDZKY76XEG0SFQ30AAHDM4S,01HWDZ9H7KE19NGFVX9P5YHM2B,2024-04-26T19:55:18.118497617Z,01HWDZ9H89PXSVDZ2Z0E7MX51J,2024-04-26T19:55:18.118497617Z,01HWDZBW01J75DGAGYH6GJ4CPF,2024-04-26T19:55:18.118497617Z
01HWDZKY7HB3FX2JMSDZ28NGXM,01HWDZ9H7KE19NGFVX9P5YHM2B,2024-04-26T19:55:18.129539223Z,01HWDZ9H89PXSVDZ2Z0E7MX51J,2024-04-26T19:55:18.129539223Z,01HWDZC5946R9JV817EMBY35NT,2024-04-26T19:55:18.129539223Z
01HWDZKY7QGPGM21MCXRGDERYN,01HWDZ9H7KE19NGFVX9P5YHM2B,2024-04-26T19:55:18.135387731Z,01HWDZ9H89PXSVDZ2Z0E7MX51J,2024-04-26T19:55:18.135387731Z,01HWDZD5717ANBQ8GTPF071NQ4,2024-04-26T19:55:18.135387731Z
01HWDZKY7X8JZPRF0XM5QN9ZMM,01HWDZ9H7KE19NGFVX9P5YHM2B,2024-04-26T19:55:18.141412856Z,01HWDZ9H89PXSVDZ2Z0E7MX51J,2024-04-26T19:55:18.141412856Z,01HWDZGWJ75208CDQJF4S4MG63,2024-04-26T19:55:18.141412856Z
01HWDZPC1B4ZBSEYHZWN8RA8ZT,01HWDZBVZ099EF56E7PA1463T5,2024-04-26T19:56:37.803893026Z,01HWDZBVZCFRSJZ6GN21W52JD7,2024-04-26T19:56:37.803893026Z,01HWDZFE63S2B40MQFVM96F61W,2024-04-26T19:56:37.803893026Z
01HWDZPC1KKJVHACVHC4FSWXWT,01HWDZBVZ099EF56E7PA1463T5,2024-04-26T19:56:37.811119326Z,01HWDZBVZCFRSJZ6GN21W52JD7,2024-04-26T19:56:37.811119326Z,01HWDZG8MA8Z3VJRX0Q4B2RED9,2024-04-26T19:56:37.811119326Z
01HWDZPC1SD881JSV2JFKQPYNR,01HWDZBVZ099EF56E7PA1463T5,2024-04-26T19:56:37.81792873Z,01HWDZBVZCFRSJZ6GN21W52JD7,2024-04-26T19:56:37.81792873Z,01HWDZHMA73CJ89SAWNYF2TN45,2024-04-26T19:56:37.81792873Z
01HWDZPC1YAYSVPTMG91F9SKE2,01HWDZBVZ099EF56E7PA1463T5,2024-04-26T19:56:37.822910436Z,01HWDZBVZCFRSJZ6GN21W52JD7,2024-04-26T19:56:37.822910436Z,01HWDZJ0DK6HX04SY1P9J0ZWQN,2024-04-26T19:56:37.822910436Z
01HWE05T5CQCJF52YKS4QPP24M,01HWDZAVK2HHH7A9FE120SJX4Q,2024-04-26T20:05:03.788483308Z,01HWDZAVKD71B2T8P146Z0RE23,2024-04-26T20:05:03.788483308Z,01HWDZVQR8AF8Q1C1HKJDV9B66,2024-04-26T20:05:03.788483308Z
01HWE05T5JDQB49EQPRTY845GP,01HWDZAVK2HHH7A9FE120SJX4Q,2024-04-26T20:05:03.794213816Z,01HWDZAVKD71B2T8P146Z0RE23,2024-04-26T20:05:03.794213816Z,01HWDZWT9KWEYRWR1WX4F9WYDJ,2024-04-26T20:05:03.794213816Z
01HWE05T5Q1R424P11YQ3M4GHR,01HWDZAVK2HHH7A9FE120SJX4Q,2024-04-26T20:05:03.799539042Z,01HWDZAVKD71B2T8P146Z0RE23,2024-04-26T20:05:03.799539042Z,01HWDZX4K47QN05XJEM90F1XJ0,2024-04-26T20:05:03.799539042Z
01HWE05T5X8SBPD2RJM5SJE1K7,01HWDZAVK2HHH7A9FE120SJX4Q,2024-04-26T20:05:03.805559964Z,01HWDZAVKD71B2T8P146Z0RE23,2024-04-26T20:05:03.805559964Z,01HWDZYE9K97SZZPWRG4GESHHB,2024-04-26T20:05:03.805559964Z
01HWE092BSQ5CAXEK8A6SQCDRQ,01HWDZATBJ8CKJ630H0EJHNC03,2024-04-26T20:06:50.489988169Z,01HWDZATBYG8AA4193EJ9RRM5A,2024-04-26T20:06:50.489988169Z,01HWDZZSM0ZY571FYKF58XSYD3,2024-04-26T20:06:50.489988169Z
01HWE092C2S9C7R8SR6RNAENRF,01HWDZATBJ8CKJ630H0EJHNC03,2024-04-26T20:06:50.498137149Z,01HWDZATBYG8AA4193EJ9RRM5A,2024-04-26T20:06:50.498137149Z,01HWE02FH9VAQ912VHKVH0RPSB,2024-04-26T20:06:50.498137149Z
01HWE092CCCF799Z3GGJVA8C63,01HWDZATBJ8CKJ630H0EJHNC03,2024-04-26T20:06:50.508587225Z,01HWDZATBYG8AA4193EJ9RRM5A,2024-04-26T20:06:50.508587225Z,01HWE0410N3808NPQQ6TKXZP0P,2024-04-26T20:06:50.508587225Z
01HWE092CPMNX1FMYHNMVJVQVV,01HWDZATBJ8CKJ630H0EJHNC03,2024-04-26T20:06:50.518311789Z,01HWDZATBYG8AA4193EJ9RRM5A,2024-04-26T20:06:50.518311789Z,01HWE045ZAANB0ZJYW1SSVC15E,2024-04-26T20:06:50.518311789Z
