id,batchID,batchIDLastChangedAt,confidence,confidenceLastChangedAt,gameID,gameIDLastChangedAt,guess,guessLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,submit,submitLastChangedAt
01JGQ5FVE126P7J2GSFHETYH4N,01JGQ38XR4WB2R9MNDYJ6B0MFE,2025-01-03T22:45:02.017348898Z,,,01JGQ38XRBKZG89TVF6VBE148C,2025-01-03T22:45:02.017348898Z,,,01JGQ42NSC8VCEVE98HD3A9P1D,2025-01-03T22:45:02.017348898Z,01JGQ5D2KD9S6NMK9Y429M10MC,2025-01-03T22:45:02.017348898Z,01JGQ5D2Q7QBGT9BVVDQ75REGB,2025-01-03T22:45:02.017348898Z,,
01JGQ5T1J9TQFFBG6Z77RWBQM9,01JGQ38W3WKG06MXBEFDKMGHAW,2025-01-03T22:50:35.977141621Z,37,2025-01-03T22:51:00.189006546Z,01JGQ38W452XM8XAG3EJFXDGYT,2025-01-03T22:50:35.977141621Z,6,2025-01-03T22:51:00.192453696Z,01JGQ5CP4HJRTEMTHNHA8TJJKV,2025-01-03T22:50:35.977141621Z,01JGQ5R6D1G6ZM0NKN32QP65X8,2025-01-03T22:50:35.977141621Z,01JGQ5R6EFVXBZHNSV8MMRD7N5,2025-01-03T22:50:35.977141621Z,true,2025-01-03T22:51:00.186045626Z
01JGQ5XXQKY3KN9RXEMN4AQCYD,01JGQ38WMQ7W3GYF5TVYX9H6BM,2025-01-03T22:52:43.123626372Z,100,2025-01-03T22:53:03.825540148Z,01JGQ38WN029258Q1WMJK2KV80,2025-01-03T22:52:43.123626372Z,3,2025-01-03T22:53:03.815294566Z,01JGQ55R2NP1AFFHHG325Z4PG7,2025-01-03T22:52:43.123626372Z,01JGQ5SXSM1MGN4PHFX0S4JT96,2025-01-03T22:52:43.123626372Z,01JGQ5SXW2H39JVKWJT6F7GW06,2025-01-03T22:52:43.123626372Z,true,2025-01-03T22:53:03.828657847Z
01JGQ72BJSN1WZQ2ZZF3S83399,01JGQ52XWMWWXFEGQ6W1AYDV8A,2025-01-03T23:12:36.953845456Z,100,2025-01-03T23:12:44.090476415Z,01JGQ52XWZD49B9WD5K2KTEVGM,2025-01-03T23:12:36.953845456Z,25,2025-01-03T23:12:44.070139495Z,01JGQ6CNJ1ACK8XC65208Z5Y3Y,2025-01-03T23:12:36.953845456Z,01JGQ6MBSMAQ8E3SYW24JG44AP,2025-01-03T23:12:36.953845456Z,01JGQ6MC78P1HT9VZKJM619H32,2025-01-03T23:12:36.953845456Z,true,2025-01-03T23:12:44.098250513Z
01JGQ7DDFQQRB5W07AD2MP0SN8,01JGQ65PRZYMQ10XNT5TDGWRHT,2025-01-03T23:18:39.351591993Z,,,01JGQ65PSV4VG5MD1HSCDACPHJ,2025-01-03T23:18:39.351591993Z,,,01JGQ6DMPCMT7YSVV0QYRN9ST6,2025-01-03T23:18:39.351591993Z,01JGQ71JK2S1J14VJQ0GG4GYAX,2025-01-03T23:18:39.351591993Z,01JGQ71K4A1GA195BJTBS6F8EE,2025-01-03T23:18:39.351591993Z,,
01JGQ4X1E1ACAMRMYYB9B8V3NE,01JGQ38ZEY9P7HS1YTGYYSM89T,2025-01-03T22:34:45.569401715Z,68,2025-01-03T22:35:00.016399705Z,01JGQ38ZF6192MQF4M8A8G5YN8,2025-01-03T22:34:45.569401715Z,66,2025-01-03T22:35:00.011991177Z,01JGQ4500NZD2CN9RG5ZC58ZAT,2025-01-03T22:34:45.569401715Z,01JGQ4Q4P9RNHHV917WH06GXD7,2025-01-03T22:34:45.569401715Z,01JGQ4Q4T5FMHT003J8K4S84S2,2025-01-03T22:34:45.569401715Z,true,2025-01-03T22:35:00.024561969Z
01JGQ47MVFE2J32YBQYBKF7KHZ,01JGQ390KP8DCY2B8XE6R2B7J3,2025-01-03T22:23:04.55947986Z,100,2025-01-03T22:23:18.667939508Z,01JGQ390KWWYY8R4TXCFAAPTD9,2025-01-03T22:23:04.55947986Z,100,2025-01-03T22:23:18.666256547Z,01JGQ3WHTAC37T2GWT60EBM0VZ,2025-01-03T22:23:04.55947986Z,01JGQ43YYVG0Q9X360RXHJHDNB,2025-01-03T22:23:04.55947986Z,01JGQ43Z0EHMKG0FETHD8QAFPR,2025-01-03T22:23:04.55947986Z,true,2025-01-03T22:23:18.688688428Z
01JGQ4DNB5P2JPZF6G08Q7ZV45,01JGQ41H66G5BQ3JPQHQ0PFSRD,2025-01-03T22:26:21.669311Z,,,01JGQ41H6JT4SPXHTED1FMWCB7,2025-01-03T22:26:21.669311Z,,,01JGQ43J7P55KDH6C8XNDG1V2K,2025-01-03T22:26:21.669311Z,01JGQ4DMZ5T80E391EB7FHZ072,2025-01-03T22:26:21.669311Z,01JGQ4DN1GKRN400AKDCE3332R,2025-01-03T22:26:21.669311Z,,
01JGQ4EJPC2E01YTAK5TZVRMN5,01JGQ41H66G5BQ3JPQHQ0PFSRD,2025-01-03T22:26:51.72429806Z,,,01JGQ41H6JT4SPXHTED1FMWCB7,2025-01-03T22:26:51.72429806Z,,,01JGQ3CQDCEFDKMS9SPCHNGAM4,2025-01-03T22:26:51.72429806Z,01JGQ4DMZ5T80E391EB7FHZ072,2025-01-03T22:26:51.72429806Z,01JGQ4DN1J5GXA11GTJ6541ASB,2025-01-03T22:26:51.72429806Z,,
01JGQ4FNK3YBGZTG8PJQT78Y8J,01JGQ39005ZKS4YXFHRA0CW5KY,2025-01-03T22:27:27.459806116Z,71,2025-01-03T22:27:41.656068131Z,01JGQ3900DH5KP9RE2ZX9RT59N,2025-01-03T22:27:27.459806116Z,100,2025-01-03T22:27:41.654172164Z,01JGQ42ZFN398BBHFWRV5JYC3X,2025-01-03T22:27:27.459806116Z,01JGQ49TNKTSW7N5F3QB24D6NB,2025-01-03T22:27:27.459806116Z,01JGQ49TPPWZTG2BXASABTYBFM,2025-01-03T22:27:27.459806116Z,true,2025-01-03T22:27:41.669642517Z
