id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,timerID,timerIDLastChangedAt
01JGQ5SXWA3FBW7BHNERJ33H31,01JGQ38WMQ7W3GYF5TVYX9H6BM,2025-01-03T22:50:32.202198875Z,30,2025-01-03T22:50:32.202198875Z,true,2025-01-03T22:52:16.927370434Z,01JGQ38WN029258Q1WMJK2KV80,2025-01-03T22:50:32.202198875Z,0,2025-01-03T22:50:32.202198875Z,true,2025-01-03T22:51:54.21821138Z,observe,2025-01-03T22:50:32.202198875Z,01JGQ5SXS4QY3H312V5QAASDV7,2025-01-03T22:50:32.202198875Z,true,2025-01-03T22:51:54.176869032Z,true,2025-01-03T22:51:54.234877503Z,01JGQ5SXSY4BZ6SGNR8XYQG6PC,2025-01-03T22:50:32.202198875Z
01JGQ63D7RXZS24TGZXYJ2Q4VK,01JGQ38TKTGXX1G6N81H6GJ3G4,2025-01-03T22:55:42.840132956Z,30,2025-01-03T22:55:42.840132956Z,true,2025-01-03T22:59:32.479736027Z,01JGQ38TM5V1QN92TCPP5KFZFS,2025-01-03T22:55:42.840132956Z,0,2025-01-03T22:55:42.840132956Z,true,2025-01-03T22:59:12.011951325Z,observe,2025-01-03T22:55:42.840132956Z,01JGQ63D2KQYV6SMHV5G9S2V4R,2025-01-03T22:55:42.840132956Z,true,2025-01-03T22:59:11.9371018Z,true,2025-01-03T22:59:12.04938497Z,01JGQ63D5PW5YHXBHPCQ4G51EY,2025-01-03T22:55:42.840132956Z
01JGQ6MC6FBQZGYE37E768TR0F,01JGQ52XWMWWXFEGQ6W1AYDV8A,2025-01-03T23:04:58.831276283Z,30,2025-01-03T23:04:58.831276283Z,true,2025-01-03T23:11:18.608474568Z,01JGQ52XWZD49B9WD5K2KTEVGM,2025-01-03T23:04:58.831276283Z,1,2025-01-03T23:04:58.831276283Z,true,2025-01-03T23:10:55.407648307Z,observe,2025-01-03T23:04:58.831276283Z,01JGQ6MBS48H1X4VBEGR3KC4EF,2025-01-03T23:04:58.831276283Z,true,2025-01-03T23:10:55.32774093Z,true,2025-01-03T23:10:55.440324205Z,01JGQ6MBYW5Z9GGHWBREAEN5X6,2025-01-03T23:04:58.831276283Z
01JGQ7GE49VPZDM8JNYPJT67GM,01JGQ65P3A87MPVN02BGFNWP5Q,2025-01-03T23:20:18.313267086Z,30,2025-01-03T23:20:18.313267086Z,false,2025-01-03T23:20:18.313267086Z,01JGQ65P4CZ1YP1KNZ1V3EXA0B,2025-01-03T23:20:18.313267086Z,1,2025-01-03T23:20:18.313267086Z,,,observe,2025-01-03T23:20:18.313267086Z,01JGQ7GDN4HF94DAWF63VF6ASD,2025-01-03T23:20:18.313267086Z,false,2025-01-03T23:20:18.313267086Z,,,01JGQ7GDWRPXGQ5PWBSMP81NSE,2025-01-03T23:20:18.313267086Z
01JGQ7GDZ252MJBP0YJXYK3Z4M,01JGQ65P3A87MPVN02BGFNWP5Q,2025-01-03T23:20:18.146304325Z,30,2025-01-03T23:20:18.146304325Z,false,2025-01-03T23:20:18.146304325Z,01JGQ65P4CZ1YP1KNZ1V3EXA0B,2025-01-03T23:20:18.146304325Z,0,2025-01-03T23:20:18.146304325Z,,,send,2025-01-03T23:20:18.146304325Z,01JGQ7GDMKXXGKZ60Z65Z40WFQ,2025-01-03T23:20:18.146304325Z,false,2025-01-03T23:20:18.146304325Z,,,01JGQ7GDQKQG93K6J2SA8B4CDW,2025-01-03T23:20:18.146304325Z
01JGQ49TP7MMXH7EQ3SC9J667X,01JGQ39005ZKS4YXFHRA0CW5KY,2025-01-03T22:24:16.071511207Z,30,2025-01-03T22:24:16.071511207Z,true,2025-01-03T22:25:46.532120234Z,01JGQ3900DH5KP9RE2ZX9RT59N,2025-01-03T22:24:16.071511207Z,0,2025-01-03T22:24:16.071511207Z,true,2025-01-03T22:25:16.514185976Z,observe,2025-01-03T22:24:16.071511207Z,01JGQ49TN9M1DNQTNV8CEKJ5MF,2025-01-03T22:24:16.071511207Z,true,2025-01-03T22:25:16.480258643Z,true,2025-01-03T22:25:16.527640649Z,01JGQ49TNQQ5XQSFSG7KH9TAJ5,2025-01-03T22:24:16.071511207Z
01JGQ4DN1J5GXA11GTJ6541ASB,01JGQ41H66G5BQ3JPQHQ0PFSRD,2025-01-03T22:26:21.36240784Z,30,2025-01-03T22:26:21.36240784Z,true,2025-01-03T22:27:21.768473041Z,01JGQ41H6JT4SPXHTED1FMWCB7,2025-01-03T22:26:21.36240784Z,1,2025-01-03T22:26:21.36240784Z,true,2025-01-03T22:26:51.750708199Z,observe,2025-01-03T22:26:21.36240784Z,01JGQ4DMZ5T80E391EB7FHZ072,2025-01-03T22:26:21.36240784Z,true,2025-01-03T22:26:51.71557576Z,true,2025-01-03T22:26:51.765064543Z,01JGQ4DN0S6F9HDHN0FTTFE62D,2025-01-03T22:26:21.36240784Z
01JGQ4Q4SJNPEEWH6CE6QW7AVV,01JGQ38ZEY9P7HS1YTGYYSM89T,2025-01-03T22:31:32.40271407Z,30,2025-01-03T22:31:32.40271407Z,true,2025-01-03T22:32:02.722324024Z,01JGQ38ZF6192MQF4M8A8G5YN8,2025-01-03T22:31:32.40271407Z,0,2025-01-03T22:31:32.40271407Z,true,2025-01-03T22:31:32.703256305Z,looking at your yard,2025-01-03T22:31:32.40271407Z,01JGQ4Q4NQ37AF0AJ2F9F5ER57,2025-01-03T22:31:32.40271407Z,true,2025-01-03T22:31:32.665185894Z,true,2025-01-03T22:31:32.717973611Z,01JGQ4Q4PH72JDTWSPFGYARGPD,2025-01-03T22:31:32.40271407Z
01JGQ533B63AMC9ZR33PSPWTFB,01JGQ38YBQ7NJ8PV7YGAVRGMGS,2025-01-03T22:38:04.13431901Z,30,2025-01-03T22:38:04.13431901Z,true,2025-01-03T22:41:25.965654347Z,01JGQ38YC02FC43CVT2ZFN75M5,2025-01-03T22:38:04.13431901Z,0,2025-01-03T22:38:04.13431901Z,true,2025-01-03T22:40:55.941749584Z,observe,2025-01-03T22:38:04.13431901Z,01JGQ5339ZEYY21MDNT5SQ92XM,2025-01-03T22:38:04.13431901Z,true,2025-01-03T22:40:55.892826321Z,true,2025-01-03T22:40:55.961698265Z,01JGQ533AGTVFYQYNJ1MJRQE6Q,2025-01-03T22:38:04.13431901Z
01JGQ533BVW1R3YW82BHYC11HE,01JGQ38YBQ7NJ8PV7YGAVRGMGS,2025-01-03T22:38:04.155125711Z,30,2025-01-03T22:38:04.155125711Z,true,2025-01-03T22:40:03.528908528Z,01JGQ38YC02FC43CVT2ZFN75M5,2025-01-03T22:38:04.155125711Z,0,2025-01-03T22:38:04.155125711Z,true,2025-01-03T22:39:33.503976294Z,observe,2025-01-03T22:38:04.155125711Z,01JGQ5339QZB8CE3K51FEFSC5R,2025-01-03T22:38:04.155125711Z,true,2025-01-03T22:39:33.450171559Z,true,2025-01-03T22:39:33.521999322Z,01JGQ533BB32W27J4J2ARBY54S,2025-01-03T22:38:04.155125711Z
01JGQ5X4XTSJZJSY66DSKBE1D5,01JGQ38VG765T1QAW5DXFSTB5T,2025-01-03T22:52:17.722860594Z,30,2025-01-03T22:52:17.722860594Z,true,2025-01-03T22:52:48.020860793Z,01JGQ38VGJFQG97B9G28V7WFX2,2025-01-03T22:52:17.722860594Z,0,2025-01-03T22:52:17.722860594Z,true,2025-01-03T22:52:17.994890689Z,looking at your yard,2025-01-03T22:52:17.722860594Z,01JGQ5X4S8TE3FPAG7XP8J1WF5,2025-01-03T22:52:17.722860594Z,true,2025-01-03T22:52:17.959735748Z,true,2025-01-03T22:52:18.013009246Z,01JGQ5X4TDSY3AS7TV93JE2AJK,2025-01-03T22:52:17.722860594Z
01JGQ3P66C3ARXV7ARC0AB2PBE,01JGQ38AF6ZPZ3ZQGJZJ1TF2DJ,2025-01-03T22:13:32.492547893Z,30,2025-01-03T22:13:32.492547893Z,true,2025-01-03T22:15:17.850141807Z,01JGQ38AFSHSR7RK1CRTQSZ5PH,2025-01-03T22:13:32.492547893Z,0,2025-01-03T22:13:32.492547893Z,true,2025-01-03T22:14:56.751057872Z,observe,2025-01-03T22:13:32.492547893Z,01JGQ3P5ZZWTBTWWV5B5RZQVS7,2025-01-03T22:13:32.492547893Z,true,2025-01-03T22:14:56.700588936Z,true,2025-01-03T22:14:56.773776649Z,01JGQ3P620H7AWRHFJET8MXP5B,2025-01-03T22:13:32.492547893Z
01JGQ6MCAR3N7RG6T8Q6VHJGM1,01JGQ52XWMWWXFEGQ6W1AYDV8A,2025-01-03T23:04:58.968893687Z,30,2025-01-03T23:04:58.968893687Z,true,2025-01-03T23:12:06.553888682Z,01JGQ52XWZD49B9WD5K2KTEVGM,2025-01-03T23:04:58.968893687Z,1,2025-01-03T23:04:58.968893687Z,true,2025-01-03T23:11:48.993625568Z,observe,2025-01-03T23:04:58.968893687Z,01JGQ6MBSCDPXEQ96KM0Y918DM,2025-01-03T23:04:58.968893687Z,true,2025-01-03T23:11:48.926192867Z,true,2025-01-03T23:11:49.025838704Z,01JGQ6MBZPKZD1CYEW7XXDH4VE,2025-01-03T23:04:58.968893687Z
