id,batchID,batchIDLastChangedAt,confidence,confidenceLastChangedAt,gameID,gameIDLastChangedAt,guess,guessLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,submit,submitLastChangedAt
01JGJ9E6GMMQKV023ZVJRCZK1W,01JGJ7Q1TDDCFSCSJJK08YWG8D,2025-01-02T01:17:49.972188527Z,,,01JGJ7Q1TKQHEXHB6FKQWS62NY,2025-01-02T01:17:49.972188527Z,,,01JGJ94W25ZX0N4A835SNRV4AZ,2025-01-02T01:17:49.972188527Z,01JGJ9BGY27C57BN2651FYDWMJ,2025-01-02T01:17:49.972188527Z,01JGJ9BH1QZ85NQQGB77YPH25S,2025-01-02T01:17:49.972188527Z,,
01JGJ8X9M3DW9GYATZSP8ZXC6Y,01JGJ7Q38M5BAPANAG3C1DAXJB,2025-01-02T01:08:36.099727512Z,82,2025-01-02T01:08:50.756647897Z,01JGJ7Q38SSSW9T0GHA4JNYXNP,2025-01-02T01:08:36.099727512Z,9,2025-01-02T01:08:50.753205346Z,01JGJ8EG842FDVC5C0YTD0YVCT,2025-01-02T01:08:36.099727512Z,01JGJ8SNN6YNGVP15AJ4F613NQ,2025-01-02T01:08:36.099727512Z,01JGJ8SNTGKFNJJSZ1GHFY15AW,2025-01-02T01:08:36.099727512Z,true,2025-01-02T01:08:50.756337456Z
01JGJ8Z0BWA3WYWRDQAQTEEVAJ,01JGJ7Q38M5BAPANAG3C1DAXJB,2025-01-02T01:09:32.156134466Z,56,2025-01-02T01:09:40.250707596Z,01JGJ7Q38SSSW9T0GHA4JNYXNP,2025-01-02T01:09:32.156134466Z,94,2025-01-02T01:09:40.242609441Z,01JGJ8FGEKNEMV6BVYQ46ASE3B,2025-01-02T01:09:32.156134466Z,01JGJ8SNNA51WEBFKCSSDF2P3Z,2025-01-02T01:09:32.156134466Z,01JGJ8SNQTPQ96X4WF4Q3N4SEV,2025-01-02T01:09:32.156134466Z,true,2025-01-02T01:09:40.253145167Z
01JGJ9NBEG6T0VCYEP0GKP7ZR2,01JGJ7Q1TDDCFSCSJJK08YWG8D,2025-01-02T01:21:44.40067878Z,79,2025-01-02T01:22:09.400382507Z,01JGJ7Q1TKQHEXHB6FKQWS62NY,2025-01-02T01:21:44.40067878Z,12,2025-01-02T01:22:09.393207434Z,01JGJ94QTAFRADNWKFYSRWV34E,2025-01-02T01:21:44.40067878Z,01JGJ9BGY5X7VAGHYRKWF0VQTG,2025-01-02T01:21:44.40067878Z,01JGJ9BGZMRSKBC9E3GFNM2JBZ,2025-01-02T01:21:44.40067878Z,true,2025-01-02T01:22:09.398752863Z
01JGJ9HT467V5XX5CE2YJCA5G0,01JGJ91W6V8C9DH2MJ6H5G14S8,2025-01-02T01:19:48.358755095Z,,,01JGJ91W71P8SZ6D1PAER2PRBZ,2025-01-02T01:19:48.358755095Z,,,01JGJ94SCJPS10SPMA7QRTFWBB,2025-01-02T01:19:48.358755095Z,01JGJ9HSRZWCM9VEHER3ZHYFE2,2025-01-02T01:19:48.358755095Z,01JGJ9HSYHV1NK5HK163EV9GJS,2025-01-02T01:19:48.358755095Z,,
01JGJ9KPH7ME4P1YRKF3V8EV2X,01JGJ91WNR8EKXWD9252M85KH6,2025-01-02T01:20:50.215792509Z,39,2025-01-02T01:21:01.226959928Z,01JGJ91WNX5F13GKCWNVF2J9RJ,2025-01-02T01:20:50.215792509Z,85,2025-01-02T01:21:01.22319116Z,01JGJ94C500TJGV4SBK4CSYD3B,2025-01-02T01:20:50.215792509Z,01JGJ9E65DBDGAQEGZ5V0PYFA2,2025-01-02T01:20:50.215792509Z,01JGJ9E67M0WENA4VHBCNYX2Q5,2025-01-02T01:20:50.215792509Z,true,2025-01-02T01:21:01.225809656Z
01JGJ9P1KVZ21F9Y452TRPHB6S,01JGJ91VJB96BD050J4248JZJ3,2025-01-02T01:22:07.099913968Z,,,01JGJ91VJH075JR7FCHZ0ZNBRG,2025-01-02T01:22:07.099913968Z,,,01JGJ98WRRAJWPA3VEJRJAJ7T3,2025-01-02T01:22:07.099913968Z,01JGJ9P19S5H7TNT4C9M377B1Q,2025-01-02T01:22:07.099913968Z,01JGJ9P1EKPR0HKBCJBMJ0JBAR,2025-01-02T01:22:07.099913968Z,,
01JGJ9P3XV44083J2GQ6RHM9MB,01JGJ7Q1TDDCFSCSJJK08YWG8D,2025-01-02T01:22:09.467872351Z,,,01JGJ7Q1TKQHEXHB6FKQWS62NY,2025-01-02T01:22:09.467872351Z,,,01JGJ95V0TC1EPB333C5EM1SPB,2025-01-02T01:22:09.467872351Z,01JGJ9BGY4N0Y0DZH7S7QT9B6Z,2025-01-02T01:22:09.467872351Z,01JGJ9BH0SKQC1EHPT7A6D31KY,2025-01-02T01:22:09.467872351Z,,
01JGJ9PXANRA3S3WPTCCE8BQ9T,01JGJ91WNR8EKXWD9252M85KH6,2025-01-02T01:22:35.477210433Z,,,01JGJ91WNX5F13GKCWNVF2J9RJ,2025-01-02T01:22:35.477210433Z,,,01JGJ95VP8S41R8FP9T3C9KW7N,2025-01-02T01:22:35.477210433Z,01JGJ9E65EJ30RTE5B9Z8YVXZE,2025-01-02T01:22:35.477210433Z,01JGJ9E67TV0803E9BTSP9S4YT,2025-01-02T01:22:35.477210433Z,,
01JGJ9MB46EC9ACTJ4M6J746RR,01JGJ91WNR8EKXWD9252M85KH6,2025-01-02T01:21:11.302105268Z,,,01JGJ91WNX5F13GKCWNVF2J9RJ,2025-01-02T01:21:11.302105268Z,,,01JGJ95VP8S41R8FP9T3C9KW7N,2025-01-02T01:21:11.302105268Z,01JGJ9E65EJ30RTE5BABHDXGSY,2025-01-02T01:21:11.302105268Z,01JGJ9E66E42GAR39MTVRXTW20,2025-01-02T01:21:11.302105268Z,,
