id,stageID,stageIDLastChangedAt,playerID,playerIDLastChangedAt,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,guess,guessLastChangedAt,submit,submitLastChangedAt
01HNDBCX1G3FQQVPE7EDE0EVHC,01HNDBB5XHH3DCG1P67YGV10YX,2024-01-30T14:12:03.248555676Z,01HNDB95MW9DEJB0M9CG208G2K,2024-01-30T14:12:03.248555676Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:12:03.248555676Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:12:03.248555676Z,01HNDBB5TWB0C01XN35F58M5NV,2024-01-30T14:12:03.248555676Z,0,2024-01-30T14:12:11.274759523Z,true,2024-01-30T14:12:11.275650601Z
01HNDBCX1HH65P0DAAZS4GRY10,01HNDBB5XHH3DCG1P67YGV10YX,2024-01-30T14:12:03.249492508Z,01HNDB7C0ZKF6306S76E99GBZA,2024-01-30T14:12:03.249492508Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:12:03.249492508Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:12:03.249492508Z,01HNDBB5TWB0C01XN35F58M5NV,2024-01-30T14:12:03.249492508Z,0,2024-01-30T14:12:18.482676223Z,true,2024-01-30T14:12:18.650865353Z
01HNDBDC5PQSZZ3PEZVN9PHZWP,01HNDBB5XP2CYZRYVSZPN0GR9E,2024-01-30T14:12:18.742517563Z,01HNDB70WRRWZRX93F98SA6HXG,2024-01-30T14:12:18.742517563Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:12:18.742517563Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:12:18.742517563Z,01HNDBB5TWB0C01XN34WXA99GS,2024-01-30T14:12:18.742517563Z,71,2024-01-30T14:12:31.87243256Z,true,2024-01-30T14:12:31.889021911Z
01HNDBDC5R08124DVQN65N6197,01HNDBB5XP2CYZRYVSZPN0GR9E,2024-01-30T14:12:18.744423877Z,01HNDB95MW9DEJB0M9CG208G2K,2024-01-30T14:12:18.744423877Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:12:18.744423877Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:12:18.744423877Z,01HNDBB5TWB0C01XN34WXA99GS,2024-01-30T14:12:18.744423877Z,0,2024-01-30T14:12:24.481292859Z,true,2024-01-30T14:12:24.484243198Z
01HNDBDC5THWVWJHVEY8T322RH,01HNDBB5XP2CYZRYVSZPN0GR9E,2024-01-30T14:12:18.746268372Z,01HNDB7C0ZKF6306S76E99GBZA,2024-01-30T14:12:18.746268372Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:12:18.746268372Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:12:18.746268372Z,01HNDBB5TWB0C01XN34WXA99GS,2024-01-30T14:12:18.746268372Z,0,2024-01-30T14:12:22.79473924Z,true,2024-01-30T14:12:22.802078726Z
01HNDBDC5VBVKRZKET5QHV0E3E,01HNDBB5XP2CYZRYVSZPN0GR9E,2024-01-30T14:12:18.747334762Z,01HNDB762M5M8Z9H1NJ54J1PNA,2024-01-30T14:12:18.747334762Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:12:18.747334762Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:12:18.747334762Z,01HNDBB5TWB0C01XN34WXA99GS,2024-01-30T14:12:18.747334762Z,4,2024-01-30T14:12:28.608922852Z,true,2024-01-30T14:12:28.609812803Z
01HNDBDS3WEMVX6312VD24JZXY,01HNDBB5XRHZDPX4TPM2P35MZN,2024-01-30T14:12:31.996281723Z,01HNDB70WRRWZRX93F98SA6HXG,2024-01-30T14:12:31.996281723Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:12:31.996281723Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:12:31.996281723Z,01HNDBB5TXCJ31MA0G81J3MCXN,2024-01-30T14:12:31.996281723Z,15,2024-01-30T14:12:42.250184535Z,true,2024-01-30T14:12:42.266932092Z
01HNDBDS3XTFC7B55XRGSEBTG9,01HNDBB5XRHZDPX4TPM2P35MZN,2024-01-30T14:12:31.997653921Z,01HNDB95MW9DEJB0M9CG208G2K,2024-01-30T14:12:31.997653921Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:12:31.997653921Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:12:31.997653921Z,01HNDBB5TXCJ31MA0G81J3MCXN,2024-01-30T14:12:31.997653921Z,0,2024-01-30T14:12:39.105075862Z,true,2024-01-30T14:12:39.105922543Z
01HNDBDS3YD2EDRRRMKZQKGJAJ,01HNDBB5XRHZDPX4TPM2P35MZN,2024-01-30T14:12:31.998962058Z,01HNDB762M5M8Z9H1NJ54J1PNA,2024-01-30T14:12:31.998962058Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:12:31.998962058Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:12:31.998962058Z,01HNDBB5TXCJ31MA0G81J3MCXN,2024-01-30T14:12:31.998962058Z,4,2024-01-30T14:12:37.303957307Z,true,2024-01-30T14:12:37.305563511Z
01HNDBDS403ECNGB19J32YJFPJ,01HNDBB5XRHZDPX4TPM2P35MZN,2024-01-30T14:12:32.000074585Z,01HNDB7C0ZKF6306S76E99GBZA,2024-01-30T14:12:32.000074585Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:12:32.000074585Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:12:32.000074585Z,01HNDBB5TXCJ31MA0G81J3MCXN,2024-01-30T14:12:32.000074585Z,75,2024-01-30T14:12:43.211948432Z,true,2024-01-30T14:12:43.212724456Z
01HNDBE457277V7HRX3GS96YB2,01HNDBB5YR84M4WKZHTQ6KD6GC,2024-01-30T14:12:43.303660867Z,01HNDB7C0ZKF6306S76E99GBZA,2024-01-30T14:12:43.303660867Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:12:43.303660867Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:12:43.303660867Z,01HNDBB5TY6TWS2W52F0Z109P9,2024-01-30T14:12:43.303660867Z,0,2024-01-30T14:12:47.169435013Z,true,2024-01-30T14:12:47.168551958Z
01HNDBE458TSG9GEJG7VC74N07,01HNDBB5YR84M4WKZHTQ6KD6GC,2024-01-30T14:12:43.304563986Z,01HNDB95MW9DEJB0M9CG208G2K,2024-01-30T14:12:43.304563986Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:12:43.304563986Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:12:43.304563986Z,01HNDBB5TY6TWS2W52F0Z109P9,2024-01-30T14:12:43.304563986Z,0,2024-01-30T14:12:46.637296662Z,true,2024-01-30T14:12:46.640390902Z
