id,stageIndex,stageIndexLastChangedAt,name,nameLastChangedAt,task,taskLastChangedAt,index,indexLastChangedAt,batchID,batchIDLastChangedAt,start,startLastChangedAt,ended,endedLastChangedAt,idx,idxLastChangedAt,gameID,gameIDLastChangedAt
01HWDPPR06HGST9M09D0PKHVPR,2,2024-04-26T17:19:33.123343342Z,Round 12 / 12,2024-04-26T17:19:32.87079505Z,Chat,2024-04-26T17:19:32.87079505Z,11,2024-04-26T17:19:32.87079505Z,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:19:32.87079505Z,true,2024-04-26T17:28:05.005333708Z,true,2024-04-26T17:28:47.456262162Z,12,2024-04-26T17:19:32.87079505Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:19:32.87079505Z
01HWDPPR07MDJYMV6CVR02XCQ1,2,2024-04-26T17:19:33.123343342Z,Round 10 / 12,2024-04-26T17:19:32.871066956Z,Chat,2024-04-26T17:19:32.871066956Z,9,2024-04-26T17:19:32.871066956Z,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:19:32.871066956Z,true,2024-04-26T17:26:40.564116654Z,true,2024-04-26T17:27:23.449907539Z,10,2024-04-26T17:19:32.871066956Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:19:32.871066956Z
01HWDPX8MCP4MCXMQWH7W8FG1Y,2,2024-04-26T17:23:06.83218393Z,Round 1 / 12,2024-04-26T17:23:06.508482247Z,Chat,2024-04-26T17:23:06.508482247Z,0,2024-04-26T17:23:06.508482247Z,01HWDP3DT4YXBP3DYDVGM7VJGR,2024-04-26T17:23:06.508482247Z,true,2024-04-26T17:23:06.865779045Z,true,2024-04-26T17:24:07.479823454Z,1,2024-04-26T17:23:06.508482247Z,01HWDP3DTG6NCKJ6WWN5MS9JFY,2024-04-26T17:23:06.508482247Z
01HWDPX8MEE011E7EQ1P2H54Y3,2,2024-04-26T17:23:06.83218393Z,Round 2 / 12,2024-04-26T17:23:06.510611616Z,Chat,2024-04-26T17:23:06.510611616Z,1,2024-04-26T17:23:06.510611616Z,01HWDP3DT4YXBP3DYDVGM7VJGR,2024-04-26T17:23:06.510611616Z,true,2024-04-26T17:24:07.492788573Z,true,2024-04-26T17:25:02.228530649Z,2,2024-04-26T17:23:06.510611616Z,01HWDP3DTG6NCKJ6WWN5MS9JFY,2024-04-26T17:23:06.510611616Z
01HWDPX8MFE27C9PBTHNR94BDC,2,2024-04-26T17:23:06.840079166Z,Round 7 / 12,2024-04-26T17:23:06.511704771Z,Chat,2024-04-26T17:23:06.511704771Z,6,2024-04-26T17:23:06.511704771Z,01HWDP3DT4YXBP3DYDVGM7VJGR,2024-04-26T17:23:06.511704771Z,true,2024-04-26T17:28:55.201237228Z,true,2024-04-26T17:29:47.387525356Z,7,2024-04-26T17:23:06.511704771Z,01HWDP3DTG6NCKJ6WWN5MS9JFY,2024-04-26T17:23:06.511704771Z
01HWDPX8MG2ACHM6X3E7778MDN,2,2024-04-26T17:23:06.83218393Z,Round 6 / 12,2024-04-26T17:23:06.51281102Z,Chat,2024-04-26T17:23:06.51281102Z,5,2024-04-26T17:23:06.51281102Z,01HWDP3DT4YXBP3DYDVGM7VJGR,2024-04-26T17:23:06.51281102Z,true,2024-04-26T17:28:01.894151747Z,true,2024-04-26T17:28:55.185904076Z,6,2024-04-26T17:23:06.51281102Z,01HWDP3DTG6NCKJ6WWN5MS9JFY,2024-04-26T17:23:06.51281102Z
01HWDPX8MHYAV3ASQ1MXWMSPH2,2,2024-04-26T17:23:06.664173994Z,Round 9 / 12,2024-04-26T17:23:06.51355169Z,Chat,2024-04-26T17:23:06.51355169Z,8,2024-04-26T17:23:06.51355169Z,01HWDP3DT4YXBP3DYDVGM7VJGR,2024-04-26T17:23:06.51355169Z,true,2024-04-26T17:30:41.608155696Z,true,2024-04-26T17:31:33.140084921Z,9,2024-04-26T17:23:06.51355169Z,01HWDP3DTG6NCKJ6WWN5MS9JFY,2024-04-26T17:23:06.51355169Z
01HWDPX8MJFS8FDX18TCC3Y0SS,2,2024-04-26T17:23:06.83454278Z,Round 4 / 12,2024-04-26T17:23:06.514505908Z,Chat,2024-04-26T17:23:06.514505908Z,3,2024-04-26T17:23:06.514505908Z,01HWDP3DT4YXBP3DYDVGM7VJGR,2024-04-26T17:23:06.514505908Z,true,2024-04-26T17:26:02.468952029Z,true,2024-04-26T17:27:02.742529309Z,4,2024-04-26T17:23:06.514505908Z,01HWDP3DTG6NCKJ6WWN5MS9JFY,2024-04-26T17:23:06.514505908Z
01HWDPX8MKNXSAGQ3RK4H7BREY,2,2024-04-26T17:23:06.872975232Z,Round 8 / 12,2024-04-26T17:23:06.515367127Z,Chat,2024-04-26T17:23:06.515367127Z,7,2024-04-26T17:23:06.515367127Z,01HWDP3DT4YXBP3DYDVGM7VJGR,2024-04-26T17:23:06.515367127Z,true,2024-04-26T17:29:47.403229711Z,true,2024-04-26T17:30:41.592293232Z,8,2024-04-26T17:23:06.515367127Z,01HWDP3DTG6NCKJ6WWN5MS9JFY,2024-04-26T17:23:06.515367127Z
01HWDPX8MM7BS7D02M5WKT3WHR,2,2024-04-26T17:23:06.873659042Z,Round 3 / 12,2024-04-26T17:23:06.516225692Z,Chat,2024-04-26T17:23:06.516225692Z,2,2024-04-26T17:23:06.516225692Z,01HWDP3DT4YXBP3DYDVGM7VJGR,2024-04-26T17:23:06.516225692Z,true,2024-04-26T17:25:02.242382977Z,true,2024-04-26T17:26:02.443642595Z,3,2024-04-26T17:23:06.516225692Z,01HWDP3DTG6NCKJ6WWN5MS9JFY,2024-04-26T17:23:06.516225692Z
