id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,playerID,playerIDLastChangedAt,submit,submitLastChangedAt,confidence,confidenceLastChangedAt,guess,guessLastChangedAt
01HWDPRKHNKC9VNFHT2BFHAHJ2,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:20:33.84554635Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:20:33.84554635Z,01HWDPPQZHPBMR6DND6K3REW8H,2024-04-26T17:20:33.84554635Z,01HWDPPR213M4BSAQF6J1TJ0X1,2024-04-26T17:20:33.84554635Z,01HWDPGN7MDBHRD24V3VKPFTWY,2024-04-26T17:20:33.84554635Z,,,,,,
01HWDPSGWVX0NR0A6V8E0RK7K7,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:21:03.899349933Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:21:03.899349933Z,01HWDPPQZHPBMR6DND6K3REW8H,2024-04-26T17:21:03.899349933Z,01HWDPPR213M4BSAQF75CBP032,2024-04-26T17:21:03.899349933Z,01HWDP9V69T71HA415X8044TBK,2024-04-26T17:21:03.899349933Z,true,2024-04-26T17:21:18.89188089Z,57,2024-04-26T17:21:18.818340153Z,35,2024-04-26T17:21:18.816965617Z
01HWDPSGX37MGESGHWCD2J6P7B,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:21:03.90709638Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:21:03.90709638Z,01HWDPPQZHPBMR6DND6K3REW8H,2024-04-26T17:21:03.90709638Z,01HWDPPR213M4BSAQF75CBP032,2024-04-26T17:21:03.90709638Z,01HWDPE8AYQPY2SM83HVFFP96X,2024-04-26T17:21:03.90709638Z,true,2024-04-26T17:21:28.679711903Z,69,2024-04-26T17:21:28.68628817Z,72,2024-04-26T17:21:28.642522687Z
01HWDPSGX8G4EQ2GS8AKAFXSBY,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:21:03.912620124Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:21:03.912620124Z,01HWDPPQZHPBMR6DND6K3REW8H,2024-04-26T17:21:03.912620124Z,01HWDPPR213M4BSAQF75CBP032,2024-04-26T17:21:03.912620124Z,01HWDPFSB24HBGGCPWC4Z908SA,2024-04-26T17:21:03.912620124Z,true,2024-04-26T17:21:14.878658921Z,80,2024-04-26T17:21:14.877327647Z,63,2024-04-26T17:21:14.875880684Z
01HWDPSGXFBXHATDGQ5FARST6R,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:21:03.919133082Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:21:03.919133082Z,01HWDPPQZHPBMR6DND6K3REW8H,2024-04-26T17:21:03.919133082Z,01HWDPPR213M4BSAQF75CBP032,2024-04-26T17:21:03.919133082Z,01HWDPGN7MDBHRD24V3VKPFTWY,2024-04-26T17:21:03.919133082Z,true,2024-04-26T17:21:25.172885265Z,91,2024-04-26T17:21:24.945257999Z,11,2024-04-26T17:21:24.943922037Z
01HWDPT96CVA2K4B535VFWVE0V,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:21:28.780782248Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:21:28.780782248Z,01HWDPPQZJ48XCBF7YH5AGV35D,2024-04-26T17:21:28.780782248Z,01HWDPPRB3BYH4J1EXSRHH1X90,2024-04-26T17:21:28.780782248Z,01HWDP9V69T71HA415X8044TBK,2024-04-26T17:21:28.780782248Z,,,,,,
01HWDPT96JGM7H4BZM44XH5QKN,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:21:28.786408475Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:21:28.786408475Z,01HWDPPQZJ48XCBF7YH5AGV35D,2024-04-26T17:21:28.786408475Z,01HWDPPRB3BYH4J1EXSRHH1X90,2024-04-26T17:21:28.786408475Z,01HWDPE8AYQPY2SM83HVFFP96X,2024-04-26T17:21:28.786408475Z,,,,,,
01HWDPT96R451WF33V347RMB07,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:21:28.792500875Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:21:28.792500875Z,01HWDPPQZJ48XCBF7YH5AGV35D,2024-04-26T17:21:28.792500875Z,01HWDPPRB3BYH4J1EXSRHH1X90,2024-04-26T17:21:28.792500875Z,01HWDPFSB24HBGGCPWC4Z908SA,2024-04-26T17:21:28.792500875Z,,,,,,
01HWDPT96X5MCK08HY6JS66E71,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:21:28.797368082Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:21:28.797368082Z,01HWDPPQZJ48XCBF7YH5AGV35D,2024-04-26T17:21:28.797368082Z,01HWDPPRB3BYH4J1EXSRHH1X90,2024-04-26T17:21:28.797368082Z,01HWDPGN7MDBHRD24V3VKPFTWY,2024-04-26T17:21:28.797368082Z,,,,,,
01HWDPV6J57XNJHTTB6KWTVBAC,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:21:58.853316235Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:21:58.853316235Z,01HWDPPQZJ48XCBF7YH5AGV35D,2024-04-26T17:21:58.853316235Z,01HWDPPRB3BYH4J1EXTDJ4GHE4,2024-04-26T17:21:58.853316235Z,01HWDP9V69T71HA415X8044TBK,2024-04-26T17:21:58.853316235Z,true,2024-04-26T17:22:08.390689759Z,53,2024-04-26T17:22:08.389216981Z,30,2024-04-26T17:22:08.391754314Z
