id,config,configLastChangedAt,endedReason,endedReasonLastChangedAt,initialized,initializedLastChangedAt,lobbyConfig,lobbyConfigLastChangedAt,status,statusLastChangedAt
01JGPZ7NHDQTN8GF6ZPS1E55V3,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""RS_slider"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""RabbitsSquirrels""}},""count"":1}]}}",2025-01-03T20:55:42.381835642Z,,,true,2025-01-03T20:55:42.394828725Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-01-03T20:55:42.381835642Z,created,2025-01-03T20:55:42.381835642Z
01JGQ02DY4Q8SKCPFS9SM3QK03,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""SR_slider"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""SquirrelsRabbits""}},""count"":1}]}}",2025-01-03T21:10:19.332447826Z,all games finished,2025-01-03T21:18:48.313454982Z,true,2025-01-03T21:10:19.345743986Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-01-03T21:10:19.332447826Z,ended,2025-01-03T21:18:48.313454982Z
01JGQ2RN2NG6W5W6SWTWX9AJCR,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""RS_slider"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""RabbitsSquirrels""}},""count"":1}]}}",2025-01-03T21:57:24.693122923Z,,,true,2025-01-03T21:57:24.712903445Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-01-03T21:57:24.693122923Z,running,2025-01-03T21:58:44.677881373Z
01JGPZ7VW6G1D4A0K2TZXW7TEQ,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""RS_slider"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""RabbitsSquirrels""}},""count"":1}]}}",2025-01-03T20:55:48.870532158Z,,,true,2025-01-03T20:55:48.879668051Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-01-03T20:55:48.870532158Z,created,2025-01-03T20:55:48.870532158Z
01JGPZ7X2GKYCB7WVQ8W51ZP9C,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""RS_slider"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""RabbitsSquirrels""}},""count"":1}]}}",2025-01-03T20:55:50.096053618Z,,,true,2025-01-03T20:55:50.104845955Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-01-03T20:55:50.096053618Z,created,2025-01-03T20:55:50.096053618Z
01JGPZTYXGVSSS0FPQYH6DFSPR,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""RS_slider"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""RabbitsSquirrels""}},""count"":1}]}}",2025-01-03T21:06:14.576215035Z,,,true,2025-01-03T21:06:14.589246206Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-01-03T21:06:14.576215035Z,created,2025-01-03T21:06:14.576215035Z
01JGQ0C4GZXXKGAQ38MHAKY0AJ,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""SR_slider"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""SquirrelsRabbits""}},""count"":1}]}}",2025-01-03T21:15:37.376018875Z,,,true,2025-01-03T21:15:37.386052365Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-01-03T21:15:37.376018875Z,terminated,2025-01-03T21:34:48.268837427Z
01JGQ28BMSJXS54PZ8T288WAV0,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""SR_slider"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""SquirrelsRabbits""}},""count"":1}]}}",2025-01-03T21:48:30.745882008Z,all games finished,2025-01-03T21:57:40.838005542Z,true,2025-01-03T21:48:30.759937071Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-01-03T21:48:30.745882008Z,ended,2025-01-03T21:57:40.838005542Z
01JGPZ7FSYTA846HHRS8VTD44D,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""SR_slider"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""SquirrelsRabbits""}},""count"":1}]}}",2025-01-03T20:55:36.510800737Z,all games finished,2025-01-03T21:05:41.861138547Z,true,2025-01-03T20:55:36.523257Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-01-03T20:55:36.510800737Z,ended,2025-01-03T21:05:41.861138547Z
01JGPZTC24TKJJNKXAYSXAHMCJ,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""SR_slider"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""SquirrelsRabbits""}},""count"":1}]}}",2025-01-03T21:05:55.268629238Z,,,true,2025-01-03T21:05:55.28032589Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-01-03T21:05:55.268629238Z,terminated,2025-01-03T21:10:23.920392207Z
