id,batchID,batchIDLastChangedAt,confidence,confidenceLastChangedAt,gameID,gameIDLastChangedAt,guess,guessLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,submit,submitLastChangedAt
01JGQ0H9A69SM9HAJR5FMQD10E,01JGQ02DY4Q8SKCPFS9SM3QK03,2025-01-03T21:18:26.118756648Z,100,2025-01-03T21:18:32.647662264Z,01JGQ02DYKMTB890CVSBZ0JJ03,2025-01-03T21:18:26.118756648Z,0,2025-01-03T21:18:32.651801443Z,01JGPZX69WP5QCN6YAEC2ZA52A,2025-01-03T21:18:26.118756648Z,01JGQ0B3D9MT63TKFK87V1C9CG,2025-01-03T21:18:26.118756648Z,01JGQ0B3HR0S6M9721TMQZWP6W,2025-01-03T21:18:26.118756648Z,true,2025-01-03T21:18:32.656497856Z
01JGQ10SMY61AD8HZWXPEZJ1WC,01JGQ0C849F94EV3HQD9RE40JS,2025-01-03T21:26:54.366206044Z,20,2025-01-03T21:27:02.374531887Z,01JGQ0C84J0QJJZJ4NFSFVRA5T,2025-01-03T21:26:54.366206044Z,47,2025-01-03T21:27:02.37257257Z,01JGQ0JBDKZKSRNR14D9DNV3KC,2025-01-03T21:26:54.366206044Z,01JGQ0X95SJXCYCE3EXZW0M8V4,2025-01-03T21:26:54.366206044Z,01JGQ0X99538S4K2BRVB885ANE,2025-01-03T21:26:54.366206044Z,true,2025-01-03T21:27:02.381941053Z
01JGQ12A4F5S8QKNN90S0Z2EM1,01JGQ0C849F94EV3HQD9RE40JS,2025-01-03T21:27:44.015862468Z,22,2025-01-03T21:27:52.928915364Z,01JGQ0C84J0QJJZJ4NFSFVRA5T,2025-01-03T21:27:44.015862468Z,53,2025-01-03T21:27:52.92633587Z,01JGQ0JBDKZKSRNR14D9DNV3KC,2025-01-03T21:27:44.015862468Z,01JGQ0X95VF9EE55RX4M9J24AZ,2025-01-03T21:27:44.015862468Z,01JGQ0X9945DMYSXXY3DAK5T2G,2025-01-03T21:27:44.015862468Z,true,2025-01-03T21:27:52.938218998Z
01JGQ1ZSTTQVECFCJSSDQHFNSN,01JGQ1F3BN8EC002R2C6SDZHA8,2025-01-03T21:43:50.362445311Z,63,2025-01-03T21:44:09.081221328Z,01JGQ1F3C4DVPQMKEVJM2J69Y3,2025-01-03T21:43:50.362445311Z,82,2025-01-03T21:44:09.077923992Z,01JGQ1JNN4QJ8XEMDXHPYNSQFZ,2025-01-03T21:43:50.362445311Z,01JGQ1YW22CC7CH4RRQPN6FTE9,2025-01-03T21:43:50.362445311Z,01JGQ1YW4HC15YKMT7QADF8CC8,2025-01-03T21:43:50.362445311Z,true,2025-01-03T21:44:09.234564266Z
01JGQ20D26GERX4Q4HF7WRPEAQ,01JGQ1F3BN8EC002R2C6SDZHA8,2025-01-03T21:44:10.05498442Z,40,2025-01-03T21:44:36.929563271Z,01JGQ1F3C4DVPQMKEVJM2J69Y3,2025-01-03T21:44:10.05498442Z,47,2025-01-03T21:44:36.925487726Z,01JGQ1GG06K6M53PBNF0BQG7HW,2025-01-03T21:44:10.05498442Z,01JGQ1YW28GN3SDRNZPTBG5GM8,2025-01-03T21:44:10.05498442Z,01JGQ1YW4ZNJMVX49T4XVA0C3T,2025-01-03T21:44:10.05498442Z,true,2025-01-03T21:44:36.932069798Z
01JGQ20D2R3C6PFZHMH221M0VS,01JGQ1F3BN8EC002R2C6SDZHA8,2025-01-03T21:44:10.07215634Z,94,2025-01-03T21:44:27.209583649Z,01JGQ1F3C4DVPQMKEVJM2J69Y3,2025-01-03T21:44:10.07215634Z,9,2025-01-03T21:44:27.207031681Z,01JGQ1M29XYJNKSW8ZAQGM2K7K,2025-01-03T21:44:10.07215634Z,01JGQ1YW28GN3SDRNZPTBG5GM8,2025-01-03T21:44:10.07215634Z,01JGQ1YW4ZNJMVX49T4XVA0C3T,2025-01-03T21:44:10.07215634Z,true,2025-01-03T21:44:27.215632499Z
01JGQ0VPCZV1MB90RAVW52DM95,01JGQ09HBX8MC4DGNHX3FZ8EDY,2025-01-03T21:24:07.199562986Z,83,2025-01-03T21:24:30.75176003Z,01JGQ09HCAQGMY5WGVV276K2K7,2025-01-03T21:24:07.199562986Z,60,2025-01-03T21:24:30.753408847Z,01JGQ0F4ER5V0NKZCQBD51KAXF,2025-01-03T21:24:07.199562986Z,01JGQ0Q55AGX05ETJQR7BS8Q6P,2025-01-03T21:24:07.199562986Z,01JGQ0Q57VTGWHY0EBPZK067R8,2025-01-03T21:24:07.199562986Z,true,2025-01-03T21:24:30.75664332Z
01JGQ0YWFR891SDAF59D250MBF,01JGQ0C849F94EV3HQD9RE40JS,2025-01-03T21:25:51.736463726Z,0,2025-01-03T21:26:06.698856852Z,01JGQ0C84J0QJJZJ4NFSFVRA5T,2025-01-03T21:25:51.736463726Z,52,2025-01-03T21:26:06.694412823Z,01JGQ0EAQCPREAHEEHRAKRV7WB,2025-01-03T21:25:51.736463726Z,01JGQ0X95Q15GZQNNAAAVFJ3JS,2025-01-03T21:25:51.736463726Z,01JGQ0X98VN2EY2JBPCVADTQR7,2025-01-03T21:25:51.736463726Z,true,2025-01-03T21:26:06.704245987Z
01JGQ15F3N5Q2CY2BT588VJA0V,01JGQ0C7ETEFBZD4VJK84VZHCX,2025-01-03T21:29:27.413810273Z,69,2025-01-03T21:29:51.046290575Z,01JGQ0C7F7RS6KD043DRQ14HW4,2025-01-03T21:29:27.413810273Z,80,2025-01-03T21:29:51.040440311Z,01JGQ0GCQT83E3WEE7375T4F10,2025-01-03T21:29:27.413810273Z,01JGQ12QV5A9S2WYN1811BZ688,2025-01-03T21:29:27.413810273Z,01JGQ12QXV8XDM8QJFVCDD4610,2025-01-03T21:29:27.413810273Z,true,2025-01-03T21:29:51.050514775Z
01JGQ06RDBVS409MEVFJJJ0CC9,01JGPZ7DS26HBF8BHY8DZZHA96,2025-01-03T21:12:41.13190301Z,92,2025-01-03T21:13:00.711841396Z,01JGPZ7DST3QHP58DW1G013V4K,2025-01-03T21:12:41.13190301Z,90,2025-01-03T21:13:00.708128882Z,01JGPZWDB906WGPE716Q82VST1,2025-01-03T21:12:41.13190301Z,01JGQ04X85NJHFV34CN37KHAS9,2025-01-03T21:12:41.13190301Z,01JGQ04XAKE2S8304HJYW5X8N7,2025-01-03T21:12:41.13190301Z,true,2025-01-03T21:13:00.714903964Z
