id,status,statusLastChangedAt,lobbyConfig,lobbyConfigLastChangedAt,initialized,initializedLastChangedAt,endedReason,endedReasonLastChangedAt,config,configLastChangedAt
01HW65RG34XAN2X81CGMMGV3HP,ended,2024-04-23T20:03:18.434454749Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-23T19:08:43.492850599Z,true,2024-04-23T19:08:43.501281358Z,all games finished,2024-04-23T20:03:18.434454749Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.7"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-23T19:08:43.492850599Z
01HW65RGTG2Q3NVWHW3KMQE5J4,ended,2024-04-23T20:00:44.585276635Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-23T19:08:44.240717087Z,true,2024-04-23T19:08:44.248614089Z,all games finished,2024-04-23T20:00:44.585276635Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.7"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-23T19:08:44.240717087Z
01HW65RHGTD9ASSBQ5MYV33S99,ended,2024-04-23T19:53:56.361430552Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-23T19:08:44.954486907Z,true,2024-04-23T19:08:44.962054784Z,all games finished,2024-04-23T19:53:56.361430552Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.7"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-23T19:08:44.954486907Z
01HW65RJ73NF2ZDW6YKMSN47JG,ended,2024-04-23T19:55:44.711335724Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-23T19:08:45.667396377Z,true,2024-04-23T19:08:45.675138204Z,all games finished,2024-04-23T19:55:44.711335724Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.7"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-23T19:08:45.667396377Z
01HW65RJZE5BT65CRK5C4G2EA8,ended,2024-04-23T19:50:58.477296485Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-23T19:08:46.446833763Z,true,2024-04-23T19:08:46.455651285Z,all games finished,2024-04-23T19:50:58.477296485Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.7"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-23T19:08:46.446833763Z
01HW65RKN1FGYG6PYPSCH4F283,ended,2024-04-23T19:48:47.541906034Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-23T19:08:47.137217754Z,true,2024-04-23T19:08:47.144452569Z,all games finished,2024-04-23T19:48:47.541906034Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.7"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-23T19:08:47.137217754Z
01HW65RMCDC2JK9MDS9NZE0GK8,ended,2024-04-23T19:47:09.514195565Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-23T19:08:47.88595607Z,true,2024-04-23T19:08:47.894089337Z,all games finished,2024-04-23T19:47:09.514195565Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.7"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-23T19:08:47.88595607Z
01HW65RN1MVRN07M5V41Z5KQ87,ended,2024-04-23T19:36:02.357328268Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-23T19:08:48.56450561Z,true,2024-04-23T19:08:48.571065944Z,all games finished,2024-04-23T19:36:02.357328268Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.7"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-23T19:08:48.56450561Z
01HW65RNPY0F0AJDEWETBECD0E,ended,2024-04-23T19:32:47.973944229Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-23T19:08:49.247044416Z,true,2024-04-23T19:08:49.254862382Z,all games finished,2024-04-23T19:32:47.973944229Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.7"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-23T19:08:49.247044416Z
01HW66X1WQ63ZYBPASSX8CX6RE,ended,2024-04-23T19:37:11.878540121Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-23T19:28:41.367059249Z,true,2024-04-23T19:28:41.377083119Z,all games finished,2024-04-23T19:37:11.878540121Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.7"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-23T19:28:41.367059249Z
01HW66Y45JE7CNV95X2KKEE9X3,ended,2024-04-23T19:42:04.154043475Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-23T19:29:16.466364061Z,true,2024-04-23T19:29:16.479404036Z,all games finished,2024-04-23T19:42:04.154043475Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.7"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-23T19:29:16.466364061Z
01HW674E0SWJNVYNM451EBREKQ,terminated,2024-04-23T19:38:01.047146461Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-23T19:32:43.16160603Z,true,2024-04-23T19:32:43.168645831Z,,,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.7"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-23T19:32:43.16160603Z
01HW67EA2253VF7S6G4NKQYYNQ,terminated,2024-04-23T19:43:17.674011633Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-23T19:38:06.7868829Z,true,2024-04-23T19:38:06.800040893Z,,,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.7"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-23T19:38:06.7868829Z
01HW67QTY1CWZ4DC70Z04SJZGJ,ended,2024-04-23T19:49:20.326473216Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-23T19:43:18.977974515Z,true,2024-04-23T19:43:18.990296677Z,all games finished,2024-04-23T19:49:20.326473216Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.7"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-23T19:43:18.977974515Z
01HW68HH5XC8V2EG0C6BRZEJ13,ended,2024-04-23T20:07:30.600364272Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-23T19:57:20.957917496Z,true,2024-04-23T19:57:20.977029157Z,all games finished,2024-04-23T20:07:30.600364272Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.7"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-23T19:57:20.957917496Z
01HW68QECRJ5MSES78W5TB51EV,ended,2024-04-23T20:11:13.47694181Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-23T20:00:34.712531743Z,true,2024-04-23T20:00:34.751003669Z,all games finished,2024-04-23T20:11:13.47694181Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.7"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-23T20:00:34.712531743Z
01HW68XWR2684EBJ6M3JGGRJ1F,ended,2024-04-23T20:11:30.89554896Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-23T20:04:06.018456104Z,true,2024-04-23T20:04:06.051586805Z,all games finished,2024-04-23T20:11:30.89554896Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.7"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-23T20:04:06.018456104Z
01HW69VZ38A4Y91JWT1V05MRCB,ended,2024-04-23T20:27:35.998998008Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-23T20:20:31.464958395Z,true,2024-04-23T20:20:31.511145497Z,all games finished,2024-04-23T20:27:35.998998008Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.7"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-23T20:20:31.464958395Z
