id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,playerID,playerIDLastChangedAt,guess,guessLastChangedAt,confidence,confidenceLastChangedAt,submit,submitLastChangedAt
01HW66TXRCKQW1J17RW4M0FATE,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:27:31.596956018Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:27:31.596956018Z,01HW66S28EAEFQTQBM52G71HSD,2024-04-23T19:27:31.596956018Z,01HW66S2JHFBG4GRKHXWQXECNH,2024-04-23T19:27:31.596956018Z,01HW66KZZ28TB65M259NA81579,2024-04-23T19:27:31.596956018Z,27,2024-04-23T19:27:49.480321592Z,87,2024-04-23T19:27:49.480971203Z,true,2024-04-23T19:27:49.483246597Z
01HW66TXRK28HA3DXSWA9NEYXQ,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:27:31.603277004Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:27:31.603277004Z,01HW66S28EAEFQTQBM52G71HSD,2024-04-23T19:27:31.603277004Z,01HW66S2JHFBG4GRKHXWQXECNH,2024-04-23T19:27:31.603277004Z,01HW66P01JA1T3HXTJWM1G4W06,2024-04-23T19:27:31.603277004Z,75,2024-04-23T19:27:42.952520404Z,54,2024-04-23T19:27:42.947875742Z,true,2024-04-23T19:27:42.947369971Z
01HW66VV4Z224AJY90N9W9KP9B,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:28:01.695694834Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:28:01.695694834Z,01HW66S28D8VSKFM1EJAJW49A4,2024-04-23T19:28:01.695694834Z,01HW66S2JMJCQJP472N7TWJZDF,2024-04-23T19:28:01.695694834Z,01HW66EKJSHK1TDTA8J6QYSN48,2024-04-23T19:28:01.695694834Z,,,,,,
01HW66VV55XXEBP1MCYMJ073KH,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:28:01.701943479Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:28:01.701943479Z,01HW66S28D8VSKFM1EJAJW49A4,2024-04-23T19:28:01.701943479Z,01HW66S2JMJCQJP472N7TWJZDF,2024-04-23T19:28:01.701943479Z,01HW66HB1DF9Q7QSWX9ZTK3TKP,2024-04-23T19:28:01.701943479Z,49,2024-04-23T19:28:28.867795349Z,84,2024-04-23T19:28:28.870125687Z,true,2024-04-23T19:28:28.876063657Z
01HW66VV5AFWJPVRQWCD8FWF4T,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:28:01.706635201Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:28:01.706635201Z,01HW66S28D8VSKFM1EJAJW49A4,2024-04-23T19:28:01.706635201Z,01HW66S2JMJCQJP472N7TWJZDF,2024-04-23T19:28:01.706635201Z,01HW66KZZ28TB65M259NA81579,2024-04-23T19:28:01.706635201Z,33,2024-04-23T19:28:20.387156268Z,69,2024-04-23T19:28:20.387814307Z,true,2024-04-23T19:28:20.390419678Z
01HW66VV5F2HQYCSGPWVQ9XG18,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:28:01.711340036Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:28:01.711340036Z,01HW66S28D8VSKFM1EJAJW49A4,2024-04-23T19:28:01.711340036Z,01HW66S2JMJCQJP472N7TWJZDF,2024-04-23T19:28:01.711340036Z,01HW66P01JA1T3HXTJWM1G4W06,2024-04-23T19:28:01.711340036Z,57,2024-04-23T19:28:17.507139176Z,53,2024-04-23T19:28:17.501898156Z,true,2024-04-23T19:28:17.502363469Z
01HW66WRKP3CMDWFNJ13JDMH9Q,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:28:31.862513146Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:28:31.862513146Z,01HW66S28EAEFQTQBM6742N4JD,2024-04-23T19:28:31.862513146Z,01HW66S2JJDKTNCKV9BC32EV41,2024-04-23T19:28:31.862513146Z,01HW66EKJSHK1TDTA8J6QYSN48,2024-04-23T19:28:31.862513146Z,,,,,,
01HW66WRKW0KA9H90HRVMX55RM,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:28:31.868939381Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:28:31.868939381Z,01HW66S28EAEFQTQBM6742N4JD,2024-04-23T19:28:31.868939381Z,01HW66S2JJDKTNCKV9BC32EV41,2024-04-23T19:28:31.868939381Z,01HW66HB1DF9Q7QSWX9ZTK3TKP,2024-04-23T19:28:31.868939381Z,50,2024-04-23T19:28:44.384730802Z,83,2024-04-23T19:28:44.384327704Z,true,2024-04-23T19:28:44.382290278Z
01HW66WRM7PFB3G04HEZBW29H8,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:28:31.879550201Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:28:31.879550201Z,01HW66S28EAEFQTQBM6742N4JD,2024-04-23T19:28:31.879550201Z,01HW66S2JJDKTNCKV9BC32EV41,2024-04-23T19:28:31.879550201Z,01HW66KZZ28TB65M259NA81579,2024-04-23T19:28:31.879550201Z,62,2024-04-23T19:28:48.825682816Z,40,2024-04-23T19:28:48.826461996Z,true,2024-04-23T19:28:48.829311864Z
01HW66WRMFWBATFR4YATXDA9DZ,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:28:31.887884079Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:28:31.887884079Z,01HW66S28EAEFQTQBM6742N4JD,2024-04-23T19:28:31.887884079Z,01HW66S2JJDKTNCKV9BC32EV41,2024-04-23T19:28:31.887884079Z,01HW66P01JA1T3HXTJWM1G4W06,2024-04-23T19:28:31.887884079Z,63,2024-04-23T19:28:40.759197857Z,62,2024-04-23T19:28:40.755190335Z,true,2024-04-23T19:28:40.755619677Z
