id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,status,statusLastChangedAt,timerID,timerIDLastChangedAt
01JHBGH4SZ3NT1XZ8NKVCK4VRN,01JHBFAGXN30WV5D270Z21CVXB,2025-01-11T20:22:47.359161355Z,30,2025-01-11T20:22:47.359161355Z,true,2025-01-11T20:30:19.471618544Z,,,01JHBFAGXXJPS2Z91X6C49KYN9,2025-01-11T20:22:47.359161355Z,1,2025-01-11T20:22:47.359161355Z,true,2025-01-11T20:29:49.455497813Z,observe,2025-01-11T20:22:47.359161355Z,01JHBGH4PRGGBD9JMMQ7C8KB64,2025-01-11T20:22:47.359161355Z,true,2025-01-11T20:29:49.426343405Z,true,2025-01-11T20:29:49.468995111Z,,,01JHBGH4STESAFCQD8Z612M7GC,2025-01-11T20:22:47.359161355Z
01JHBH158APMADZVE95PP2BR07,01JHBFACYDH5N0FJ1CP17V5JDA,2025-01-11T20:31:32.106828373Z,30,2025-01-11T20:31:32.106828373Z,true,2025-01-11T20:34:02.601188252Z,,,01JHBFACYNE90SYDN9WHPEZXDR,2025-01-11T20:31:32.106828373Z,1,2025-01-11T20:31:32.106828373Z,true,2025-01-11T20:33:33.310033819Z,observe,2025-01-11T20:31:32.106828373Z,01JHBH15620M74RJXKNDDFDXZ5,2025-01-11T20:31:32.106828373Z,true,2025-01-11T20:33:33.274102105Z,true,2025-01-11T20:33:33.323557841Z,,,01JHBH1585GBVPF3WA1R72CZ07,2025-01-11T20:31:32.106828373Z
01JHBGGJNTHVJ1TTPQDY1JDFBA,01JHBFAG3TE026EWZBP039MZG2,2025-01-11T20:22:28.794113327Z,30,2025-01-11T20:22:28.794113327Z,true,2025-01-11T20:22:59.338931167Z,,,01JHBFAG414RHSPDDNWH0KQDHD,2025-01-11T20:22:28.794113327Z,0,2025-01-11T20:22:28.794113327Z,true,2025-01-11T20:22:29.311830171Z,looking at your yard,2025-01-11T20:22:28.794113327Z,01JHBGGJN0BBKSTMVB4AFKASAV,2025-01-11T20:22:28.794113327Z,true,2025-01-11T20:22:29.295750854Z,true,2025-01-11T20:22:29.334563467Z,,,01JHBGGJNKKZA83V8NJ422ZW31,2025-01-11T20:22:28.794113327Z
01JHBGK4HE3Z5KK0ACPR55GNPJ,01JHBFAFNGABME0DKD42ZV0HGS,2025-01-11T20:23:52.622803609Z,30,2025-01-11T20:23:52.622803609Z,true,2025-01-11T20:31:34.286614598Z,,,01JHBFAFNQ0QM35M6SA5NW2CCM,2025-01-11T20:23:52.622803609Z,0,2025-01-11T20:23:52.622803609Z,true,2025-01-11T20:31:04.269484137Z,send,2025-01-11T20:23:52.622803609Z,01JHBGK4DMQZTJSQNR046TCA2H,2025-01-11T20:23:52.622803609Z,true,2025-01-11T20:31:04.24138961Z,true,2025-01-11T20:31:04.280870245Z,,,01JHBGK4HBE12WP891A50785DN,2025-01-11T20:23:52.622803609Z
01JHBGP5NQ1Y3MKHWZ4H0X1W02,01JHBFAF5THBQDT3XMZCK83BJM,2025-01-11T20:25:32.08789036Z,30,2025-01-11T20:25:32.08789036Z,true,2025-01-11T20:30:03.285442954Z,,,01JHBFAF62DAFNA3C59MH4PG6Z,2025-01-11T20:25:32.08789036Z,1,2025-01-11T20:25:32.08789036Z,true,2025-01-11T20:29:33.264871989Z,observe,2025-01-11T20:25:32.08789036Z,01JHBGP5KEVX75RVZGXBN6QN52,2025-01-11T20:25:32.08789036Z,true,2025-01-11T20:29:33.238385542Z,true,2025-01-11T20:29:33.278176875Z,,,01JHBGP5NMQPNN9HY1E7T56GCR,2025-01-11T20:25:32.08789036Z
01JHBMT5VDV476XN0QREY4P1NH,01JHBJND1E3C70NWYS1RVBZ77W,2025-01-11T21:37:37.64585783Z,30,2025-01-11T21:37:37.64585783Z,true,2025-01-11T21:40:53.865008121Z,,,01JHBJND2EQPZZ0EF9SMBWCMV2,2025-01-11T21:37:37.64585783Z,0,2025-01-11T21:37:37.64585783Z,true,2025-01-11T21:40:25.82723234Z,observe,2025-01-11T21:37:37.64585783Z,01JHBMT5NP1MB0B8JSVA5WNHCV,2025-01-11T21:37:37.64585783Z,true,2025-01-11T21:40:25.772580102Z,true,2025-01-11T21:40:25.862360377Z,,,01JHBMT5VCYGH699EGM135T2N7,2025-01-11T21:37:37.64585783Z
01JHBFS675K67R7YVV52VCT0V2,01JHBFAJ4PJBNNAD4GB7D7MYV0,2025-01-11T20:09:42.373423476Z,30,2025-01-11T20:09:42.373423476Z,true,2025-01-11T20:15:09.550639276Z,,,01JHBFAJ4Y01AFAN65Y7AZV68E,2025-01-11T20:09:42.373423476Z,0,2025-01-11T20:09:42.373423476Z,true,2025-01-11T20:14:39.540065779Z,send,2025-01-11T20:09:42.373423476Z,01JHBFS64V0YA4FD0J4BHNZ9BQ,2025-01-11T20:09:42.373423476Z,true,2025-01-11T20:14:39.523072611Z,true,2025-01-11T20:14:39.548499185Z,,,01JHBFS6714FDMGCWMJWNB20DZ,2025-01-11T20:09:42.373423476Z
01JHBH15AK0TEQK8DB8YHA79Z3,01JHBFACYDH5N0FJ1CP17V5JDA,2025-01-11T20:31:32.179442542Z,30,2025-01-11T20:31:32.179442542Z,true,2025-01-11T20:36:30.980791216Z,,,01JHBFACYNE90SYDN9WHPEZXDR,2025-01-11T20:31:32.179442542Z,0,2025-01-11T20:31:32.179442542Z,true,2025-01-11T20:36:00.963208563Z,send,2025-01-11T20:31:32.179442542Z,01JHBH156FFNPS8GECCJ2F7QRC,2025-01-11T20:31:32.179442542Z,true,2025-01-11T20:36:00.929584525Z,true,2025-01-11T20:36:00.980026463Z,,,01JHBH15AC3T8F968EXS9083F1,2025-01-11T20:31:32.179442542Z
01JHBP27DVJ1WAA566E16640A6,01JHBGTY687S2JP02C4KQVVVFM,2025-01-11T21:59:29.979050499Z,30,2025-01-11T21:59:29.979050499Z,true,2025-01-11T22:03:27.387626344Z,,,01JHBGTY6T84ZTT2VP1EXC9EPZ,2025-01-11T21:59:29.979050499Z,0,2025-01-11T21:59:29.979050499Z,true,2025-01-11T22:02:57.341476931Z,observe,2025-01-11T21:59:29.979050499Z,01JHBP2747XE36JSJZYPDA46QE,2025-01-11T21:59:29.979050499Z,true,2025-01-11T22:02:57.221143643Z,true,2025-01-11T22:02:57.383739087Z,,,01JHBP27DRY4MSBERNHAWR15X0,2025-01-11T21:59:29.979050499Z
01JHBGP5QFZP6NSYHYPGAMFPN8,01JHBFAF5THBQDT3XMZCK83BJM,2025-01-11T20:25:32.143745866Z,30,2025-01-11T20:25:32.143745866Z,true,2025-01-11T20:34:04.051294353Z,,,01JHBFAF62DAFNA3C59MH4PG6Z,2025-01-11T20:25:32.143745866Z,1,2025-01-11T20:25:32.143745866Z,true,2025-01-11T20:33:34.027803037Z,observe,2025-01-11T20:25:32.143745866Z,01JHBGP5KHD3SYC4TZWET27CFJ,2025-01-11T20:25:32.143745866Z,true,2025-01-11T20:33:33.986350475Z,true,2025-01-11T20:33:34.050485277Z,,,01JHBGP5QCBTZBDAXWRP0Z2A8V,2025-01-11T20:25:32.143745866Z
